t37645aep|CP4V2_MOUSE,0.108659528244469
t31628aep|TSP1_BOVIN,0.0113827896567848
t31619aep|ABCA2_HUMAN,0.00758697085026707
t31633aep|PREA_SALTY,0.00379270647985793
t31620aep|PTRB_MORLA,0.00379270647985793
t31618aep|DTBP1_CHICK,0.104807289206999
t36047aep|FUCTA_DROME,0.00379270647985793
t36970aep|EXOS6_DANRE,0.127332051370283
t34453aep|RIFK_DROME,0.0123687973099566
t34446aep|VIAAT_XENLA,0.00379270647985793
t34450aep|KCNH5_MOUSE,0.00379270647985793
t36334aep|DOCK3_HUMAN,0.0871095305428397
t36340aep|AT1A_HYDVU,0.0151801594492858
t36335aep|RTJK_DROME,0.00379270647985793
t36329aep|FGOP2_CHICK,0.132532340486935
t36337aep|CRYAB_BOVIN,0.0108911495278012
t35904aep|DDAC_ENTAG,0.218279959494459
t32664aep|AQP9_HUMAN,0.707890274500644
t31832aep|P52K_HUMAN,0.00379270647985793
t31833aep|BP10_PARLI,0.00166957950872918
t31838aep|STXB1_RAT,0.0673999700037401
t38118aep|AGRIN_MOUSE,0.150824604805875
t33743aep|EXOC7_RAT,0.207694010838874
t33739aep|RPP14_MOUSE,0.0671933616052987
t33735aep|DHB11_RAT,0.0844301817589494
t32686aep|MRP1_CHICK,0.438364568152459
t32685aep|RN146_XENTR,0.100098937711888
t32696aep|OTOF_DANRE,0.0113827896567848
t32692aep|GPTC4_XENTR,0.160776106831587
t32693aep|S27A4_HUMAN,0.0701482601637079
t32687aep|RAB23_HUMAN,0.438915402449327
t32691aep|PP14C_RAT,0.0556630166478456
t35871aep|NOD1_MOUSE,0.0729737922491438
t35860aep|KIF3A_MACFA,0.137686948904849
t35866aep|MEL2A_DANRE,0.0517265147828694
t35872aep|NAPEP_BOVIN,0.332956168966901
t35870aep|STK10_CHICK,0.164729562325151
t35862aep|MEGF6_HUMAN,0.0740888182871813
t35857aep|PKD2_ORYLA,0.00379270647985793
t35356aep|CASP8_RAT,0.0138930984653998
t33691aep|ABCB2_DICDI,0.00379270647985793
t37371aep|IDI1_BOVIN,0.0249038341650393
t37381aep|RPAC2_BOVIN,0.175039023457001
t37368aep|PEX10_MOUSE,0.0168064831933556
t32307aep|NCAN_PANTR,0.00379270647985793
t32309aep|TM203_HUMAN,0.0967954619861616
t32310aep|LSM1_HUMAN,0.0317586294474122
t32305aep|PPCT_MOUSE,0.0416223457746214
t33480aep|MSRB_METBF,0.0336160817596351
t33080aep|KIF17_HUMAN,0.119916358997807
t33084aep|TXIP1_MOUSE,0.00379270647985793
t33085aep|TXIP1_HUMAN,0.00758697085026707
t38021aep|YD286_MOUSE,0.0286715441168283
t32812aep|TCB2_CAEBR,0.00758697085026707
t32819aep|T106C_HUMAN,0.334929478888505
t32810aep|NDUA5_BOVIN,0.0558215409243093
t35726aep|SO4C1_RAT,0.0737198869777653
t35979aep|ECI1_RAT,0.0510730781415467
t35981aep|PRPF3_CHICK,0.0920541776761302
t37010aep|NDUF4_PONAB,0.0486268224311158
t35994aep|MLRP2_ACRMI,1.13589329146162
t35982aep|NLTP_CHICK,0.234553093004599
t35993aep|VATE_DROME,0.162592239445518
t35989aep|M2K3_ARATH,0.00379270647985793
t35984aep|DYH6_HUMAN,0.0181372077251476
t35985aep|DYH6_HUMAN,0.00758697085026707
t31651aep|LRRK2_MOUSE,0.0151801594492858
t31647aep|PPT1_HUMAN,1.2738652388086
t38633aep|DRG1_XENLA,0.182028627986169
t38636aep|ALG3_HUMAN,0.0164079490380696
t37013aep|LAGE3_MOUSE,0.0660377563064659
t34435aep|IMPTB_XENTR,0.0262353234180932
t34431aep|RSPH1_HUMAN,1.02280153314991
t34428aep|SPC25_RAT,0.0164185577672263
t34430aep|RPAP1_BOVIN,0.00663946942389839
t34429aep|PP4C_XENTR,0.176462580393205
t31846aep|CEP70_RAT,0.00649958728171614
t31844aep|TLL1_DANRE,0.00758697085026707
t31849aep|TYPH_RAT,0.0399026532594482
t31847aep|RS2_ICTPU,0.082720903488571
t31848aep|SPCS3_CHICK,0.174447544124424
t34798aep|APH1_DROME,0.00602000729648525
t34790aep|TWF1_HUMAN,0.396288694876154
t32481aep|GUAA_RAT,0.0537359183423509
t32473aep|RB18B_DANRE,0.0587757693172364
t31220aep|P52K_HUMAN,0.022779538213399
t31225aep|RT35_BOVIN,0.0533174340925144
t31230aep|UNC89_CAEEL,0.00758697085026707
t31231aep|UNC89_CAEEL,0.00758697085026707
t36653aep|DOHH_RAT,0.115097034050932
t36650aep|ANKK1_MOUSE,0.0142130436772489
t37814aep|CC105_BOVIN,0.189764355219628
t37817aep|RS6_BRAFL,0.164200138628989
t37818aep|EF1A_HYDVU,0.0514024061553527
t32253aep|YPEL5_PONAB,0.048042894903619
t32269aep|FSTL1_BOVIN,1.29896076556675
t32258aep|SHPK_MOUSE,0.0189595441158807
t32263aep|IF172_DANRE,0.0217888571780365
t35075aep|COMD6_MOUSE,0.210839339823251
t35552aep|DTL_CHICK,0.00430397531302449
t35556aep|M4K2_HUMAN,0.106659815026021
t35545aep|KLC4_MOUSE,0.0113827896567848
t35549aep|PDRG1_RAT,0.0842261089018024
t35558aep|ARP10_HUMAN,0.026855907692457
t36397aep|ARMC7_MOUSE,0.0226356600968819
t36392aep|UTP15_HUMAN,0.0739755047329995
t36387aep|NPHP3_HUMAN,0.0189790767819741
t35401aep|LIN52_DANRE,0.021287476819765
t35408aep|NK2R_RAT,0.128863595296631
t33710aep|SEC_ARATH,0.117342063771767
t35845aep|TIM9_MOUSE,0.0541495777337968
t35851aep|OPSD1_MIZYE,0.231027958126385
t35853aep|TM175_MOUSE,0.00758697085026707
t35846aep|SDHF3_NEMVE,0.0527187557284648
t35850aep|CYTA_MOUSE,0.00758697085026707
t35847aep|PHF3_HUMAN,0.0436518052280637
t35208aep|TTC28_MOUSE,0.022779538213399
t37320aep|CO6A6_HUMAN,0.0793751070706883
t37316aep|ASPM_SHEEP,0.0378555693810943
t36969aep|CISD3_HUMAN,0.208952339477596
t32622aep|MK14_CANLF,0.00535944989344366
t32614aep|XRRA1_MOUSE,0.00379270647985793
t33645aep|TLR1_DROME,0.313303093403353
t33641aep|AT5F1_BOVIN,0.353621054993834
t33657aep|TM243_BOVIN,0.14568556192193
t33644aep|CC180_HUMAN,0.0323182648144125
t33650aep|DUS22_HUMAN,0.0575972018821528
t37951aep|MPU1_MOUSE,0.35274180372571
t37948aep|RHG32_XENLA,0.218218652985868
t31829aep|MYO10_HUMAN,0.289087666379934
t31824aep|DNJC5_TETCF,0.3066981251357
t31818aep|DYR_AEDAL,0.167503556006671
t31817aep|AKR1_YARLI,0.00758697085026707
t32420aep|RPE_HUMAN,0.0237643647164666
t32421aep|PCS3_LOTJA,0.0179953486811479
t32425aep|ANXA7_MOUSE,0.243281669452454
t32412aep|M3K19_HUMAN,0.0501541334095943
t32416aep|COMD8_HUMAN,0.116279703692084
t32413aep|NTPES_BACSU,0.0985268210546181
t36953aep|RBM26_HUMAN,0.426299490958933
t36948aep|RM54_HUMAN,0.328252408678449
t36938aep|SYT15_HUMAN,0.00385466426188816
t33893aep|MCPI_MELCP,0.265543120609759
t33901aep|KLC4_BOVIN,0.0174021959960922
t33904aep|TFB1M_XENTR,0.0468295746055574
t33900aep|SIP2_YEAST,1.79634337314356
t33907aep|BRAT1_MOUSE,0.0196890825322725
t33620aep|SYT7_HUMAN,0.0519237515407949
t36961aep|TRAF4_HUMAN,0.129073637148181
t31714aep|KLC4_RAT,0.0113827896567848
t31719aep|VATC_MANSE,0.467430073512262
t33183aep|PNKP_HUMAN,0.596521139778027
t33189aep|IQCA1_HUMAN,0.00379270647985793
t33188aep|ADCY9_HUMAN,0.232828548842932
t33191aep|ALRA_DICDI,0.0394064522217048
t37636aep|FAT2_DROME,0.0303850796284353
t37632aep|LGR5_XENTR,0.00758697085026707
t37624aep|VATF_HUMAN,0.49324271571393
t37623aep|RHES_HUMAN,0.0888951715971204
t37622aep|NEK4_MOUSE,0.00711955946907686
t37627aep|CD2B2_MOUSE,0.0449673426925124
t37634aep|KELP_ARATH,0.321198892295209
t37637aep|DYHC_HELCR,0.0592672033238981
t36963aep|PPID_HUMAN,0.274027047580215
t36574aep|OPN4B_XENLA,0.00379270647985793
t36583aep|CSTF3_MOUSE,0.00606110201766508
t36590aep|GLYM_HUMAN,0.120289185694251
t36585aep|CALM_MACPY,0.00455694148026308
t36580aep|S39AD_DANRE,0.539572301925262
t34754aep|FXC2B_XENLA,0.509044174574142
t34760aep|QORL1_MOUSE,0.0274004265038463
t34765aep|ZBED4_HUMAN,0.00379270647985793
t34759aep|TDRD5_AILME,0.074273617628447
t34764aep|RSU1_BOVIN,0.257959397393308
t34577aep|ARSB_RAT,0.00450331409941307
t34564aep|YMH6_CAEEL,0.0095151992489895
t34581aep|PELI1_MOUSE,0.00910208494055379
t38670aep|RADI_BOVIN,0.00437366972606001
t38686aep|PIF1_PSYWF,0.00758697085026707
t38672aep|SHL2_ORYSJ,0.00379270647985793
t38680aep|PGAP3_XENTR,0.034977384795622
t36972aep|FUCM_HUMAN,0.303063150181297
t32838aep|RASLC_DANRE,0.486774497103741
t32855aep|ZN205_BOVIN,0.0415996349186113
t32845aep|KTI12_DANRE,0.0948473455222507
t32852aep|NPC2_DROME,0.0521177043534701
t32851aep|STX18_HUMAN,0.137850883667036
t36490aep|CCD81_HUMAN,0.010790892639393
t36502aep|NPHP3_HUMAN,0.100911951809194
t36496aep|TNAP3_MACFA,0.100474195952988
t36491aep|VP37B_HUMAN,0.119959644729223
t36488aep|TIGD2_MOUSE,0.00379270647985793
t36486aep|SCN1_HETBL,0.00434443659539801
t38463aep|RS17_BOVIN,0.187688972040496
t38464aep|AB1G_ARATH,0.00379270647985793
t34603aep|RWDD1_RAT,0.145327790188457
t34595aep|NDK_CHICK,0.763527766683642
t34599aep|YTX2_XENLA,0.0279447222551489
t34608aep|CATL_SARPE,0.00758697085026707
t34604aep|RA51D_ARATH,0.0156893322895246
t34600aep|KPSH1_BOVIN,0.0210751670042148
t38363aep|DNAL4_PIG,0.226161876635391
t38358aep|PLK4_NEMVE,0.0119900264538226
t38365aep|TMOD2_RAT,1.81514603263089
t38366aep|DDRGK_TRIAD,0.23161351297844
t32782aep|ARGLA_DANRE,0.112166356193024
t37025aep|THG1_HUMAN,0.0607473388682422
t32786aep|SETD4_HUMAN,0.0287230111670768
t32785aep|HEBP1_MOUSE,3.49839904036112
t36257aep|EDIL3_MOUSE,0.00747430678489032
t36261aep|CTU2A_XENLA,0.00778425965773199
t36259aep|KLC4_HUMAN,0.00379270647985793
t36270aep|Y1101_SYNY3,0.00501710404816339
t36256aep|RTBS_DROME,0.00379270647985793
t37211aep|RYK_MOUSE,0.00299825236766605
t37220aep|HMCN2_HUMAN,0.114444971809338
t37217aep|BAZ1A_HUMAN,0.248005687207106
t37214aep|ITA9_MOUSE,0.225125734714584
t36474aep|RT06_BOVIN,0.309463145780033
t36469aep|DNLI1_XENLA,0.0642879561319096
t36466aep|TF2H1_HUMAN,0.0859981790552457
t38667aep|CAH5_CAEEL,0.00379270647985793
t38666aep|EPHA3_MOUSE,0.00758697085026707
t38653aep|TOR1A_MACFA,1.95670865461418
t38657aep|CCD94_MOUSE,0.0719507332077213
t38655aep|RRP44_HUMAN,0.0481326239116032
t38658aep|PKHG5_MOUSE,0.146634929280076
t35895aep|DAPLE_XENLA,0.0874142478115128
t35887aep|LIN1_NYCCO,0.00379270647985793
t37029aep|USH2A_HUMAN,0.00379270647985793
t35890aep|PKD1_MOUSE,0.000860834525709908
t35898aep|NPHP3_XENLA,0.457490136652571
t38456aep|ELMD2_BOVIN,0.106325638320625
t38452aep|POL_MLVCB,0.022779538213399
t38457aep|RTEL1_DANRE,0.0109946518274679
t38458aep|PEBB_HUMAN,0.0321509165659156
t31916aep|ZCRB1_XENLA,0.0403973297228084
t34549aep|PP2C2_CAEEL,0.0845363871092359
