t33418aep|ZBED8_BOVIN,0
t34792aep|PTH2_BOVIN,0.00438322770858752
t34790aep|TWF1_HUMAN,0.276669799704544
t32481aep|GUAA_RAT,0.027051063950757
t32473aep|RB18B_DANRE,-0.00546427914860582
t32475aep|WHITE_DROME,0.010936806110502
t32469aep|CO6A4_MOUSE,0
t32470aep|LYRM2_MOUSE,0.0919632699032048
t31220aep|P52K_HUMAN,0
t31227aep|SYCP2_RAT,0.0163791839347943
t31225aep|RT35_BOVIN,0.258473463147016
t31230aep|UNC89_CAEEL,0
t31231aep|UNC89_CAEEL,0
t36653aep|DOHH_RAT,0
t36650aep|ANKK1_MOUSE,0.0226603562771528
t36663aep|AA2AR_CANLF,0
t37814aep|CC105_BOVIN,-0.0237685849420491
t37817aep|RS6_BRAFL,0.480122427677887
t37818aep|EF1A_HYDVU,0.40924363041505
t37816aep|LRP2_RAT,0.0375776195463125
t32256aep|P5CR1_BOVIN,0.74644192283917
t32265aep|SYD1_CAEEL,-0.013600204656404
t32253aep|YPEL5_PONAB,0.0715740854151179
t32261aep|GAPR1_HUMAN,0
t32266aep|GGT1_PIG,0.936128673259551
t32269aep|FSTL1_BOVIN,-0.0128248799860482
t32255aep|CHSS1_MOUSE,0.0186823546920985
t32258aep|SHPK_MOUSE,-0.0261781309843484
t32263aep|IF172_DANRE,-0.0173013475035533
t32267aep|CG050_MOUSE,0.247457865591562
t35087aep|CJ076_XENLA,0.0285394055826185
t35085aep|RS30_ORYLA,-0.0621571775478479
t35082aep|WASH7_HUMAN,0.00576109868171631
t35075aep|COMD6_MOUSE,0.0367961113526153
t35079aep|RB39B_MOUSE,-0.0180479538465701
t35552aep|DTL_CHICK,-0.000934876282220213
t35556aep|M4K2_HUMAN,0.055462114901913
t35545aep|KLC4_MOUSE,0.0327555441541211
t35549aep|PDRG1_RAT,0.0318413986021921
t35558aep|ARP10_HUMAN,-0.0581141315085213
t36397aep|ARMC7_MOUSE,0.155645157161896
t36395aep|NAS15_CAEEL,0
t36392aep|UTP15_HUMAN,0.123266630662922
t36388aep|YR826_MIMIV,0
t36391aep|HETE1_PODAS,0
t36387aep|NPHP3_HUMAN,0
t35409aep|BTBD7_HUMAN,0.0327555441541211
t35401aep|LIN52_DANRE,0.0801272881254788
t35403aep|MYPN_MOUSE,0.199148772593077
t35411aep|EDC3_PONAB,-0.0395590721211106
t35406aep|WDY_ANOGA,0
t35408aep|NK2R_RAT,0
t33712aep|HACD_CAEEL,0
t33710aep|SEC_ARATH,0
t33694aep|KLC4_MOUSE,0
t33696aep|CNRP1_BOVIN,0
t33709aep|TC3A_CAEEL,0
t33695aep|GID8_NEMVE,0.024044969420946
t35845aep|TIM9_MOUSE,0.11933142480356
t35851aep|OPSD1_MIZYE,0.00453070645092343
t35853aep|TM175_MOUSE,0
t35848aep|MS3L1_PONAB,0.235841187719856
t35846aep|SDHF3_NEMVE,0.0980581556092949
t35850aep|CYTA_MOUSE,0.0491291130079949
t35847aep|PHF3_HUMAN,0.145815925111115
t35212aep|EFCB2_MOUSE,0
t35208aep|TTC28_MOUSE,0
t35207aep|CP17A_ICTPU,0.0327555441541211
t35215aep|MTA1_HUMAN,0.0257779679817572
t35204aep|RET_RAT,0.0163791839347943
t35214aep|ZMYM1_HUMAN,0
t35217aep|CEBPB_CHICK,-0.005494580400336
t37320aep|CO6A6_HUMAN,0.0181809343388964
t37316aep|ASPM_SHEEP,0.0589785252697259
t37317aep|ASPM_SAIBB,0.0195769518131891
t37318aep|MYOG_DICDI,0
t37319aep|ASPM_MACMU,0
t37312aep|UBC12_SCHPO,-0.1217337373528
t36969aep|CISD3_HUMAN,0.229531698257873
t32622aep|MK14_CANLF,-0.0364454368128431
t32614aep|XRRA1_MOUSE,0
t32620aep|HMCN1_HUMAN,0.0491291130079949
t32615aep|UNK_HUMAN,-0.0205638131538104
t32623aep|F1142_BOVIN,0.0263162399433252
t32633aep|MED16_XENTR,0.0049957456109253
t32616aep|FBN1_BOVIN,-0.0276742841662672
t33656aep|CRYAB_BOVIN,0.021323435309617
t33645aep|TLR1_DROME,0.00199615161936473
t33652aep|DD3_DICDI,0
t33647aep|WHITE_LUCCU,0.263697517230062
t33641aep|AT5F1_BOVIN,0.386638455978421
t33657aep|TM243_BOVIN,-0.155409339548297
t33648aep|KPCD3_HUMAN,0.13218417402653
t33644aep|CC180_HUMAN,-0.0603191626655486
t33650aep|DUS22_HUMAN,0.0327428786640709
t37963aep|NAPEP_BOVIN,0
t37951aep|MPU1_MOUSE,0.0626638745439301
t37954aep|DYH10_HUMAN,0
t37961aep|NRDC_MOUSE,-0.0863855320731709
t37948aep|RHG32_XENLA,-0.0943740453421992
t31825aep|F185A_MOUSE,0.0970635962584694
t31829aep|MYO10_HUMAN,0.115910850579734
t31824aep|DNJC5_TETCF,-0.0539076302777749
t31819aep|CPSF1_BOVIN,-0.0579812983767197
t31818aep|DYR_AEDAL,0.1278625146697
t31817aep|AKR1_YARLI,0
t32428aep|UBP15_HUMAN,0
t32418aep|TSEAR_HUMAN,0.0163791839347943
t32411aep|CNGA2_BOVIN,0
t32420aep|RPE_HUMAN,0.0164726187047064
t32421aep|PCS3_LOTJA,-0.0533899582116873
t32425aep|ANXA7_MOUSE,-0.137643286991318
t32422aep|UTP11_MOUSE,0.103911832223523
t32427aep|TBC20_MOUSE,0.0301917432456518
t32412aep|M3K19_HUMAN,-0.0427646989564684
