t33418aep|ZBED8_BOVIN,0
t37645aep|CP4V2_MOUSE,0.0755202431105895
t31628aep|TSP1_BOVIN,0
t31619aep|ABCA2_HUMAN,0.0152497810644276
t31633aep|PREA_SALTY,0
t31620aep|PTRB_MORLA,0
t31618aep|DTBP1_CHICK,-0.0301405158291186
t36047aep|FUCTA_DROME,0
t36970aep|EXOS6_DANRE,-0.0778191689801468
t34456aep|TAF3_CHICK,-0.161051733093626
t34453aep|RIFK_DROME,-0.0316658980813949
t34451aep|RSGI5_CLOTH,0.0152497810644276
t34446aep|VIAAT_XENLA,0
t34450aep|KCNH5_MOUSE,0
t36334aep|DOCK3_HUMAN,0.0222080807762916
t36327aep|RAD21_SCHPO,0
t36332aep|COPG2_ORYSJ,0
t36340aep|AT1A_HYDVU,0.0152497810644276
t36336aep|CEP76_PONAB,-0.0455650332478217
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,0.0303650761731124
t36337aep|CRYAB_BOVIN,-0.165773046096684
t35904aep|DDAC_ENTAG,0.174804211536496
t35900aep|RHCG_XENTR,-0.0326099245135653
t35903aep|S35E3_DANRE,0.0340219184896917
t35908aep|CAF1A_CHICK,0.00876281447360936
t32664aep|AQP9_HUMAN,0.671562111676252
t32662aep|SERB_BOVIN,-0.0676707508194082
t31832aep|P52K_HUMAN,0
t31833aep|BP10_PARLI,0.00933238972288955
t31838aep|STXB1_RAT,0.0678772349403124
t38104aep|B3GN4_HUMAN,-0.00970530905335521
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0
t38110aep|P2R3C_HUMAN,-0.00574441165218131
t38118aep|AGRIN_MOUSE,0.218086132566266
t38103aep|PTSS1_DANRE,-0.023983508908674
t38117aep|SAXO1_RAT,-0.0322523401937852
t33743aep|EXOC7_RAT,-0.0914303160433136
t33739aep|RPP14_MOUSE,0.0319547293188085
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,-0.031253535242684
t33735aep|DHB11_RAT,0.208725780364181
t32686aep|MRP1_CHICK,0.0706553195444258
t32685aep|RN146_XENTR,0.139101661621563
t32696aep|OTOF_DANRE,0.0152497810644276
t32692aep|GPTC4_XENTR,-0.167072162570511
t32693aep|S27A4_HUMAN,-0.00394388159780873
t32687aep|RAB23_HUMAN,0.139804797940064
t32691aep|PP14C_RAT,0.119819964853877
t32688aep|CPT2_MOUSE,0
t35871aep|NOD1_MOUSE,0.0755202431105895
t35860aep|KIF3A_MACFA,-0.0108284428039846
t35866aep|MEL2A_DANRE,0.0175159913058216
t35863aep|SSPO_CHICK,0.00447456909052921
t35872aep|NAPEP_BOVIN,0.157828925188475
t35870aep|STK10_CHICK,-0.0397845058635899
t35858aep|SCND3_HUMAN,0
t35861aep|ABCBA_HUMAN,-0.0590932601381009
t35862aep|MEGF6_HUMAN,0.0358232170026795
t35855aep|MIPEP_PONAB,-0.0115401014976125
t35857aep|PKD2_ORYLA,0
t35354aep|KLC3_RAT,0
t35356aep|CASP8_RAT,0.00720678983520998
t35353aep|B4GA1_DANRE,-0.00890298443379062
t33691aep|ABCB2_DICDI,0
t37371aep|IDI1_BOVIN,-0.0273889489260133
t37374aep|VWDE_HUMAN,0
t37381aep|RPAC2_BOVIN,-0.0302083189774125
t37368aep|PEX10_MOUSE,-0.103541915458665
t37380aep|CBL_MOUSE,0.0842912781500173
t37375aep|TC3A_CAEEL,0
t32307aep|NCAN_PANTR,0
t32309aep|TM203_HUMAN,0.0416460756529701
t32310aep|LSM1_HUMAN,-0.053162033435359
t32305aep|PPCT_MOUSE,-0.0176877464991048
t32304aep|SWT15_VITVI,-0.00350766674223448
t33480aep|MSRB_METBF,-0.0232931879027972
t33470aep|PGBD3_HUMAN,0
t33473aep|THAP1_DANRE,0
t33081aep|ZMYM5_BOVIN,0
t33080aep|KIF17_HUMAN,-0.151441653890443
t33084aep|TXIP1_MOUSE,0
t33085aep|TXIP1_HUMAN,0.0241359625098102
t38023aep|FUT3_PONPY,0
t38021aep|YD286_MOUSE,-0.0416514670275163
t36728aep|ARL5B_MOUSE,-0.0196842835935967
t33589aep|THAP2_MOUSE,0.0152497810644276
t32812aep|TCB2_CAEBR,0
t32818aep|SY65_DROME,0
t32809aep|TRPA1_HUMAN,0
t32819aep|T106C_HUMAN,0.192866598455828
t32810aep|NDUA5_BOVIN,-0.145033880591379
t35726aep|SO4C1_RAT,0.150721734654076
t35724aep|SYF2_DANRE,-0.494432356451251
t35979aep|ECI1_RAT,-0.109711155227582
t35981aep|PRPF3_CHICK,-0.13407874908554
t35991aep|FLNC_RAT,-0.0115047699970839
t37010aep|NDUF4_PONAB,-0.0726682269555232
t35994aep|MLRP2_ACRMI,1.24296554335928
t35982aep|NLTP_CHICK,-0.147392846413512
t35993aep|VATE_DROME,-0.24858257493767
t35988aep|CIA30_DROME,0.000514981511544354
t35989aep|M2K3_ARATH,0
t35984aep|DYH6_HUMAN,0.0219812480172199
t35985aep|DYH6_HUMAN,0
t31651aep|LRRK2_MOUSE,0.0152497810644276
t31647aep|PPT1_HUMAN,0.885455815521648
t38649aep|ATXA_LEIDO,0
t38641aep|AL7A1_CAEEL,0
t38633aep|DRG1_XENLA,-0.23651845730246
t38636aep|ALG3_HUMAN,-0.0116629907265005
t38647aep|RAP1_CAEEL,0
t38646aep|PARG_BOVIN,0.0200014804171586
t37013aep|LAGE3_MOUSE,-0.136409364097008
t38648aep|TM175_CHICK,0
t34435aep|IMPTB_XENTR,0.0147112396088987
t34431aep|RSPH1_HUMAN,0.560937673888149
t34434aep|S12A8_XENLA,-0.026887464994864
t34436aep|XRN1_HUMAN,-0.0212552236555075
t34428aep|SPC25_RAT,-0.0922516711661155
t34430aep|RPAP1_BOVIN,0.00274228064625831
t34429aep|PP4C_XENTR,-0.107623036768482
t34427aep|ML12B_BOVIN,0.318470168866293
t31846aep|CEP70_RAT,-0.0201274419849781
t31844aep|TLL1_DANRE,0
t31842aep|TERA_XENLA,-0.0273553410000347
t31849aep|TYPH_RAT,0.0389455146861517
t31847aep|RS2_ICTPU,0.0178555534833487
t31848aep|SPCS3_CHICK,0.255218909198545
t34798aep|APH1_DROME,0.0279268891538407
t34802aep|PISD_CRIGR,-0.0202939472149311
t34796aep|PCMD2_BOVIN,0.000716942785972543
t34792aep|PTH2_BOVIN,-0.0838241663968913
t34790aep|TWF1_HUMAN,0.0860923198119076
t32481aep|GUAA_RAT,0
t32473aep|RB18B_DANRE,0.00229249942640972
t32475aep|WHITE_DROME,-0.00544237782429253
t32469aep|CO6A4_MOUSE,0.0152497810644276
t32470aep|LYRM2_MOUSE,-0.0480121924837007
t31220aep|P52K_HUMAN,0
t31227aep|SYCP2_RAT,0
t31225aep|RT35_BOVIN,-0.0756279385259199
t31230aep|UNC89_CAEEL,0.0152497810644276
t31231aep|UNC89_CAEEL,0
t36653aep|DOHH_RAT,0.0152497810644276
t36650aep|ANKK1_MOUSE,-0.0124139855894457
t36663aep|AA2AR_CANLF,0
t37814aep|CC105_BOVIN,0.109151208354985
t37817aep|RS6_BRAFL,-0.123527365887894
