t37645aep|CP4V2_MOUSE,0.0126736122431867
t31619aep|ABCA2_HUMAN,0.0506694946762219
t31618aep|DTBP1_CHICK,0.0562781712237659
t36970aep|EXOS6_DANRE,0.0251772340360243
t36334aep|DOCK3_HUMAN,0.0615014434620613
t36340aep|AT1A_HYDVU,0.0126736122431867
t36336aep|CEP76_PONAB,0.0151648483126695
t36329aep|FGOP2_CHICK,0.019594739651611
t36337aep|CRYAB_BOVIN,0.0722379630926364
t35900aep|RHCG_XENTR,0.513194194118364
t32664aep|AQP9_HUMAN,0.004229279661872
t38104aep|B3GN4_HUMAN,0.293093657828788
t38110aep|P2R3C_HUMAN,0.0482235586937547
t38103aep|PTSS1_DANRE,0.0491890920672961
t38117aep|SAXO1_RAT,0.0106101053052909
t33741aep|IFT20_DANRE,0.0445257668081017
t33735aep|DHB11_RAT,0.0565785930644521
t32696aep|OTOF_DANRE,0.0126736122431867
t32693aep|S27A4_HUMAN,0.00677921590759895
t32688aep|CPT2_MOUSE,0.0781293365733581
t35872aep|NAPEP_BOVIN,0.0502065072926096
t35858aep|SCND3_HUMAN,0.0126736122431867
t35861aep|ABCBA_HUMAN,0.0265438417661972
t35862aep|MEGF6_HUMAN,0.0156377311461931
t35855aep|MIPEP_PONAB,0.00387984066557909
t35857aep|PKD2_ORYLA,0.0126736122431867
t37371aep|IDI1_BOVIN,0.0512370713881072
t37381aep|RPAC2_BOVIN,0.00123014336417693
t37380aep|CBL_MOUSE,0.0938045918620908
t32309aep|TM203_HUMAN,0.0929516576666463
t33480aep|MSRB_METBF,0.0120804645276855
t33589aep|THAP2_MOUSE,0.0126736122431867
t32818aep|SY65_DROME,0.0126736122431867
t32819aep|T106C_HUMAN,0.0231383800014966
t35726aep|SO4C1_RAT,0.169431827776518
t35724aep|SYF2_DANRE,0.0297034176042669
t35979aep|ECI1_RAT,0.0297434485897798
t35981aep|PRPF3_CHICK,0.0907779152435284
t35991aep|FLNC_RAT,0.358732601963852
t35994aep|MLRP2_ACRMI,0.0209773510463504
t35982aep|NLTP_CHICK,0.167829953259185
t35993aep|VATE_DROME,0.408875758990755
t31651aep|LRRK2_MOUSE,0.0126736122431867
t31647aep|PPT1_HUMAN,0.157243866459381
t38633aep|DRG1_XENLA,0.0498776686964732
t38646aep|PARG_BOVIN,0.00556999280005425
t34436aep|XRN1_HUMAN,0.0195860330783747
t34427aep|ML12B_BOVIN,0.0509173410045903
t31846aep|CEP70_RAT,0.0507208148986378
t31848aep|SPCS3_CHICK,0.072674947011547
t34802aep|PISD_CRIGR,0.00504909298461734
t34796aep|PCMD2_BOVIN,0.00585791140615977
t34790aep|TWF1_HUMAN,0.188418747087627
t32473aep|RB18B_DANRE,0.0541361995415185
t32475aep|WHITE_DROME,0.0452271168519294
t31220aep|P52K_HUMAN,0.0126736122431867
t31225aep|RT35_BOVIN,0.0818513927143616
t36650aep|ANKK1_MOUSE,0.0078299284882415
t37817aep|RS6_BRAFL,0.100721213189255
t37818aep|EF1A_HYDVU,0.0377751465507686
t37816aep|LRP2_RAT,0.0279292550345615
t32256aep|P5CR1_BOVIN,0.757092038750548
t32253aep|YPEL5_PONAB,0.0292466238682776
t32266aep|GGT1_PIG,1.91558540845238
t32267aep|CG050_MOUSE,0.034062877133323
t35087aep|CJ076_XENLA,0.000399066191892444
t35085aep|RS30_ORYLA,0.0138224850770708
t35079aep|RB39B_MOUSE,0.00880259577035377
t35556aep|M4K2_HUMAN,0.113173991789692
t35545aep|KLC4_MOUSE,0.0253430401995483
t36395aep|NAS15_CAEEL,0.0327522559153795
t35409aep|BTBD7_HUMAN,0.0126736122431867
t35401aep|LIN52_DANRE,0.0214141832182976
t35403aep|MYPN_MOUSE,0.43487972002622
t33695aep|GID8_NEMVE,0.0598200812640318
t35848aep|MS3L1_PONAB,0.0157405540595226
t35846aep|SDHF3_NEMVE,0.0498049713617045
t35850aep|CYTA_MOUSE,0.0380083218171353
t37316aep|ASPM_SHEEP,0.0144998332238374
t37317aep|ASPM_SAIBB,0.0717216762873445
t36969aep|CISD3_HUMAN,0.108160668971942
t32622aep|MK14_CANLF,0.00156288500429211
t32620aep|HMCN1_HUMAN,0.0707286529162174
t32615aep|UNK_HUMAN,0.0231629923349419
t32633aep|MED16_XENTR,0.0318462952278492
