t34987aep|FA47E_HUMAN,0.0322186523711561
t34997aep|HBAP1_RAT,0.0429945217811118
t34996aep|RET_RAT,0.0175939556870301
t31900aep|FRIH_TREBE,0.163621423778386
t31908aep|RSLBA_HUMAN,0.171679609197546
t31912aep|HSP70_HYDVU,0.426782286657421
t31899aep|AT1A_HYDVU,0.0838876215547876
t31910aep|CAH1_RAT,0.0277102607810287
t36373aep|RTXE_DROME,0.0277102607810287
t38186aep|CRYAB_BOVIN,0.00983222024736531
t32725aep|TIM10_CAEBR,0.0246802314110247
t35366aep|XRN1_HUMAN,0.00872057998308259
t35365aep|SGCD_HUMAN,0.89488568372456
t34195aep|SAM9L_HUMAN,0.0811370189326339
t34183aep|TLN1_HUMAN,0.00833053280564346
t34181aep|HARB1_DANRE,0.0277102607810287
t32769aep|KLC4_HUMAN,0.0277102607810287
t32757aep|INO80_MOUSE,0.0189986683972408
t33155aep|CBPD_LOPSP,0.0277102607810287
t34085aep|AL221_ARATH,0.0277102607810287
t32166aep|GBB5_PONAB,0.0618565700489351
t36933aep|ATG2B_HUMAN,0.00811023863593078
t36920aep|SWI5_HUMAN,0.0135639082731367
t35832aep|SPTN1_HUMAN,0.00926453962534393
t35835aep|IFT22_XENTR,0.433170616008708
t35000aep|S23IP_MOUSE,0.0312701194764945
t35008aep|OPN4_PHOSU,0.0550685399346668
t32100aep|PRRT1_MOUSE,0.0184892062829618
t32112aep|HACE1_HUMAN,0.108002237588018
t32321aep|DYH7_HUMAN,0.029216850898104
t32319aep|AAPK2_HUMAN,0.0318410341112635
t36031aep|ANPRA_MOUSE,0.0363560822120359
t34090aep|MYLK_RABIT,0.315593840308428
t35701aep|HOME2_HUMAN,0.0888038137654158
t32136aep|ZDH11_MOUSE,1.06092326498123
t32151aep|HE_PARLI,0.0144550847139558
t37192aep|FBXW2_MOUSE,0.0118071271197189
t33385aep|CDD_DICDI,0.0277102607810287
t36569aep|BCD1_PONAB,0.00508483955931645
t36749aep|NEMP1_XENTR,0.0302250855086564
t36744aep|ZER1_HUMAN,0.0136281100648656
t38616aep|G3ST1_HUMAN,0.0277102607810287
t34467aep|GAPR1_MOUSE,0.282285937698193
t34475aep|LRIG2_HUMAN,0.495945845397829
t34464aep|RUSD4_HUMAN,0.161871884619968
t34674aep|KI16B_MOUSE,0.172082489345879
t34670aep|VKORL_HUMAN,0.520196757381956
t37718aep|CFA45_HUMAN,0.675443963587457
t37731aep|S17A9_MOUSE,0.0550685399346668
t32502aep|MKS3_RAT,0.0277102607810287
t32518aep|PTHD3_MOUSE,0.0199164950912641
t32513aep|MRC2_HUMAN,0.0277102607810287
t32512aep|ACSF4_HUMAN,0.0140989027904478
t36975aep|DYH5_HUMAN,0.023388051905884
t36989aep|GPX5_PIG,0.0146741153591507
t36990aep|TV23B_BOVIN,0.150556363167663
t36988aep|FAT4_HUMAN,0.0124508994655879
t36994aep|KINH_SYNRA,0.108772490429969
t37004aep|MICA2_RAT,0.107911046127358
t36996aep|MPIP1_HUMAN,0.0123184598202223
t37006aep|SVIL_MOUSE,0.155007716157692
t35158aep|LITH_RAT,0.0927658295617978
t35146aep|ABR_BOVIN,0.0328964104232662
t35152aep|ACTP1_ANTAS,0.0277102607810287
t35148aep|MT21D_MOUSE,0.0261967700844573
t35154aep|DJC17_BOVIN,0.027121745534355
t37987aep|MET17_MOUSE,0.170905046266973
t37981aep|GAPR1_MOUSE,0.0277102607810287
t37988aep|GLNA_PANAR,0.443077086091477
t33519aep|CCD25_DANRE,0.026206631495519
t33502aep|RET_RAT,0.0044727754744091
t33518aep|INT7_CHICK,0.0168918558458623
t31277aep|NHEJ1_DANRE,0.0302123892813198
t33783aep|GRM3_MOUSE,0.0550685399346668
t33776aep|ASIC3_HUMAN,0.039818758870239
t33775aep|UB2G2_PONAB,0.0165484623087034
t31950aep|B3GN2_HUMAN,0.0615636504757136
t31929aep|CERS6_HUMAN,0.0274302027827528
t31931aep|ANK3_MOUSE,0.0572705846759677
t31942aep|ECE1_CAVPO,0.0108087818018361
t32744aep|LMX1A_HUMAN,1.7514300382381
t32740aep|KLC4_HUMAN,0.0215409709293228
t33592aep|ZNT1_HUMAN,0.076652803858429
t33590aep|STS_HUMAN,0.0213913963910696
t33595aep|FLT3_HUMAN,0.0277102607810287
t33591aep|EXOS4_BOVIN,0.039012279464744
t33615aep|S43A3_BOVIN,0.0277102607810287
t33605aep|BGLG_ASPTN,0.0277102607810287
t32376aep|FA96A_HUMAN,0.0170334116500128
t32382aep|TCHP_DANRE,0.093940462402471
t38579aep|CB069_DANRE,0.0424701306540984
t38581aep|HE_HEMPU,0.0268691850637353
t38432aep|MYO3B_HUMAN,0.100417498387378
t38504aep|CATIP_DANRE,0.0965856343201369
t38506aep|ANK2_HUMAN,0.651834045472899
t38509aep|DCDC2_MOUSE,0.520905358710233
t38497aep|DDC_HUMAN,0.120028072263442
t38498aep|MARH1_HUMAN,0.667663499131997
t31729aep|FREM2_MOUSE,0.0972867279799
t31734aep|VITRN_MOUSE,0.0304294804685683
t33119aep|KINH_STRPU,0.259149933629224
t33099aep|ASM_BOVIN,0.00760363430954027
