t33418aep|ZBED8_BOVIN,0
t37645aep|CP4V2_MOUSE,0
t31628aep|TSP1_BOVIN,0
t31619aep|ABCA2_HUMAN,0
t31633aep|PREA_SALTY,0.176419254197601
t31620aep|PTRB_MORLA,0.0907368425308409
t31618aep|DTBP1_CHICK,-0.173378481601993
t36047aep|FUCTA_DROME,0
t36970aep|EXOS6_DANRE,0.120822694954885
t34456aep|TAF3_CHICK,-0.0466926472848911
t34453aep|RIFK_DROME,0.0438211633850181
t34451aep|RSGI5_CLOTH,0
t34446aep|VIAAT_XENLA,0.334734975146727
t34450aep|KCNH5_MOUSE,0
t36334aep|DOCK3_HUMAN,0.222266647329708
t36327aep|RAD21_SCHPO,0
t36332aep|COPG2_ORYSJ,0
t36340aep|AT1A_HYDVU,0
t36336aep|CEP76_PONAB,-0.0608148143122495
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,0.0505070074321063
t36337aep|CRYAB_BOVIN,0.314448952260403
t35904aep|DDAC_ENTAG,0
t35900aep|RHCG_XENTR,0.209737346003617
t35903aep|S35E3_DANRE,-0.181507197257985
t35908aep|CAF1A_CHICK,0.0239794138938607
t32664aep|AQP9_HUMAN,-0.00844433258131474
t32662aep|SERB_BOVIN,0.221535698271284
t31832aep|P52K_HUMAN,0
t31833aep|BP10_PARLI,0.218503130113146
t31838aep|STXB1_RAT,0.349229291060798
t38104aep|B3GN4_HUMAN,0.0810315334774857
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0.0907368425308409
t38110aep|P2R3C_HUMAN,0.434627186068718
t38118aep|AGRIN_MOUSE,-0.00337415018350096
t38103aep|PTSS1_DANRE,-0.187840396613274
t38117aep|SAXO1_RAT,0.696152353025594
t33743aep|EXOC7_RAT,-0.0294323066578962
t33739aep|RPP14_MOUSE,-0.102721679274501
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,-0.0767820612987187
t33735aep|DHB11_RAT,0.368583635279238
t32686aep|MRP1_CHICK,0.266387355523959
t32685aep|RN146_XENTR,-0.0889681398708879
t32696aep|OTOF_DANRE,0
t32692aep|GPTC4_XENTR,0.0556143410974264
t32693aep|S27A4_HUMAN,0.0292374068269173
t32687aep|RAB23_HUMAN,-0.0485260553289449
t32691aep|PP14C_RAT,-0.0319572995271562
t32688aep|CPT2_MOUSE,0
t35871aep|NOD1_MOUSE,0.0907368425308409
t35860aep|KIF3A_MACFA,0.230151557213928
t35866aep|MEL2A_DANRE,-0.102472240206507
t35863aep|SSPO_CHICK,0.246821839607711
t35872aep|NAPEP_BOVIN,-0.0205221456236079
t35870aep|STK10_CHICK,-0.263958190986157
t35858aep|SCND3_HUMAN,0
t35861aep|ABCBA_HUMAN,0.168078210844974
t35862aep|MEGF6_HUMAN,-0.00970530905335521
t35855aep|MIPEP_PONAB,0.018637020571501
t35857aep|PKD2_ORYLA,0
t35354aep|KLC3_RAT,0
t35356aep|CASP8_RAT,0.0224233892554614
t35353aep|B4GA1_DANRE,-0.0393285650323254
t33691aep|ABCB2_DICDI,0
t37371aep|IDI1_BOVIN,-0.0879486693877405
t37374aep|VWDE_HUMAN,0
t37381aep|RPAC2_BOVIN,-0.205894510326048
t37368aep|PEX10_MOUSE,0.0123176182772088
t37380aep|CBL_MOUSE,1.03437929090532
t37375aep|TC3A_CAEEL,0
t32307aep|NCAN_PANTR,0.25759705158161
t32309aep|TM203_HUMAN,-0.136704995159113
t32310aep|LSM1_HUMAN,-0.187838442028669
t32305aep|PPCT_MOUSE,-0.0329375275635326
t32304aep|SWT15_VITVI,0.148855909149057
t33480aep|MSRB_METBF,-0.785820560919087
t33470aep|PGBD3_HUMAN,0
t33473aep|THAP1_DANRE,0
t33081aep|ZMYM5_BOVIN,0
t33080aep|KIF17_HUMAN,-0.150100987824562
t33084aep|TXIP1_MOUSE,0
t33085aep|TXIP1_HUMAN,0
t38023aep|FUT3_PONPY,0
t38021aep|YD286_MOUSE,-0.026434867607265
t36728aep|ARL5B_MOUSE,-0.0925268423334235
t33589aep|THAP2_MOUSE,0
t32812aep|TCB2_CAEBR,0
t32818aep|SY65_DROME,0
t32809aep|TRPA1_HUMAN,0.0907368425308409
t32819aep|T106C_HUMAN,-0.170830737063792
t32810aep|NDUA5_BOVIN,-0.482282120155812
t35726aep|SO4C1_RAT,-0.0276293361580072
t35724aep|SYF2_DANRE,-0.470212931806551
t35979aep|ECI1_RAT,-0.288062226039665
t35981aep|PRPF3_CHICK,-0.169863852667867
t35991aep|FLNC_RAT,0.886490234220602
t37010aep|NDUF4_PONAB,-0.13322794741725
t35994aep|MLRP2_ACRMI,-0.0423492449469329
t35982aep|NLTP_CHICK,-0.36831146244572
t35993aep|VATE_DROME,-1.10936328800308
t35988aep|CIA30_DROME,-0.0299105990869903
t35989aep|M2K3_ARATH,0
t35984aep|DYH6_HUMAN,-0.00844433258131474
t35985aep|DYH6_HUMAN,0
t31651aep|LRRK2_MOUSE,0
t31647aep|PPT1_HUMAN,0.0139711372832995
t38649aep|ATXA_LEIDO,0
t38641aep|AL7A1_CAEEL,0
t38633aep|DRG1_XENLA,-0.654702249736313
t38636aep|ALG3_HUMAN,0.137237287617594
t38647aep|RAP1_CAEEL,0
t38646aep|PARG_BOVIN,-0.0704096698248644
t37013aep|LAGE3_MOUSE,-0.476012689192827
t38648aep|TM175_CHICK,0.0907368425308409
t34435aep|IMPTB_XENTR,-0.0308172864471359
t34431aep|RSPH1_HUMAN,-0.0414232457753863
t34434aep|S12A8_XENLA,0.0638493775359768
t34436aep|XRN1_HUMAN,0.135128680679136
t34428aep|SPC25_RAT,0.0386390569754506
t34430aep|RPAP1_BOVIN,-0.0427862454097765
t34429aep|PP4C_XENTR,-0.364315703087708
t34427aep|ML12B_BOVIN,0.0181990760009966
t31846aep|CEP70_RAT,-0.0505530225835129
t31844aep|TLL1_DANRE,0
t31842aep|TERA_XENLA,-0.448265796256057
t31849aep|TYPH_RAT,-0.0216142057755755
t31847aep|RS2_ICTPU,-1.79158454716297
t31848aep|SPCS3_CHICK,-0.658973568108747
t34798aep|APH1_DROME,0.113934993109418
t34802aep|PISD_CRIGR,0.237303104366679
t34796aep|PCMD2_BOVIN,0.0459252592607789
t34792aep|PTH2_BOVIN,-0.0386158499220852
t34790aep|TWF1_HUMAN,-0.0608970435325951
t32481aep|GUAA_RAT,-0.104491666691012
t32473aep|RB18B_DANRE,-0.0218434630834003
t32475aep|WHITE_DROME,-0.00544237782429253
t32469aep|CO6A4_MOUSE,0
t32470aep|LYRM2_MOUSE,-0.0327955930634494
t31220aep|P52K_HUMAN,0
t31227aep|SYCP2_RAT,0
t31225aep|RT35_BOVIN,-0.544101050043656
t31230aep|UNC89_CAEEL,0
t31231aep|UNC89_CAEEL,0
t36653aep|DOHH_RAT,0
t36650aep|ANKK1_MOUSE,0.0478972763428605
t36663aep|AA2AR_CANLF,0.303183441636496
