t32416aep|COMD8_HUMAN,0.136224366023137
t32413aep|NTPES_BACSU,1.57689349839052
t36940aep|ROP1L_XENLA,0.0378309768792281
t36953aep|RBM26_HUMAN,0.025905704017291
t36948aep|RM54_HUMAN,0.0692273621357711
t36944aep|CFA74_MOUSE,0.0385544293903231
t36938aep|SYT15_HUMAN,0.0194671861528425
t33893aep|MCPI_MELCP,0.655974939177796
t33901aep|KLC4_BOVIN,0.0269179048754282
t33900aep|SIP2_YEAST,1.1697118063438
t33627aep|VMP1_DANRE,0.0144661286136184
t33620aep|SYT7_HUMAN,0.207936103086722
t33626aep|PFLD_ECOLI,0.0176498455636306
t36961aep|TRAF4_HUMAN,0.0132446468057602
t31714aep|KLC4_RAT,0.00898305494775122
t31719aep|VATC_MANSE,0.231426096795033
t33194aep|UBP54_RAT,0.0357501998363794
t33183aep|PNKP_HUMAN,0.432854836252363
t33189aep|IQCA1_HUMAN,0.00898305494775122
t33188aep|ADCY9_HUMAN,0.070919285565757
t37636aep|FAT2_DROME,0.0179556643073071
t37632aep|LGR5_XENTR,0.0269179048754282
t37622aep|NEK4_MOUSE,0.0419474943164948
t37637aep|DYHC_HELCR,0.00499589295158105
t36963aep|PPID_HUMAN,0.0406288261061439
t36590aep|GLYM_HUMAN,0.0452462908965179
t36585aep|CALM_MACPY,0.00595302557774713
t36580aep|S39AD_DANRE,0.428906088544585
t34754aep|FXC2B_XENLA,0.684049121552289
t34760aep|QORL1_MOUSE,0.021377440425425
t34762aep|TYDP2_RAT,0.0597001248882168
t34759aep|TDRD5_AILME,0.0312754948190773
t34764aep|RSU1_BOVIN,0.544496034030463
t38671aep|SETD7_HUMAN,0.013053169967356
t38670aep|RADI_BOVIN,0.116082311753626
t38672aep|SHL2_ORYSJ,0.00898305494775122
t38673aep|RDR2_ORYSJ,0.0269179048754282
t38687aep|PTPRD_MOUSE,0.0179556643073071
t36972aep|FUCM_HUMAN,0.217512095066484
t32838aep|RASLC_DANRE,0.686780898751645
t32851aep|STX18_HUMAN,0.122991128072752
t32840aep|CNOT2_HUMAN,0.155903392784375
t36490aep|CCD81_HUMAN,0.0192660347268818
t36502aep|NPHP3_HUMAN,0.0245424133709684
t36499aep|S22A5_HUMAN,0.104133537835356
t36496aep|TNAP3_MACFA,0.204997810705499
t36491aep|VP37B_HUMAN,0.0223629263876964
t36488aep|TIGD2_MOUSE,0.0411016652730261
t34595aep|NDK_CHICK,0.455310306448659
t34608aep|CATL_SARPE,0.0715762143231589
t34605aep|CRFR2_XENLA,0.0022579621843288
t34604aep|RA51D_ARATH,0.0186960288533
t34600aep|KPSH1_BOVIN,0.0269931092239793
