t33109aep|DAG1_BOVIN,0.0257207057807523
t33106aep|NPHP3_HUMAN,0.019119255578875
t36769aep|MFSD6_PIG,0.139147083277375
t36591aep|ZMYM1_HUMAN,0.0440121130806945
t32286aep|RIMS2_RAT,0.154876967527464
t32273aep|CI172_HUMAN,0.185279801147672
t32293aep|PKHM2_HUMAN,0.0458024654574331
t32275aep|CAN5_MOUSE,0.473642897714236
t32906aep|SNP47_RAT,0.0211803786178898
t32901aep|APBP2_RAT,0.0189385943822663
t32927aep|RTJK_DROME,0.0257207057807523
t32907aep|KALRN_MOUSE,0.641410564675827
t32334aep|DCTP1_MOUSE,0.0528865446378071
t32328aep|SPIT3_HUMAN,0.253895512890889
t32898aep|CAC1B_RAT,0.0364411307781636
t32895aep|RMR2_ORYSJ,0.00413944019130899
t37679aep|DCC_MOUSE,0.0483919452500293
t33217aep|IN80D_XENLA,0.00630996196635432
t33218aep|TACC3_XENLA,0.382447972752697
t33225aep|CE350_HUMAN,0.0116730746827115
t33213aep|CEP44_XENTR,0.0324197460892875
t33222aep|ENPP4_XENTR,0.223142268165069
t33844aep|RTJK_DROME,0.0257207057807523
t35769aep|S36A1_HUMAN,0.264582121098187
t35781aep|NISCH_HUMAN,0.0185237297518328
t37400aep|AMPP1_PENRW,0.0756800241549431
t37409aep|ATS9_HUMAN,0.0257207057807523
t37418aep|CHSS2_HUMAN,0.00128213096153233
t37427aep|Y2R2_DROME,0.0510765551060313
t37421aep|RIMB1_RAT,0.0130036202826748
t32202aep|B4GN4_HUMAN,0.0202783279564595
t32189aep|NINL_HUMAN,0.0350090348990626
t38735aep|KAPR2_DROME,0.019368198041927
t38159aep|TPGS2_HUMAN,0.00673950144759431
t38154aep|S35E1_RAT,0.0299267508029173
t38158aep|JERKL_HUMAN,0.0257207057807523
t38160aep|P52K_HUMAN,0.0257207057807523
t37745aep|USH2A_HUMAN,0.0257207057807523
t37760aep|RTJK_DROME,0.0136461405277406
t33049aep|RTJK_DROME,0.0214204782481174
t35677aep|PGDH_HUMAN,0.00286799433872242
t31426aep|ZN830_XENTR,0.043070837940475
t31412aep|FND3A_HUMAN,0.352289259189166
t31392aep|TCB2_CAEBR,0.0257207057807523
t31394aep|ZBED1_HUMAN,0.0510765551060313
t31409aep|TRF6A_XENLA,4.46796524208094e-05
t31430aep|ARGI1_HUMAN,0.00554802904999672
t37793aep|TDRD1_DANRE,0.00196907056708905
t37782aep|EMAL4_XENTR,0.0709759666952856
t37786aep|RTBS_DROME,0.0257207057807523
t37792aep|LACE1_HUMAN,0.00482377369367418
t35803aep|GT2D2_BOVIN,0.0257207057807523
t34493aep|VPP1_MOUSE,0.0364617007097121
t37134aep|TILB_XENTR,0.0875376198302561
t37145aep|ZCPW1_HUMAN,0.0484496105440496
t37161aep|CFA69_PAPAN,0.00213270954272491
t37156aep|CHIA_MOUSE,0.115438945908911
t36805aep|SZT2_MOUSE,0.0257207057807523
t36771aep|TM175_DANRE,0.0257207057807523
t36785aep|PGBD4_HUMAN,0.0257207057807523
t31808aep|GAG_HV1VI,0.0257207057807523
t31816aep|TSP1_XENLA,0.0416926128016636
t31811aep|UBIQ_ENCCU,0.502428884325253
t36104aep|SDK1_HUMAN,0.00416087596020881
t31314aep|MFSD1_BOVIN,0.00435823367272091
t31319aep|RTXE_DROME,0.0257207057807523
t31354aep|CA2D4_HUMAN,0.0174299383820889
t31341aep|DNLI3_HUMAN,0.0940140512876124
t31318aep|PRKDC_CANLF,0.0257207057807523
t31324aep|DOT1L_HUMAN,0.128821681471696
t37270aep|CUBN_RAT,0.0257207057807523
t37247aep|NAS13_CAEEL,0.222694716618153
t37308aep|RTBS_DROME,0.0257207057807523
t37250aep|SMG8_CULQU,0.00218809145282758
t37276aep|SETMR_HUMAN,0.0257207057807523
t31478aep|TCB2_CAEBR,0.0257207057807523
t31525aep|HOBOT_DROME,0.0118857469276604
t31534aep|RTXE_DROME,0.0257207057807523
t31245aep|ZN266_HUMAN,0.0772151623509012
