t38452aep|POL_MLVCB,0.0724476173114504
t31916aep|ZCRB1_XENLA,0.19822856764068
t31918aep|RAD9A_MOUSE,0.0166799625319354
t31915aep|F149A_MOUSE,0.13006608672654
t34560aep|AMPN_RAT,0.187051709516376
t34549aep|PP2C2_CAEEL,0.0204845005469341
t34547aep|UBP16_HUMAN,0.0249379099206267
t34555aep|TM107_DANRE,0.104534628569032
t35307aep|DTD2_MOUSE,0.0484204640714211
t35300aep|DJC11_PONAB,0.0460576911730294
t35296aep|MORN2_BOVIN,0.0561345445232759
t37101aep|OTX2B_XENLA,0.0831236572818158
t34987aep|FA47E_HUMAN,0.185473055012092
t34990aep|LYST_MOUSE,0.0180021755788903
t34991aep|RBM25_MOUSE,0.685216204972026
t31908aep|RSLBA_HUMAN,0.0317201645351632
t31912aep|HSP70_HYDVU,0.00710732704223262
t31909aep|RBM25_MOUSE,0.343614139347161
t31899aep|AT1A_HYDVU,1.16711507004041
t38176aep|APC1_MOUSE,0.00917880301909626
t38186aep|CRYAB_BOVIN,0.302076509515809
t32725aep|TIM10_CAEBR,0.0694175879414464
t32715aep|KCMA1_BOVIN,0.0724476173114504
t35363aep|TMX2B_DANRE,0.267871090060778
t35368aep|DCP2_MOUSE,0.21177186587608
t34183aep|TLN1_HUMAN,0.122419309168295
t34191aep|SRSF7_BOVIN,0.378793051592826
t34186aep|BRPF1_HUMAN,0.306313260889244
t32772aep|P4R3A_MOUSE,0.141103275323701
t32757aep|INO80_MOUSE,0.108893476671936
t32773aep|TRI50_MOUSE,0.173178778587122
t32775aep|CELR2_HUMAN,0.100923494361898
t33149aep|TOLL6_DROME,0.184402089781327
t32180aep|MYLK_SHEEP,0.0618861087110643
t32160aep|MYD88_HUMAN,0.219681631365001
t32166aep|GBB5_PONAB,0.268054741906577
t36935aep|KCNC1_HUMAN,0.0724476173114504
t36928aep|CACB2_RABIT,2.50814304190256
t36920aep|SWI5_HUMAN,0.0150981887421933
t35832aep|SPTN1_HUMAN,0.744030075142901
t35835aep|IFT22_XENTR,0.952706112097414
t35000aep|S23IP_MOUSE,0.0377178594645191
t35017aep|HSF_XENLA,0.0916941018453763
t35014aep|HERC1_HUMAN,0.00308121319332728
t35011aep|HEMK1_HUMAN,0.0333212598319715
t35005aep|CHRD_XENLA,0.072312506560478
t34999aep|SRBP1_PIG,0.428092904077646
t35006aep|CER1_HUMAN,0.0724476173114504
t32108aep|FITM2_XENTR,0.0272386578635524
t32103aep|CUL1_ARATH,0.0724476173114504
t32111aep|TAF9B_RAT,0.262276085194709
t32101aep|NEK4_HUMAN,0.0486278016103765
t32321aep|DYH7_HUMAN,0.0889300919424626
t32319aep|AAPK2_HUMAN,0.142901836996015
t32315aep|IN80B_HUMAN,0.0663499353083753
t32323aep|SYMC_XENLA,0.212291645527285
t36031aep|ANPRA_MOUSE,0.0267179034241652
t35698aep|VPS36_XENLA,0.574520443257313
t35690aep|HMGX4_HUMAN,0.347832931343606
t32136aep|ZDH11_MOUSE,0.783395737197447
t32151aep|HE_PARLI,0.0591924412443775
t32143aep|RN212_MOUSE,0.0724476173114504
t37182aep|HMCN1_HUMAN,0.0724476173114504
t37187aep|CDK7_HUMAN,0.0523009307740521
t37178aep|MSH3_MOUSE,0.14179903714368
t38445aep|ATRX_PONPY,0.0858273370419994
t38447aep|SAX_LITCT,0.0485050278983895
t36571aep|FL2D_DANRE,0.124744510732846
t36564aep|D19L3_HUMAN,0.0118531581944175
t36738aep|ZSCA2_MOUSE,0.177897361977068
t36744aep|ZER1_HUMAN,0.00398993127699459
t36741aep|DYHC1_MOUSE,0.074621941863636
t38617aep|U2AFM_HUMAN,0.153663129643678
t34467aep|GAPR1_MOUSE,0.13473109408742
t34475aep|LRIG2_HUMAN,0.113874544150551
t34477aep|HGH1_DROME,0.0250839896074015
t34671aep|GT2D2_MOUSE,0.205199414362514
t34682aep|IPMK_HUMAN,0.212202138506995
t34670aep|VKORL_HUMAN,0.886385305691614
t37722aep|MEGF8_RAT,0.089171838930423
t37718aep|CFA45_HUMAN,0.0100920964216893
t37731aep|S17A9_MOUSE,0.0724476173114504
t37729aep|KPCD3_MOUSE,0.0544112191019081
t37723aep|INTU_BOVIN,0.106403660400002
t32502aep|MKS3_RAT,0.0724476173114504
t32514aep|NPHP1_CANLF,0.188399445926861
t32508aep|CLK2_MOUSE,0.652297635760045
t32517aep|IRF8_HUMAN,0.11327107724347
t32519aep|PTR36_ARATH,0.0724476173114504
t32494aep|RBM45_MOUSE,1.06753982942629
t32516aep|DTNB_MOUSE,0.526240022853311
t36989aep|GPX5_PIG,0.0743873564035089
t36976aep|WBS22_MOUSE,0.45282492733166
t36990aep|TV23B_BOVIN,0.0115214934259074
t36983aep|SCND3_HUMAN,0.0724476173114504
t36988aep|FAT4_HUMAN,0.126539675828239
t37004aep|MICA2_RAT,0.000640148394532741
t37006aep|SVIL_MOUSE,0.386873854110087
t35158aep|LITH_RAT,0.0300748306167563
t35146aep|ABR_BOVIN,0.0232582316353954
t35148aep|MT21D_MOUSE,0.0845016196757146
t35149aep|5HT1F_HUMAN,0.0724476173114504
t35155aep|PRS8_DROME,0.168376804626362
t37988aep|GLNA_PANAR,0.14179903714368
t33516aep|OPSD2_MIZYE,0.0724476173114504
t33502aep|RET_RAT,0.0492101320048309
t33518aep|INT7_CHICK,0.00725367705799149
t38565aep|PDXK_HUMAN,0.126645179084403
t38573aep|CL004_RAT,0.0202110112355443
t38571aep|VLDLR_HUMAN,0.805130136279118
t38575aep|CC146_RAT,0.172250708525271
t38564aep|DEN2C_HUMAN,0.0906645386546645
t31271aep|GAB1_MESAU,0.104220560352139
t31280aep|ANKL1_HUMAN,0.0231639516347295
t31950aep|B3GN2_HUMAN,0.40638219106151
t31929aep|CERS6_HUMAN,0.14926769428977
t31936aep|PRRT1_MOUSE,0.53745040572868
t31930aep|GXN_ACRMI,0.0642241150492631
t32744aep|LMX1A_HUMAN,2.90695518601845
t32747aep|ZIC2B_XENLA,0.0659507643345514
t33610aep|VP33A_RAT,0.136536902249625
t33592aep|ZNT1_HUMAN,0.0403279307399107
t33595aep|FLT3_HUMAN,0.690820759337342
t33591aep|EXOS4_BOVIN,0.00975281022933538
t32376aep|FA96A_HUMAN,0.530685200227592
t32382aep|TCHP_DANRE,0.0373985362385662
t32370aep|CREB_HYDVD,0.566384570469076
t38580aep|BCOR_HUMAN,0.0314190291387912
t38581aep|HE_HEMPU,0.244055174578009
t38586aep|KCNB1_PIG,0.0724476173114504
t38582aep|TTC24_HUMAN,0.0435981187670392
t38423aep|WARA_DICDI,0.0724476173114504
t38432aep|MYO3B_HUMAN,0.862556596637962
t38420aep|PLRKT_HUMAN,0.167696813999688
t38510aep|ZN235_MOUSE,0.100995606314627
t38497aep|DDC_HUMAN,0.25714398545589
t38498aep|MARH1_HUMAN,0.977933485429038
t31740aep|PPIL2_MOUSE,0.0777059577559329
t31735aep|NOTU2_XENLA,0.0568167535062583
t31729aep|FREM2_MOUSE,0.234402641172348
t31725aep|TPC13_XENTR,0.00705465192471581
t31734aep|VITRN_MOUSE,0.128472676589636
t31730aep|S2611_HUMAN,0.0313848025146443
t33101aep|SAFB1_MOUSE,0.174389654508573
t33119aep|KINH_STRPU,0.678876825965886
t33099aep|ASM_BOVIN,0.0547328503209537
t37461aep|EYS_HUMAN,0.0724476173114504
t37460aep|TBCEL_RAT,0.027965902462861
t36591aep|ZMYM1_HUMAN,0.106308947500587
t36612aep|ERIC3_HUMAN,0.66918468872878
t34700aep|DRD1_BOVIN,0.14179903714368
t34698aep|TSSK3_HUMAN,0.0307217778971982
t34701aep|TM223_HUMAN,0.0778830432214629
t32286aep|RIMS2_RAT,1.44782323469562
t32273aep|CI172_HUMAN,0.210247898359123
t32295aep|CHD1_MOUSE,0.263428366816363
t32290aep|NOL6_MOUSE,0.0741491782733036
t32909aep|F228B_MOUSE,0.360525832509684
t32906aep|SNP47_RAT,0.0425514408233092
t32907aep|KALRN_MOUSE,0.0837239852458352
t32334aep|DCTP1_MOUSE,0.160470731919165
t32343aep|GRT1A_DANRE,0.527824377707648
t32353aep|THOC2_DASNO,0.104564692992184
t32328aep|SPIT3_HUMAN,0.0395038130241527
t32333aep|DHDDS_HUMAN,0.0780566355963367
t32350aep|DCA15_BOVIN,0.0181982211798281
t32346aep|TTLL4_HUMAN,0.0296613719016741
t32897aep|CASP2_CHICK,0.0487138141291229
t32895aep|RMR2_ORYSJ,0.0508663517220073
t32879aep|DRC7_BOVIN,0.0724476173114504
t32894aep|MYO1A_MOUSE,0.0475546938402856
t32896aep|LOX5_RAT,0.0724476173114504
t37687aep|DBP8_BOTFB,0.00572854839669062
t37679aep|DCC_MOUSE,0.145341599708646
t33218aep|TACC3_XENLA,1.3396314621048
t33224aep|CD047_MOUSE,0.0552143005745759
t33225aep|CE350_HUMAN,0.000352663470519761
t33865aep|F172A_CHICK,0.0224455538157499
t33869aep|OSBL8_MOUSE,0.275924225796057
t33859aep|KCNH2_CHICK,0.0724476173114504
t33845aep|SEPT2_CHICK,0.0408884398980823
t35773aep|FRIS_LYMST,0.238163458094292
t35772aep|MED23_DANRE,0.0686769318198821
t35780aep|DDX23_HUMAN,0.155343067857763
t35781aep|NISCH_HUMAN,0.0398947919572519
t37402aep|NAC1_CAVPO,0.760146037031137
t37422aep|ADA12_MOUSE,0.142535330412328
t37395aep|CC148_HUMAN,0.129734760834149
t37417aep|GRM8_RAT,0.208322942575603
t37426aep|MALT1_HUMAN,0.0365655614533615
t37418aep|CHSS2_HUMAN,0.196226920126694
t37413aep|MACF1_HUMAN,0.0800984851804949
t37401aep|FNIP1_CHICK,0.237604163771503
t37405aep|OTOF_DANRE,1.29707343359671
t37420aep|TTLL6_DANRE,0.0149642517810153
t32189aep|NINL_HUMAN,0.327701551590033
t32210aep|VIAAT_XENTR,0.123773538400188
t32212aep|PIGB_BOVIN,0.0565444836501404
t32204aep|GON4L_HUMAN,0.0184890972920167
t32184aep|TCB2_CAEBR,0.0724476173114504
t32206aep|EGL15_CAEEL,0.154364422556169
t32187aep|GANAB_MOUSE,0.114881132268251
t32203aep|GAPD1_BOVIN,0.0867304972090133
t38723aep|HDHD1_HUMAN,0.0243684108986935
t38720aep|RTKN_HUMAN,0.293845758741363
t38159aep|TPGS2_HUMAN,0.253273325115782
t38139aep|FNBP4_MOUSE,0.252237591530619
t38154aep|S35E1_RAT,0.298005518905703
t38165aep|TYDP1_MOUSE,0.0176609961310557
t38160aep|P52K_HUMAN,0.0724476173114504
t38172aep|CCD13_HUMAN,0.293449653691603
t38157aep|ABH15_MOUSE,0.396510552391244
t38169aep|CARTF_RAT,0.0615814616044083
t37740aep|SAL_SILAS,0.0574473607724578
t37750aep|ABHD8_BOVIN,0.107910071554147
t37739aep|RFC1_HUMAN,0.00441579460410665
t37748aep|NATD1_XENTR,0.321255491321687
t37761aep|ADRB2_MOUSE,1.11260884945629
t37760aep|RTJK_DROME,0.129724471890668
t33063aep|GRP78_CHICK,1.38916471322648
t33045aep|AT8B2_HUMAN,0.330398872957019
t33048aep|CAN7_HUMAN,0.0400958084038162
t33047aep|HKR1_HUMAN,0.205390721422923
t33061aep|TTLL4_CAEBR,0.193061625048013
t32590aep|SGSM1_MOUSE,0.240422276920041
t37483aep|IFT52_MOUSE,0.0724476173114504
t35655aep|NPHP3_HUMAN,0.197051671923755
t35677aep|PGDH_HUMAN,1.5149465261073
t35676aep|ANK3_HUMAN,0.226609430363679
t35674aep|ZRAB3_BOVIN,0.0404195310885718
t31398aep|ANPRB_HUMAN,0.269572090004122
t31426aep|ZN830_XENTR,0.109551133286062
t31412aep|FND3A_HUMAN,0.573853981051159
t31393aep|MEC2_CAEEL,0.11508232509071
t31400aep|WDR93_HUMAN,0.000307782840198653
t31424aep|CFA57_MOUSE,0.0482524998661117
t31409aep|TRF6A_XENLA,0.046771591183119
t31410aep|ANKF1_HUMAN,0.569476753791301
t31430aep|ARGI1_HUMAN,0.0269190912554157
t37788aep|BRAP_HUMAN,0.0527394239755957
t37797aep|TRI56_MOUSE,0.493426071747353
t37796aep|DC2L1_HUMAN,0.104521419844
t37800aep|ZMYM1_HUMAN,0.272254529448941
t37779aep|TRAF3_MOUSE,0.260616404748967
t37786aep|RTBS_DROME,0.0724476173114504
t37792aep|LACE1_HUMAN,0.0421182165175416
t37798aep|HMCN1_HUMAN,0.33757578483633
t37787aep|TRM11_BOVIN,0.00985457172115586
t35786aep|AP1G_DICDI,0.190638771128243
t35787aep|YRD6_CAEEL,0.0724476173114504
t35816aep|GIN1_HUMAN,0.0724476173114504
t35785aep|KCNA1_RAT,1.19987473779896
t34507aep|SAMD9_HUMAN,0.0616724053375521
t34532aep|TFF3_RAT,0.14179903714368
t34490aep|PK1L2_MOUSE,0.135711143286899
t34501aep|MSH6_HUMAN,0.0909618185666552
t34523aep|K1468_XENTR,0.0648606464611835
t34493aep|VPP1_MOUSE,0.170942548256073
t34497aep|CHIT3_DROME,0.0306831702072285
t34536aep|NALP7_HUMAN,0.0137487804663649
t34529aep|GRM3_HUMAN,0.0724476173114504
t37134aep|TILB_XENTR,0.132892251980226
t37135aep|TRI37_MOUSE,0.209384770688969
t37155aep|MRC1_MOUSE,0.067005239487158
t37168aep|M3K3_HUMAN,0.26967399261203
t37152aep|MACF1_HUMAN,0.0487138810105126
t37137aep|TET2_HUMAN,0.447571005700345
t37156aep|CHIA_MOUSE,0.359512387439571
t37164aep|PSD10_DICDI,0.0425370182244603
t37162aep|LTBP4_HUMAN,0.0724476173114504
t36813aep|KCNQ2_MOUSE,0.0724476173114504
t36810aep|EFC10_MOUSE,0.0249379099206267
t36788aep|K0100_MOUSE,0.0796656751641137
t36775aep|ANKE1_HUMAN,0.0584166857866214
t36802aep|LRK1_CAEEL,0.12059263506231
t31809aep|KPCA_RAT,1.16765852475425
t31783aep|DMBT1_RABIT,0.0480619738433746
t36091aep|F166B_XENTR,0.0599385237546903
t36106aep|USH1C_MOUSE,0.0315561686842537
t36103aep|CC171_HUMAN,0.0281694548007899
t31335aep|AT132_HUMAN,0.0724476173114504
t31354aep|CA2D4_HUMAN,1.38544654577048
t31338aep|RTBS_DROME,0.0724476173114504
t31302aep|ZMYM1_HUMAN,0.0724476173114504
t31341aep|DNLI3_HUMAN,0.0630488700980311
t31303aep|AB1IP_CHICK,1.32511758774551
t31358aep|UBX11_RAT,0.204519282159657
t31357aep|LRRC9_HUMAN,0.269185186105492
t31235aep|TRPM2_HUMAN,0.0724476173114504
t31316aep|ROR1_HUMAN,0.611821294284363
t31326aep|HMCN1_HUMAN,0.0724476173114504
t31333aep|WSDU1_DANRE,0.155695744362346
t31334aep|WASP_HUMAN,0.188097936620519
t37266aep|HARB1_HUMAN,0.0866979921270444
t37247aep|NAS13_CAEEL,0.208109928888906
t37310aep|TMC7_HUMAN,0.251522281109131
t37250aep|SMG8_CULQU,0.107149630397878
t37307aep|SPTCS_HUMAN,0.14137513472796
t37282aep|HSF3_MOUSE,0.0724476173114504
t37243aep|PK2L1_MOUSE,0.0657278303379203
t31485aep|TOR1A_MACFA,0.18230126044426
t31525aep|HOBOT_DROME,0.0586126584583585
t31544aep|YVNF_AZOCH,0.0456996872959828
t31547aep|CNTRB_MOUSE,0.110250438341243
t31545aep|NEK10_MOUSE,0.0279264442889005
t31245aep|ZN266_HUMAN,0.103604227691254
t34403aep|WDFY3_MOUSE,0.0818151157843742
t34404aep|RTBS_DROME,0.0724476173114504
t34421aep|GTD2A_HUMAN,0.0724476173114504
t34386aep|ACD11_CAEEL,0.11850431142624
t34387aep|YDJC_MOUSE,0.0560032926675919
t34360aep|PH4H_RAT,0.112678293373557
t34425aep|ZMYM1_HUMAN,0.553349349787123
t34424aep|TRY3_SALSA,1.2229853059965
t34419aep|CHD1L_DANRE,0.140655191576417
t34377aep|SMAL1_RAT,0.232451626856528
t34415aep|CC157_BOVIN,0.0126346535720685
t34413aep|ZNF84_HUMAN,0.295250152719435
t34362aep|POL4_DROME,0.14179903714368
t32564aep|AVIL_HUMAN,0.174690198671937
t32552aep|CTRO_HUMAN,0.135466000785544
t32541aep|S15A4_XENLA,0.0458996672099286
t32532aep|RTJK_DROME,0.0724476173114504
t32528aep|RTJK_DROME,0.0724476173114504
t32529aep|LOXH1_MOUSE,0.0990004282267142
t32575aep|PARP4_HUMAN,0.293469737272499
t31234aep|UCHL3_HUMAN,0.0128489766837925
t31240aep|CCND2_BOVIN,0.0746632362439465
t38275aep|CATIN_HUMAN,0.113068711451429
t38303aep|IFT81_MOUSE,0.147190598945381
t38284aep|WDR66_HUMAN,0.0589923125785787
t38264aep|AT133_MOUSE,0.00550649202902189
t38293aep|NALDL_RAT,0.0865844164827271
t32047aep|RTJK_DROME,0.0447064961702441
t32029aep|TGS1_RAT,0.00355636875825142
t32002aep|HMCN1_HUMAN,0.0733413511092242
t32016aep|TPPC8_HUMAN,0.129994250103212
t31986aep|ZMYM1_HUMAN,0.1350654661435
t32023aep|RTJK_DROME,0.130163846123783
t32012aep|TTC3_HUMAN,0.229224988937124
t35487aep|SVOP_XENLA,0.258745094575537
t35510aep|DOCK6_HUMAN,0.0528154731991401
t35461aep|THAP9_HUMAN,0.171420021360019
t35503aep|DSCL1_CHICK,1.29083428401241
t35514aep|JERKL_HUMAN,0.051064789292397
t37570aep|PKHG4_HUMAN,0.0961671235108392
t31770aep|VWA3B_HUMAN,0.0561100196666775
t37568aep|DLEC1_HUMAN,0.103604815611844
t37581aep|AGRB3_MOUSE,0.0724476173114504
t37542aep|CSK_CHICK,0.142169015651411
t37569aep|SCND3_HUMAN,0.129278215618383
t37534aep|PGBD2_HUMAN,0.0771570469633703
t33011aep|PELET_DROME,0.0481229669545633
t33020aep|TSP3_MOUSE,0.0555995519878139
t32983aep|LRRK2_MOUSE,0.0342692166978297
t32997aep|HMCN1_HUMAN,0.0611382141294248
t33004aep|CNTP2_HUMAN,0.479556807571927
t32973aep|JERKL_MOUSE,0.0456680526921429
t35592aep|SE1L2_HUMAN,0.402767567427034
t35576aep|ZBED4_MOUSE,0.0686549108315925
t35577aep|KLC_DORPE,0.0796224562293959
t35627aep|AL14E_BOVIN,0.0211545299555966
t35622aep|PGBD3_HUMAN,0.0663951101825221
t31763aep|RN103_MOUSE,0.121529867244586
t35620aep|RTJK_DROME,0.0453518270235351
t34215aep|SETMR_RAT,0.136375203351095
t34201aep|RTJK_DROME,0.0499691614773293
t34206aep|TIGD6_HUMAN,0.0724476173114504
t34247aep|TC1A_CAEEL,0.124484051563015
t34240aep|ZMYM1_HUMAN,0.393145131343236
t34261aep|AGRL3_BOVIN,0.0455297124360222
t34256aep|ZMYM1_HUMAN,0.14179903714368
t34245aep|AGRG2_MOUSE,0.13530877167703
t34246aep|THAP9_HUMAN,0.0350369165062596
t37937aep|AL14E_RAT,0.0883199367217216
t37857aep|GIN1_HUMAN,0.0166818540870431
t37876aep|PZP_HUMAN,0.00487276290989817
t37918aep|PK1L2_MOUSE,0.0591025464701366
t37902aep|TRAF4_HUMAN,0.281732789312802
t37855aep|THAP9_HUMAN,0.02472642944638
t37327aep|TCB2_CAEBR,0.203956925522167
t37329aep|GIN1_PONAB,0.208322942575603
t32086aep|RHCG_CANLF,0.0724476173114504
t34039aep|BAI1_MOUSE,0.14179903714368
t31596aep|HSP13_HUMAN,0.00975281022933538
t37595aep|SIM12_MOUSE,0.0139974303205545
t37472aep|PDE12_MOUSE,0.0395038130241527
t36835aep|ADPRM_HUMAN,0.0813945007207551
t37199aep|L12R1_BOVIN,0.110286161206668
t37209aep|TRAF6_BOVIN,0.00975281022933538
t35335aep|TM177_HUMAN,0.0817752117815863
t34857aep|U390_DANRE,0.432158338512489
t34354aep|NIT1_BOVIN,0.0792874534477958
t34133aep|TM2D1_HUMAN,0.099391912365382
t34122aep|MAD1_MOUSE,0.781528798848222
t37112aep|UBIA1_CHICK,0.0724476173114504
t36430aep|TM175_MOUSE,0.208322942575603
t34911aep|HSP70_HYDVU,0.454972285476078
t34584aep|SIL1_MOUSE,0.143131866848387
t35278aep|NOP10_DANRE,0.229464120072148
t34121aep|YETS2_MOUSE,0.135934469372119
t34075aep|HYDIN_MOUSE,0.0420008589955541
t33681aep|PFD1_HUMAN,0.000162905201820411
t33674aep|TIM22_XENTR,0.102516403488226
t34064aep|RS27L_BOVIN,0.0530678893360652
t34818aep|DUS22_HUMAN,0.248092409916168
t36641aep|ELMD3_BOVIN,0.10213338531464
t38006aep|DRD2A_XENLA,0.0724476173114504
t37608aep|FLVC2_HUMAN,0.0724476173114504
t36136aep|OPSD_LOLFO,0.0724476173114504
t36138aep|RCAN1_PONAB,0.0496987004036232
t35637aep|RNF11_MOUSE,0.0847067613109043
t33489aep|RTJK_DROFU,0.0724476173114504
t35382aep|CPTP_BOVIN,0.0724476173114504
t35228aep|RTBS_DROME,0.0724476173114504
t33335aep|PIGP_MOUSE,0.0541718898868266
t33356aep|AMPE_RAT,0.0724476173114504
t34711aep|C5AR1_PONPY,0.0724476173114504
t34636aep|RAB4B_DANRE,0.180275518983332
t35109aep|COX17_CANLF,0.0016483922157775
t34594aep|TARB1_HUMAN,0.02444804615352
t35110aep|TOX4_PONAB,0.270042100136346
t31471aep|APOB_RAT,0.0589381824380463
t36854aep|CMTR2_DANRE,0.0393976717233733
t36857aep|TPPC2_XENTR,0.0927111783432507
t32073aep|PIGE_DROME,0.018700182763003
