t33418aep|ZBED8_BOVIN,0
t37645aep|CP4V2_MOUSE,0
t31628aep|TSP1_BOVIN,0
t31619aep|ABCA2_HUMAN,0.0233921320030061
t31633aep|PREA_SALTY,0
t31620aep|PTRB_MORLA,0
t31618aep|DTBP1_CHICK,-0.0812794532336939
t36047aep|FUCTA_DROME,0
t36970aep|EXOS6_DANRE,-0.106898190244912
t34456aep|TAF3_CHICK,-0.123781200024257
t34453aep|RIFK_DROME,0.0225195335722125
t34451aep|RSGI5_CLOTH,0
t34446aep|VIAAT_XENLA,0
t34450aep|KCNH5_MOUSE,0
t36334aep|DOCK3_HUMAN,-0.0659333114251918
t36327aep|RAD21_SCHPO,0
t36332aep|COPG2_ORYSJ,0
t36340aep|AT1A_HYDVU,0
t36336aep|CEP76_PONAB,-0.014279797920423
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,-0.0412714571908927
t36337aep|CRYAB_BOVIN,0.106192780189519
t35904aep|DDAC_ENTAG,0.0233921320030061
t35900aep|RHCG_XENTR,-0.0478597055779931
t35903aep|S35E3_DANRE,-0.0100112988111328
t35908aep|CAF1A_CHICK,0.0384919359385048
t32664aep|AQP9_HUMAN,0.0609908801367202
t32662aep|SERB_BOVIN,0.00133325444820251
t31832aep|P52K_HUMAN,0
t31833aep|BP10_PARLI,-0.00591739134153808
t31838aep|STXB1_RAT,-0.070397114819336
t38104aep|B3GN4_HUMAN,-0.00970530905335521
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0
t38110aep|P2R3C_HUMAN,0.0257636747792515
t38118aep|AGRIN_MOUSE,-0.00337415018350096
t38103aep|PTSS1_DANRE,-0.118405183895239
t38117aep|SAXO1_RAT,0.0347388042072092
t33743aep|EXOC7_RAT,-0.364569710397778
t33739aep|RPP14_MOUSE,-0.0793295472714951
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,0.0153169670695807
t33735aep|DHB11_RAT,0.0547084297305539
t32686aep|MRP1_CHICK,-0.137149116648462
t32685aep|RN146_XENTR,0.0530876616128021
t32696aep|OTOF_DANRE,0
t32692aep|GPTC4_XENTR,0.196363319414327
t32693aep|S27A4_HUMAN,-0.147181847370684
t32687aep|RAB23_HUMAN,0.224668871351996
t32691aep|PP14C_RAT,-0.0319572995271562
t32688aep|CPT2_MOUSE,0
t35871aep|NOD1_MOUSE,0
t35860aep|KIF3A_MACFA,0.0107375530197977
t35866aep|MEL2A_DANRE,-0.0790801082035009
t35863aep|SSPO_CHICK,-0.0107752119738985
t35872aep|NAPEP_BOVIN,0.00286998637939817
t35870aep|STK10_CHICK,-0.328405005100911
t35858aep|SCND3_HUMAN,0
t35861aep|ABCBA_HUMAN,-0.0895188407366356
t35862aep|MEGF6_HUMAN,0.0136868229496512
t35855aep|MIPEP_PONAB,0.0199992064089597
t35857aep|PKD2_ORYLA,0.0233921320030061
t35354aep|KLC3_RAT,0
t35356aep|CASP8_RAT,-0.0449213212723734
t35353aep|B4GA1_DANRE,-0.0159364330293192
t33691aep|ABCB2_DICDI,0.0233921320030061
t37371aep|IDI1_BOVIN,-0.0879486693877405
t37374aep|VWDE_HUMAN,0
t37381aep|RPAC2_BOVIN,0.0223016342148432
t37368aep|PEX10_MOUSE,-0.0720026075520921
t37380aep|CBL_MOUSE,-0.114573385910824
t37375aep|TC3A_CAEEL,0
t32307aep|NCAN_PANTR,0
t32309aep|TM203_HUMAN,-0.0672697824410779
t32310aep|LSM1_HUMAN,-0.141303425636842
t32305aep|PPCT_MOUSE,0.0497834673988869
t32304aep|SWT15_VITVI,0.114701281347694
t33480aep|MSRB_METBF,-0.313715633173883
t33470aep|PGBD3_HUMAN,0
t33473aep|THAP1_DANRE,0
t33081aep|ZMYM5_BOVIN,0
t33080aep|KIF17_HUMAN,-0.00630715023675315
t33084aep|TXIP1_MOUSE,0
t33085aep|TXIP1_HUMAN,0
t38023aep|FUT3_PONPY,0
t38021aep|YD286_MOUSE,0.0633367887041377
t36728aep|ARL5B_MOUSE,-0.0723602235883169
t33589aep|THAP2_MOUSE,0
t32812aep|TCB2_CAEBR,0
t32818aep|SY65_DROME,0
t32809aep|TRPA1_HUMAN,0
t32819aep|T106C_HUMAN,-0.0340891749420406
t32810aep|NDUA5_BOVIN,-0.208802902329402
t35726aep|SO4C1_RAT,-0.0276293361580072
t35724aep|SYF2_DANRE,0.343805306800261
t35979aep|ECI1_RAT,-0.0859851797679734
t35981aep|PRPF3_CHICK,-0.139803129559777
t35991aep|FLNC_RAT,0.0118873620059224
t37010aep|NDUF4_PONAB,0.00351361470450075
t35994aep|MLRP2_ACRMI,0.00418577144489361
t35982aep|NLTP_CHICK,-0.318941600122975
t35993aep|VATE_DROME,-0.447608682194143
t35988aep|CIA30_DROME,-0.0299105990869903
t35989aep|M2K3_ARATH,0
t35984aep|DYH6_HUMAN,0.0149477994216914
t35985aep|DYH6_HUMAN,0
t31651aep|LRRK2_MOUSE,0
t31647aep|PPT1_HUMAN,0.148087317429898
t38649aep|ATXA_LEIDO,0
t38641aep|AL7A1_CAEEL,0
t38633aep|DRG1_XENLA,-0.0197137461800421
t38636aep|ALG3_HUMAN,-0.0177480211190548
t38647aep|RAP1_CAEEL,0
t38646aep|PARG_BOVIN,-0.023874653433038
t37013aep|LAGE3_MOUSE,-0.0978983764303429
t38648aep|TM175_CHICK,0
t34435aep|IMPTB_XENTR,-0.00742515444412976
t34431aep|RSPH1_HUMAN,0.897297987996614
t34434aep|S12A8_XENLA,0.0652115633734356
t34436aep|XRN1_HUMAN,0.0450031956232414
t34428aep|SPC25_RAT,0.110406734155356
t34430aep|RPAP1_BOVIN,0.0266489673082586
t34429aep|PP4C_XENTR,-0.423019682959657
t34427aep|ML12B_BOVIN,-0.0725377665298441
t31846aep|CEP70_RAT,-0.00401800619168645
t31844aep|TLL1_DANRE,0
t31842aep|TERA_XENLA,-0.173612358869027
t31849aep|TYPH_RAT,-0.0216142057755755
t31847aep|RS2_ICTPU,-0.427994902437703
t31848aep|SPCS3_CHICK,0.319614273529315
t34798aep|APH1_DROME,-0.0390921290851763
t34802aep|PISD_CRIGR,-0.0202939472149311
t34796aep|PCMD2_BOVIN,0.0472874450982375
t34792aep|PTH2_BOVIN,-0.0693928699610906
t34790aep|TWF1_HUMAN,-0.226395066745906
t32481aep|GUAA_RAT,-0.171836377218846
t32473aep|RB18B_DANRE,-0.0218434630834003
t32475aep|WHITE_DROME,0.0179497541787134
t32469aep|CO6A4_MOUSE,0.0233921320030061
t32470aep|LYRM2_MOUSE,-0.0314334072259906
t31220aep|P52K_HUMAN,0
t31227aep|SYCP2_RAT,0
t31225aep|RT35_BOVIN,-0.257733765391239
t31230aep|UNC89_CAEEL,0
t31231aep|UNC89_CAEEL,0
t36653aep|DOHH_RAT,0
t36650aep|ANKK1_MOUSE,-0.0194474341849742
t36663aep|AA2AR_CANLF,0
