t37645aep|CP4V2_MOUSE,0.310657290320836
t31619aep|ABCA2_HUMAN,0.0225117784535778
t34453aep|RIFK_DROME,0.0210725010595599
t34451aep|RSGI5_CLOTH,0.00748702008367106
t34450aep|KCNH5_MOUSE,0.00748702008367106
t36334aep|DOCK3_HUMAN,0.0371902870333858
t36340aep|AT1A_HYDVU,0.00748702008367106
t35904aep|DDAC_ENTAG,0.0496115204389094
t35903aep|S35E3_DANRE,0.078304091098956
t35908aep|CAF1A_CHICK,0.0454081510175512
t32664aep|AQP9_HUMAN,0.635548476788281
t31833aep|BP10_PARLI,0.0436941290973711
t31838aep|STXB1_RAT,0.140639025134225
t38118aep|AGRIN_MOUSE,0.206519655423793
t38103aep|PTSS1_DANRE,0.0168143028329603
t38117aep|SAXO1_RAT,0.013527804478611
t33735aep|DHB11_RAT,0.177283326699835
t32686aep|MRP1_CHICK,0.229837130537995
t32685aep|RN146_XENTR,0.0861233756784018
t32696aep|OTOF_DANRE,0.0149909628479461
t32693aep|S27A4_HUMAN,0.0509110368216073
t32687aep|RAB23_HUMAN,0.250381021393426
t32691aep|PP14C_RAT,0.0513223658907839
t35871aep|NOD1_MOUSE,0.0986368051976919
t35860aep|KIF3A_MACFA,0.142638089318538
t35872aep|NAPEP_BOVIN,0.224497671643177
t35870aep|STK10_CHICK,0.0634325908537984
t35858aep|SCND3_HUMAN,0.00748702008367106
t35862aep|MEGF6_HUMAN,0.116621873577881
t35857aep|PKD2_ORYLA,0.00748702008367106
t35356aep|CASP8_RAT,0.0612329210305359
t35353aep|B4GA1_DANRE,0.0178804874173293
t33691aep|ABCB2_DICDI,0.00748702008367106
t37380aep|CBL_MOUSE,0.204372720173931
t32309aep|TM203_HUMAN,0.00648357178687336
t32310aep|LSM1_HUMAN,0.00697757004075268
t32305aep|PPCT_MOUSE,0.0471634555955354
t33480aep|MSRB_METBF,0.143673293566353
t33085aep|TXIP1_HUMAN,0.0149909628479461
t38021aep|YD286_MOUSE,0.00915547249313089
t36728aep|ARL5B_MOUSE,0.0206238163278262
t32809aep|TRPA1_HUMAN,0.00748702008367106
t32819aep|T106C_HUMAN,0.11782248299804
t35726aep|SO4C1_RAT,0.219492642001341
t37010aep|NDUF4_PONAB,0.0510278779600521
t35994aep|MLRP2_ACRMI,0.802520042155718
t35984aep|DYH6_HUMAN,0.0291594950212596
t31651aep|LRRK2_MOUSE,0.00748702008367106
t31647aep|PPT1_HUMAN,1.00107875647883
t38641aep|AL7A1_CAEEL,0.00748702008367106
t38636aep|ALG3_HUMAN,0.000581332438904844
t34435aep|IMPTB_XENTR,0.0308437313077632
t34431aep|RSPH1_HUMAN,0.937682282137359
t34427aep|ML12B_BOVIN,0.164499760259272
t31844aep|TLL1_DANRE,0.00748702008367106
t31849aep|TYPH_RAT,0.135853544351561
t31848aep|SPCS3_CHICK,0.198955373139523
t34798aep|APH1_DROME,0.0361525441095096
t34802aep|PISD_CRIGR,0.00975546959967131
t34790aep|TWF1_HUMAN,0.238168319389111
t32481aep|GUAA_RAT,0.12046813452677
t32473aep|RB18B_DANRE,0.0353655893662543
t32470aep|LYRM2_MOUSE,0.0196561313516963
t31220aep|P52K_HUMAN,0.0149909628479461
t31227aep|SYCP2_RAT,0.0149909628479461
t31225aep|RT35_BOVIN,0.115953729495262
t31231aep|UNC89_CAEEL,0.0149909628479461
t36653aep|DOHH_RAT,0.0269189753352187
t36650aep|ANKK1_MOUSE,0.00992319777061026
t36663aep|AA2AR_CANLF,0.00748702008367106
t37814aep|CC105_BOVIN,0.132255187684211
t32253aep|YPEL5_PONAB,0.000985080492004161
t32269aep|FSTL1_BOVIN,1.50767830315758
t32255aep|CHSS1_MOUSE,0.00715706928667811
t32258aep|SHPK_MOUSE,0.0102054490394477
t32263aep|IF172_DANRE,0.0495991339795924
t35087aep|CJ076_XENLA,0.0197454422346066
t35085aep|RS30_ORYLA,0.0224247226000379
t35082aep|WASH7_HUMAN,0.0119779523366998
t35075aep|COMD6_MOUSE,0.167060108082619
t35079aep|RB39B_MOUSE,0.0514051408538626
t35556aep|M4K2_HUMAN,0.0375432106071739
t35545aep|KLC4_MOUSE,0.0149909628479461
t36387aep|NPHP3_HUMAN,0.0300494168146024
t35401aep|LIN52_DANRE,5.09540075322677e-05
t35408aep|NK2R_RAT,0.146422214383407
t33710aep|SEC_ARATH,0.0922550731710989
t35851aep|OPSD1_MIZYE,0.179693358005491
t35847aep|PHF3_HUMAN,0.0150610183088425
t35208aep|TTC28_MOUSE,0.0149909628479461
t35204aep|RET_RAT,0.00748702008367106
t37320aep|CO6A6_HUMAN,0.358082886383454
t37318aep|MYOG_DICDI,0.00748702008367106
t36969aep|CISD3_HUMAN,0.0175324198934766
t32622aep|MK14_CANLF,0.0283777377208943
t32633aep|MED16_XENTR,0.0404485327508163
t32616aep|FBN1_BOVIN,0.00679214689556624
t33645aep|TLR1_DROME,0.214687559988238
t33641aep|AT5F1_BOVIN,0.0713573755553558
t33657aep|TM243_BOVIN,0.145769861288756
t33648aep|KPCD3_HUMAN,0.0930845083317184
t33644aep|CC180_HUMAN,0.0232462522957121
t33650aep|DUS22_HUMAN,0.0832763388077211
t37963aep|NAPEP_BOVIN,0.00748702008367106
t37951aep|MPU1_MOUSE,0.0480890695803464
t37954aep|DYH10_HUMAN,0.0149909628479461
t37948aep|RHG32_XENLA,0.172060604893962
t31829aep|MYO10_HUMAN,0.0729910924963291
t31824aep|DNJC5_TETCF,0.285345372988958
t32418aep|TSEAR_HUMAN,0.0225117784535778
t32420aep|RPE_HUMAN,0.0272495383739621
t32421aep|PCS3_LOTJA,0.0748857414597948
t32425aep|ANXA7_MOUSE,0.220034076068267
t32412aep|M3K19_HUMAN,0.024424355785466
t32423aep|CADA_STAAR,0.017472205262193
t32416aep|COMD8_HUMAN,0.076644011103817
t32413aep|NTPES_BACSU,0.0133948258731172
t36953aep|RBM26_HUMAN,0.153248980197683
t36948aep|RM54_HUMAN,0.0975046889600802
t36938aep|SYT15_HUMAN,0.00375471349529218
t33893aep|MCPI_MELCP,0.22515768165283
t33901aep|KLC4_BOVIN,0.0149909628479461
t33900aep|SIP2_YEAST,1.18489332018948
t33907aep|BRAT1_MOUSE,0.0138316165422968
t33620aep|SYT7_HUMAN,0.0408733707723077
t31714aep|KLC4_RAT,0.0149909628479461
t31719aep|VATC_MANSE,0.282211307025437
t33183aep|PNKP_HUMAN,0.431494918106791
t33188aep|ADCY9_HUMAN,0.0018963636955057
t33191aep|ALRA_DICDI,0.030649283304896
t37636aep|FAT2_DROME,0.0300494168146024
t37632aep|LGR5_XENTR,0.0300494168146024
t37624aep|VATF_HUMAN,0.310613858496287
t37623aep|RHES_HUMAN,0.032485411605647
t37637aep|DYHC_HELCR,0.0208123517538328
t36583aep|CSTF3_MOUSE,0.0374558964704975
t36573aep|LTBP4_HUMAN,0.00558749401926445
t36580aep|S39AD_DANRE,0.299549826417421
t34754aep|FXC2B_XENLA,0.53820684234094
t34762aep|TYDP2_RAT,0.00779495660455427
t34759aep|TDRD5_AILME,0.0174895960523709
t34764aep|RSU1_BOVIN,0.173235738499333
t34577aep|ARSB_RAT,0.000362578163047705
t38683aep|H10A_XENLA,0.197307872452518
t38670aep|RADI_BOVIN,0.0154677507953714
t38672aep|SHL2_ORYSJ,0.00748702008367106
t38673aep|RDR2_ORYSJ,0.00748702008367106
t38687aep|PTPRD_MOUSE,0.0149909628479461
t38680aep|PGAP3_XENTR,0.0694178221854532
t36972aep|FUCM_HUMAN,0.0758656415544924
t32838aep|RASLC_DANRE,1.0445583293025
t32845aep|KTI12_DANRE,0.0684282415561248
t36502aep|NPHP3_HUMAN,0.106058012732143
t36496aep|TNAP3_MACFA,0.0820661875674454
t36491aep|VP37B_HUMAN,0.141905375239107
t36488aep|TIGD2_MOUSE,0.0149909628479461
t34595aep|NDK_CHICK,0.552800144782032
t34599aep|YTX2_XENLA,0.00865161400243998
t34600aep|KPSH1_BOVIN,0.0374653481848824
t38363aep|DNAL4_PIG,0.296505249761071
t38365aep|TMOD2_RAT,1.60273973385545
t38366aep|DDRGK_TRIAD,0.0507109180740543
t37025aep|THG1_HUMAN,0.029906671836169
t32785aep|HEBP1_MOUSE,3.62037500135867
t36256aep|RTBS_DROME,0.0149909628479461
t37220aep|HMCN2_HUMAN,0.0149909628479461
t37214aep|ITA9_MOUSE,0.0918980229142233
t36467aep|CEAM5_HUMAN,0.00748702008367106
t36474aep|RT06_BOVIN,0.0442953734818959
t36469aep|DNLI1_XENLA,0.071128629392103
t38667aep|CAH5_CAEEL,0.00748702008367106
t38653aep|TOR1A_MACFA,2.64502658564223
t38657aep|CCD94_MOUSE,0.00254499714862599
t38658aep|PKHG5_MOUSE,0.160675588941148
t35895aep|DAPLE_XENLA,0.00154777931957029
t37029aep|USH2A_HUMAN,0.00748702008367106
t35898aep|NPHP3_XENLA,0.25340377489611
t38458aep|PEBB_HUMAN,0.0660076394154641
t31916aep|ZCRB1_XENLA,0.030389021820056
t31915aep|F149A_MOUSE,0.00502280956887676
t34560aep|AMPN_RAT,0.00124054539435047
t34547aep|UBP16_HUMAN,0.0360366372909449
t34555aep|TM107_DANRE,0.0491094505074267
t34559aep|XPA_XENLA,0.0239880838183897
t35295aep|RM09_RAT,0.0425495389393028
t37101aep|OTX2B_XENLA,0.308306493951521
t37098aep|MUG1_MOUSE,0.0376038276025744
t37097aep|THA11_DANRE,0.0225117784535778
t37095aep|AGRG4_HUMAN,0.33851528454573
t34987aep|FA47E_HUMAN,0.00719952925109191
t34990aep|LYST_MOUSE,0.0474134590554336
t31900aep|FRIH_TREBE,5.0672572478951
t31908aep|RSLBA_HUMAN,0.0979082259586342
t31912aep|HSP70_HYDVU,0.0278486618972797
t31905aep|DYH2_MOUSE,0.0149909628479461
t38176aep|APC1_MOUSE,0.0047193659130283
t36373aep|RTXE_DROME,0.0149909628479461
t38186aep|CRYAB_BOVIN,0.133827426260951
t32714aep|TENS1_HUMAN,0.188722983392107
t32717aep|STX12_MOUSE,0.00252073416770356
t32709aep|MCFD2_PONAB,0.0527044759927227
t35366aep|XRN1_HUMAN,0.0216402202537986
t35365aep|SGCD_HUMAN,0.565237937090073
t35368aep|DCP2_MOUSE,0.0146792682054888
t34190aep|CRFR2_MOUSE,0.00748702008367106
t34192aep|FORF_DICDI,0.595226969243736
t36376aep|RTBS_DROME,0.00748702008367106
t32768aep|KLC4_MOUSE,0.0300494168146024
t32772aep|P4R3A_MOUSE,0.00440735220800999
t32757aep|INO80_MOUSE,0.03913993120239
t32773aep|TRI50_MOUSE,0.113726517162296
t32766aep|SC5AC_MOUSE,0.0954445326260544
t32775aep|CELR2_HUMAN,0.225428902649225
t33147aep|MFSD8_DANRE,0.00748702008367106
t33154aep|OXR1_MOUSE,0.0896936338957113
t33149aep|TOLL6_DROME,0.0430127390827757
t32160aep|MYD88_HUMAN,0.142843860975254
t36922aep|KLC4_HUMAN,0.00748702008367106
t36933aep|ATG2B_HUMAN,0.0523516251678457
t35827aep|RTBS_DROME,0.00748702008367106
t35829aep|PLPL9_HUMAN,0.00698850581380817
t35009aep|SPB10_BOVIN,0.107238538629604
t35000aep|S23IP_MOUSE,0.0592066559034429
t35017aep|HSF_XENLA,0.0303490648734973
t35008aep|OPN4_PHOSU,0.129546374305915
t35013aep|HERC1_HUMAN,0.0148288380921995
t35005aep|CHRD_XENLA,0.00296730472195578
t34999aep|SRBP1_PIG,0.794870067635503
t35003aep|CTNS_HUMAN,0.178825224491501
t32100aep|PRRT1_MOUSE,0.893174987946366
t32102aep|KRI1_MOUSE,0.0365820056899485
t32112aep|HACE1_HUMAN,0.132813162922111
t32099aep|DDX46_MOUSE,0.00355549636099784
t32321aep|DYH7_HUMAN,0.0670281882265284
t32319aep|AAPK2_HUMAN,0.00283175530355665
t36032aep|ABCA1_HUMAN,0.0342534724468057
t36031aep|ANPRA_MOUSE,0.1020172176754
t34090aep|MYLK_RABIT,0.0149909628479461
t35694aep|NLTP_MOUSE,0.00215462708769823
t32144aep|CHST3_CHICK,0.00748702008367106
t32136aep|ZDH11_MOUSE,0.00675382060580667
t32140aep|RAD2B_ARATH,0.266318974550486
t32151aep|HE_PARLI,0.0547330041383098
t32143aep|RN212_MOUSE,0.0149909628479461
t37190aep|DUR1_LACKL,0.00748702008367106
t37177aep|MDC1_RAT,0.0143663422959548
t37182aep|HMCN1_HUMAN,0.00748702008367106
t37192aep|FBXW2_MOUSE,0.00660864479226794
t38447aep|SAX_LITCT,0.00610682740154117
t38446aep|RNF10_XENLA,0.00416129073249076
t36572aep|NLR1A_MOUSE,0.0393503724966655
t36565aep|TF29_SCHPO,0.00748702008367106
t33385aep|CDD_DICDI,0.209285329165197
t36738aep|ZSCA2_MOUSE,0.0452001094124878
t36741aep|DYHC1_MOUSE,0.168314342774863
t38619aep|AL8A1_DANRE,0.150292650534494
t34473aep|PGBD4_HUMAN,0.00748702008367106
t34467aep|GAPR1_MOUSE,0.483355396830623
t34476aep|Y1199_DICDI,0.0954445326260544
t34674aep|KI16B_MOUSE,0.0146010606939348
t34671aep|GT2D2_MOUSE,0.0118674346348564
t34685aep|CPMD8_HUMAN,0.0149909628479461
t34686aep|CPMD8_HUMAN,0.0300494168146024
t34682aep|IPMK_HUMAN,0.224572679369785
t37727aep|KLC4_HUMAN,0.00748702008367106
t37718aep|CFA45_HUMAN,0.335511383256504
t37731aep|S17A9_MOUSE,0.0149909628479461
t37729aep|KPCD3_MOUSE,0.631818741050273
t32504aep|RPN2_PONAB,0.0666927225298386
t32502aep|MKS3_RAT,0.0149909628479461
t32518aep|PTHD3_MOUSE,0.00408072845345311
t32519aep|PTR36_ARATH,0.323680247723684
t32498aep|KLC4_BOVIN,0.0149909628479461
t32515aep|ZFY26_BOVIN,0.0638285821134624
t32516aep|DTNB_MOUSE,0.124557104955893
t32501aep|GPMI_ONCVO,0.30897345642232
t36975aep|DYH5_HUMAN,0.0301442221866886
t36989aep|GPX5_PIG,3.16754387833801
t36974aep|CNFNA_XENLA,0.378208752393085
t36994aep|KINH_SYNRA,0.00748702008367106
t37004aep|MICA2_RAT,0.0267882738745656
t37005aep|CPMD8_HUMAN,0.0877645662759948
t36995aep|PGDH_BOVIN,0.00748702008367106
t37006aep|SVIL_MOUSE,0.0343773251376897
t35160aep|ZN862_HUMAN,0.0245634090876589
t35150aep|FEM1C_MOUSE,0.0642947260424013
t35146aep|ABR_BOVIN,0.162050766153092
t35151aep|ACTP1_ANTAS,0.0149909628479461
t35152aep|ACTP1_ANTAS,0.00748702008367106
t35144aep|NLTP_MOUSE,0.11062740244192
t35149aep|5HT1F_HUMAN,0.0648231745337372
t37975aep|ZNHI1_HUMAN,0.0111708221130025
t37978aep|HDGF_RAT,0.061861061604643
t37981aep|GAPR1_MOUSE,0.00748702008367106
t37988aep|GLNA_PANAR,0.00748702008367106
t33520aep|DDX17_MOUSE,0.399434212794513
t33518aep|INT7_CHICK,0.0149070429056088
t38565aep|PDXK_HUMAN,0.00735792039430095
t38573aep|CL004_RAT,0.000526157882684114
t38564aep|DEN2C_HUMAN,0.0178452899559551
t31271aep|GAB1_MESAU,0.0671079383967585
t33776aep|ASIC3_HUMAN,0.00726199738915001
t31934aep|MENG_LEPIN,0.0550364358677893
t31929aep|CERS6_HUMAN,0.417869534816145
t31947aep|HLH11_CAEEL,0.0271869072651114
t31936aep|PRRT1_MOUSE,0.080100983159068
t31931aep|ANK3_MOUSE,0.0888861638467006
t31942aep|ECE1_CAVPO,0.0131479378354099
t31957aep|DOCK1_HUMAN,0.0333057934983054
t31930aep|GXN_ACRMI,0.842698031035179
t32739aep|CHM1B_CHICK,0.183013739330506
t32745aep|PRRT1_MOUSE,1.38823044949949
t32744aep|LMX1A_HUMAN,0.0667464515533074
t32737aep|CAC1S_RABIT,0.00748702008367106
t32747aep|ZIC2B_XENLA,0.759849403046155
t32755aep|RBCC1_MOUSE,0.0115049113482355
t33610aep|VP33A_RAT,0.268247239363232
t33592aep|ZNT1_HUMAN,0.0742201785625835
t33590aep|STS_HUMAN,0.00867209845798684
t33595aep|FLT3_HUMAN,0.00748702008367106
t33601aep|EF3_CANGA,0.00748702008367106
t32369aep|GAPR1_HUMAN,0.00954858502365358
t32363aep|RTBS_DROME,0.00748702008367106
t38591aep|CAPS1_RAT,0.0240687455408182
t38581aep|HE_HEMPU,0.0467145151761862
t38596aep|FUT3_BOVIN,0.0269189753352187
t38582aep|TTC24_HUMAN,0.0283595539052432
t38423aep|WARA_DICDI,0.00748702008367106
t38428aep|SIX6_HUMAN,0.00748702008367106
t38425aep|TCB1_CAEBR,0.00748702008367106
t38504aep|CATIP_DANRE,0.115706330896207
t38506aep|ANK2_HUMAN,0.0149909628479461
t38509aep|DCDC2_MOUSE,0.517149583580092
t38510aep|ZN235_MOUSE,0.0189955221888959
t38497aep|DDC_HUMAN,0.254695981996546
t31735aep|NOTU2_XENLA,0.174571234189813
t31729aep|FREM2_MOUSE,0.0225152994188655
t31725aep|TPC13_XENTR,0.0409468997473888
t31734aep|VITRN_MOUSE,0.0470408271414139
t31730aep|S2611_HUMAN,0.194762722256966
t33099aep|ASM_BOVIN,0.427184148062714
t37444aep|TRI37_HUMAN,0.00190069755918237
t37461aep|EYS_HUMAN,0.00748702008367106
