t33418aep|ZBED8_BOVIN,0
t37645aep|CP4V2_MOUSE,0.164509400302818
t31628aep|TSP1_BOVIN,0.0102452657017453
t31619aep|ABCA2_HUMAN,0.0102452657017453
t31633aep|PREA_SALTY,0
t31620aep|PTRB_MORLA,0
t31618aep|DTBP1_CHICK,0.0402109028747128
t36047aep|FUCTA_DROME,0.0265393066862756
t36970aep|EXOS6_DANRE,-0.021550177685254
t34456aep|TAF3_CHICK,-0.188326980158962
t34453aep|RIFK_DROME,0.0106501809240588
t34451aep|RSGI5_CLOTH,0
t34446aep|VIAAT_XENLA,0.0993070129959811
t34450aep|KCNH5_MOUSE,0.0102452657017453
t36334aep|DOCK3_HUMAN,0.0778272782998987
t36327aep|RAD21_SCHPO,0
t36332aep|COPG2_ORYSJ,0.0102452657017453
t36340aep|AT1A_HYDVU,0.0102452657017453
t36336aep|CEP76_PONAB,0.013240036816926
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,0.00497277146042616
t36337aep|CRYAB_BOVIN,0.113621756843323
t35904aep|DDAC_ENTAG,0.130887844223708
t35900aep|RHCG_XENTR,0.0218709056932133
t35903aep|S35E3_DANRE,0.0320821872187215
t35908aep|CAF1A_CHICK,0.00120406516667243
t32664aep|AQP9_HUMAN,0.784825100392425
t32662aep|SERB_BOVIN,-0.00339129928938775
t31832aep|P52K_HUMAN,0.0102452657017453
t31833aep|BP10_PARLI,-0.00591739134153808
t31838aep|STXB1_RAT,0.0953772968127817
t38104aep|B3GN4_HUMAN,-0.00970530905335521
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0
t38110aep|P2R3C_HUMAN,0.0455015828838346
t38118aep|AGRIN_MOUSE,0.142490419243242
t38103aep|PTSS1_DANRE,0.0194579699386986
t38117aep|SAXO1_RAT,0.021361859156325
t33743aep|EXOC7_RAT,0.110180332979886
t33739aep|RPP14_MOUSE,0.0343511589082735
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,0.0531221205123725
t33735aep|DHB11_RAT,0.105791433714989
t32686aep|MRP1_CHICK,0.496002534289898
t32685aep|RN146_XENTR,-0.0637454327645534
t32696aep|OTOF_DANRE,0.0205177350325167
t32692aep|GPTC4_XENTR,-0.221838608145016
t32693aep|S27A4_HUMAN,0.0342341785828121
t32687aep|RAB23_HUMAN,0.109342298936944
t32691aep|PP14C_RAT,0.0568748948945636
t32688aep|CPT2_MOUSE,0
t35871aep|NOD1_MOUSE,0.0844924591026368
t35860aep|KIF3A_MACFA,0.119711459834937
t35866aep|MEL2A_DANRE,0.0302113673298944
t35863aep|SSPO_CHICK,-0.0107752119738985
t35872aep|NAPEP_BOVIN,0.305446856521339
t35870aep|STK10_CHICK,0.0886621382635568
t35858aep|SCND3_HUMAN,0
t35861aep|ABCBA_HUMAN,-0.0319529806667541
t35862aep|MEGF6_HUMAN,0.110629654075084
t35855aep|MIPEP_PONAB,-0.00845613223253591
t35857aep|PKD2_ORYLA,0
t35354aep|KLC3_RAT,0
t35356aep|CASP8_RAT,0.0205187411463401
t35353aep|B4GA1_DANRE,0.0121685819849991
t33691aep|ABCB2_DICDI,0.0411437979312901
t37371aep|IDI1_BOVIN,0.0157134709619245
t37374aep|VWDE_HUMAN,0
t37381aep|RPAC2_BOVIN,0.0570278547677159
t37368aep|PEX10_MOUSE,-0.0164351308270401
t37380aep|CBL_MOUSE,-0.0161041948331233
t37375aep|TC3A_CAEEL,0.0102452657017453
t32307aep|NCAN_PANTR,0
t32309aep|TM203_HUMAN,-0.0356154462589616
t32310aep|LSM1_HUMAN,0.0131774133498234
t32305aep|PPCT_MOUSE,0.0185596194537917
t32304aep|SWT15_VITVI,-0.0364572764805489
t33480aep|MSRB_METBF,-0.0367667472614877
t33470aep|PGBD3_HUMAN,0
t33473aep|THAP1_DANRE,0
t33081aep|ZMYM5_BOVIN,0.0102452657017453
t33080aep|KIF17_HUMAN,-0.0406098972083869
t33084aep|TXIP1_MOUSE,0
t33085aep|TXIP1_HUMAN,0.0102452657017453
t38023aep|FUT3_PONPY,0
t38021aep|YD286_MOUSE,0.0286928592886378
t36728aep|ARL5B_MOUSE,-0.0341308393618579
t33589aep|THAP2_MOUSE,0
t32812aep|TCB2_CAEBR,0
t32818aep|SY65_DROME,0
t32809aep|TRPA1_HUMAN,0
t32819aep|T106C_HUMAN,0.289122179947562
t32810aep|NDUA5_BOVIN,-0.102390216521633
t35726aep|SO4C1_RAT,0.202854611513749
t35724aep|SYF2_DANRE,-0.298141625720077
t35979aep|ECI1_RAT,0.024018484404646
t35981aep|PRPF3_CHICK,-0.0682973194782465
t35991aep|FLNC_RAT,-0.0115047699970839
t37010aep|NDUF4_PONAB,0.0188428424689828
t35994aep|MLRP2_ACRMI,0.976129954357979
t35982aep|NLTP_CHICK,-0.163170852109783
t35993aep|VATE_DROME,0.2125047174653
t35988aep|CIA30_DROME,-0.00939286405447357
t35989aep|M2K3_ARATH,0
t35984aep|DYH6_HUMAN,0.0344568688546863
t35985aep|DYH6_HUMAN,0.0102452657017453
t31651aep|LRRK2_MOUSE,0.0102452657017453
t31647aep|PPT1_HUMAN,0.853417333849698
t38649aep|ATXA_LEIDO,0
t38641aep|AL7A1_CAEEL,0
t38633aep|DRG1_XENLA,0.0382906418428765
t38636aep|ALG3_HUMAN,-0.0296173737672086
t38647aep|RAP1_CAEEL,0
t38646aep|PARG_BOVIN,-0.0128438097549832
t37013aep|LAGE3_MOUSE,0.0598465661194955
t38648aep|TM175_CHICK,0
t34435aep|IMPTB_XENTR,0
t34431aep|RSPH1_HUMAN,0.833417126980626
t34434aep|S12A8_XENLA,-0.00636972996234722
t34436aep|XRN1_HUMAN,0.0588783262305242
t34428aep|SPC25_RAT,-0.0446037421831364
t34430aep|RPAP1_BOVIN,0.0190909653901933
t34429aep|PP4C_XENTR,0.0718714947088285
t34427aep|ML12B_BOVIN,0.0943400377692613
t31846aep|CEP70_RAT,-0.00335615364237247
t31844aep|TLL1_DANRE,0
