t31910aep|CAH1_RAT,0.116861127223053
t38186aep|CRYAB_BOVIN,0.114064375292462
t35363aep|TMX2B_DANRE,0.100441956849847
t34195aep|SAM9L_HUMAN,0.38274977573935
t34191aep|SRSF7_BOVIN,0.259727292293072
t34192aep|FORF_DICDI,0.0786827266094321
t34186aep|BRPF1_HUMAN,0.183501706475598
t32757aep|INO80_MOUSE,0.133271912741761
t32775aep|CELR2_HUMAN,0.0367441359378442
t32779aep|SNR48_HUMAN,0.204332019593034
t33154aep|OXR1_MOUSE,0.00383881572117805
t32180aep|MYLK_SHEEP,0.145803069699689
t32160aep|MYD88_HUMAN,0.11265511906585
t32167aep|HAUS4_HUMAN,0.146094275882239
t32166aep|GBB5_PONAB,0.100625608695646
t36927aep|PLXA3_RAT,0.15608873343773
t36928aep|CACB2_RABIT,2.36262323717822
t35832aep|SPTN1_HUMAN,1.13778846601033
t35835aep|IFT22_XENTR,0.767367046947135
t35829aep|PLPL9_HUMAN,0.101337854583283
t35009aep|SPB10_BOVIN,0.0292836537832359
t35008aep|OPN4_PHOSU,0.116861127223053
t34999aep|SRBP1_PIG,0.176880543212829
t32094aep|TCB2_CAEBR,0.116861127223053
t32106aep|TLN2_HUMAN,0.161082006308638
t32111aep|TAF9B_RAT,0.0948469519837774
t32101aep|NEK4_HUMAN,0.0236898916897498
t36032aep|ABCA1_HUMAN,0.0157059194534501
t36031aep|ANPRA_MOUSE,0.0711314133357675
t36039aep|GRM3_HUMAN,0.116861127223053
t35701aep|HOME2_HUMAN,0.255248829044536
t35698aep|VPS36_XENLA,0.628698518125663
t35690aep|HMGX4_HUMAN,0.188964360566739
t32136aep|ZDH11_MOUSE,1.03619269331791
t37178aep|MSH3_MOUSE,0.116861127223053
t38445aep|ATRX_PONPY,0.169098114291375
t38447aep|SAX_LITCT,0.0929185378099918
t36571aep|FL2D_DANRE,0.0397356740874509
t36557aep|DHSO_BOVIN,0.194104709097154
t36738aep|ZSCA2_MOUSE,0.0864355466245185
t36735aep|S30BP_HUMAN,0.122567294393534
t36741aep|DYHC1_MOUSE,0.426152921498587
t38619aep|AL8A1_DANRE,0.112868227066728
