t37531aep|GTD2B_HUMAN,0.0282229396523103
t37577aep|RTJK_DROME,0.0484974843445911
t33011aep|PELET_DROME,0.0317783554349873
t32976aep|ZMYM1_HUMAN,0.00448152663248551
t33020aep|TSP3_MOUSE,0.0113748743286738
t35576aep|ZBED4_MOUSE,0.0798581019813291
t35577aep|KLC_DORPE,0.021474227546903
t35627aep|AL14E_BOVIN,0.0060125270808938
t35590aep|RTBS_DROME,0.00696343684637709
t35573aep|SHL2_ORYSJ,0.00815076674590542
t35607aep|RTJK_DROME,0.0130296541836647
t34209aep|TCB2_CAEBR,0.0251929102823062
t34245aep|AGRG2_MOUSE,0.0217326741856602
t37857aep|GIN1_HUMAN,0.000337242567467073
t37855aep|THAP9_HUMAN,0.00838181792680385
t32083aep|OPN4_BRABE,0.0214778550775951
t37598aep|GRM3_MOUSE,0.0445726629190488
t36827aep|CAC1D_MESAU,0.00544340143891131
t34847aep|Y165_RICPR,0.164399752015222
t37069aep|B3GN4_HUMAN,0.0282229396523103
t34346aep|ADAM9_MOUSE,0.0282229396523103
t34824aep|PCR3_ARATH,0.0100903502872927
t35628aep|CENPS_XENLA,0.00428035023924925
t33638aep|TRPC5_RABIT,0.0282229396523103
t31554aep|CYT_NOTSC,3.22940175443553
t31471aep|APOB_RAT,0.014713504778906
t32130aep|NPC2_DROME,0.0809072747317032
t36020aep|ADCY9_MOUSE,0.0953521618828218
t37043aep|SSPO_CHICK,0.0282229396523103
t34831aep|MTH2_DROYA,0.00883860144272538
t33826aep|HEL1_SCHPO,0.0282229396523103
t36298aep|CO061_HUMAN,0.0120482016032175
t34733aep|MCPI_MELCP,5.35381218692958
t34781aep|SET1_YEAST,0.143877606391615
t33670aep|NADA_APLKU,0.0216033474714626
t33567aep|RSLBB_DANRE,0.030836769771243
t33881aep|MFSD6_MOUSE,0.0282229396523103
t36310aep|CPI1_PIG,0.0444154114008981
t35341aep|GALT2_DROME,0.00977711636816535
t37839aep|ZFAN1_HUMAN,0.0233474616377536
t25939aep|MNT_XENLA,0.0895602689214223
t28851aep|TAPT1_MOUSE,0.00972419522212243
t28849aep|FH20_ARATH,0.0282229396523103
t18735aep|FOXA2_ORYLA,0.0417693748226152
t14512aep|TATD2_HUMAN,0.0131123956592598
t14505aep|GAS2_MOUSE,0.0143848407574454
t28513aep|LAR_CAEEL,0.0311449500120587
t25273aep|PQLC1_BOVIN,0.049397341588872
t1824aep|ADCK1_MOUSE,0.00824786487288217
t26432aep|KCNK9_XENLA,0.0193739187150082
t7688aep|GATD1_DANRE,0.0357796533058109
t7698aep|MFNA_METPE,1.4525288119897
t25309aep|HSFY1_HUMAN,0.0150574474949251
t26394aep|TMED7_HUMAN,0.323442489934532
t29730aep|CHSTB_RAT,0.00925385945154417
t19677aep|MEP1B_HUMAN,1.02337768670722
t24854aep|PRY1_YEAST,0.0232250117603269
t3271aep|IGS10_HUMAN,0.00947147783686856
t26161aep|YPD9_CAEEL,0.00179091311844513
t18765aep|EAA1_HUMAN,0.02121252006043
t25716aep|SMG7_MOUSE,0.00999694859244802
t4520aep|SRPRA_DROME,0.105502186324501
t25425aep|THEM4_HUMAN,0.0282229396523103
t13964aep|SC16A_HUMAN,0.118139121236347
t28568aep|B3GN4_HUMAN,0.0249144557256925
t1198aep|NHLC2_MOUSE,0.00383729618423438
t23544aep|PRY1_YEAST,1.20987737336028
t23543aep|DIRA1_HUMAN,0.0920343124516283
t11073aep|RAB24_HUMAN,0.839270935166982
t11061aep|APCD1_CHICK,0.290586867040455
t11055aep|LWA_HYDEC,0.000315805887888388
t11063aep|G3ST3_MOUSE,0.0282229396523103
t3676aep|TES_CHICK,0.021571289418194
t3693aep|PCKGM_MOUSE,0.00254691352397892
t1aep|NAS4_CAEEL,0.657088093761131
t3aep|G3ST3_MOUSE,0.0119456956148031
t17588aep|LRC23_MOUSE,0.0206932295063122
t17575aep|ENDUB_DANRE,2.06974900404265
t17610aep|S17B1_XENLA,0.0445726629190488
t17581aep|TC1D2_HUMAN,0.329020509228398
t17590aep|NCAH_DROME,0.0241679709810717
t20810aep|KN7D_ARATH,0.0282229396523103
t24799aep|MGT5B_HUMAN,0.0746535513282476
t24788aep|SYT4_RAT,0.0197786070709954
t27586aep|RHG06_MOUSE,0.0018979993611404
t27591aep|CNR1A_TAKRU,0.0561030057918745
t27581aep|AGRG4_MOUSE,0.0453932433376661
t16618aep|PA2B2_NOTSC,0.004989302490074
t28913aep|KLC4_HUMAN,0.0282229396523103
t12654aep|TCPD_RAT,0.0282229396523103
t27921aep|GLUCL_DROME,0.0416437570167049
t26400aep|CONT_DROME,0.164399752015222
t26415aep|ATS7_RAT,0.0282229396523103
t12690aep|GMK2_ARATH,0.0282229396523103
t25224aep|PPA6_BOVIN,0.00265509191638777
t25232aep|KI18A_HUMAN,0.0108789683796806
t18753aep|GPX5_PIG,0.0282229396523103
t26356aep|NR1BA_DANRE,0.0645651836893722
t24328aep|HMCN2_MOUSE,0.0282229396523103
t24325aep|YKX5_SCHPO,0.0282229396523103
t26322aep|ZIFL1_ARATH,0.083650808461187
t2532aep|DNAL1_BOVIN,0.0766440457670215
t24217aep|CCD63_BOVIN,0.0221091965938405
t25827aep|DNAJ_EHRCR,0.0171113114462067
t5462aep|CCKAR_CAVPO,0.0765017857546455
t29932aep|MRP1_HUMAN,0.0282229396523103
t10991aep|COCA1_HUMAN,0.0211146342403199
t27319aep|PIFO_MOUSE,0.0246206474478454
t24575aep|AB6A_ARATH,0.00565530029846019
t27117aep|TRI23_MOUSE,0.00565530029846019
