t37645aep|CP4V2_MOUSE,0.156880528296362
t31628aep|TSP1_BOVIN,0.0101478034458435
t31619aep|ABCA2_HUMAN,0.0101478034458435
t34453aep|RIFK_DROME,0.0243547375624701
t34451aep|RSGI5_CLOTH,0.0101478034458435
t36334aep|DOCK3_HUMAN,0.0203185925150284
t36340aep|AT1A_HYDVU,0.0304773620093587
t35904aep|DDAC_ENTAG,0.134534715460557
t35900aep|RHCG_XENTR,0.00895955801188769
t35903aep|S35E3_DANRE,0.0442623515584323
t32664aep|AQP9_HUMAN,0.680067313825515
t31833aep|BP10_PARLI,0.00423041210430535
t31838aep|STXB1_RAT,0.0604379912399405
t38104aep|B3GN4_HUMAN,0.000442494392488348
t38111aep|KCC2D_BOVIN,0.0101478034458435
t38118aep|AGRIN_MOUSE,0.141452405437768
t33743aep|EXOC7_RAT,0.121650473863937
t33739aep|RPP14_MOUSE,0.0584384898725724
t33741aep|IFT20_DANRE,0.0166913315534067
t33735aep|DHB11_RAT,0.0413956346277333
t32686aep|MRP1_CHICK,0.260332602555127
t32685aep|RN146_XENTR,0.0169112869791149
t32696aep|OTOF_DANRE,0.0203069464595894
t32693aep|S27A4_HUMAN,0.0155461422677363
t32687aep|RAB23_HUMAN,0.18481119320224
t32691aep|PP14C_RAT,0.0495388977346827
t35871aep|NOD1_MOUSE,0.0917328528655269
t35860aep|KIF3A_MACFA,0.0752320845434112
t35866aep|MEL2A_DANRE,0.015771910226393
t35863aep|SSPO_CHICK,0.0197021500354602
t35872aep|NAPEP_BOVIN,0.270263061407466
t35870aep|STK10_CHICK,0.0368473221898872
t35862aep|MEGF6_HUMAN,0.0513502678304255
t35356aep|CASP8_RAT,0.00295696343291295
t35353aep|B4GA1_DANRE,0.00133041825207951
t37374aep|VWDE_HUMAN,0.0101478034458435
t37381aep|RPAC2_BOVIN,0.0134601321196835
t32309aep|TM203_HUMAN,0.0262078639671889
t32310aep|LSM1_HUMAN,0.00158836123649136
t32305aep|PPCT_MOUSE,0.00772145572087245
