t32167aep|HAUS4_HUMAN,0.0601839566367237
t36933aep|ATG2B_HUMAN,0.0331810612472788
t36930aep|RTJK_DROME,0.0363625500783383
t35832aep|SPTN1_HUMAN,0.0204613741237426
t35835aep|IFT22_XENTR,0.756773573867864
t35829aep|PLPL9_HUMAN,0.0208392774385685
t35009aep|SPB10_BOVIN,0.0879720487657276
t35011aep|HEMK1_HUMAN,0.0329459803288758
t35006aep|CER1_HUMAN,0.0363625500783383
t32100aep|PRRT1_MOUSE,0.0271414955802713
t32108aep|FITM2_XENTR,0.0619476592627715
t32102aep|KRI1_MOUSE,0.0505781443442504
t32112aep|HACE1_HUMAN,0.0459693479825512
t32111aep|TAF9B_RAT,0.161842979002095
t32101aep|NEK4_HUMAN,0.013985383177366
t32099aep|DDX46_MOUSE,0.0243009754085539
t32321aep|DYH7_HUMAN,0.221171369845093
t32323aep|SYMC_XENLA,0.0132835155099847
t36031aep|ANPRA_MOUSE,0.0614269048233842
t36039aep|GRM3_HUMAN,0.0363625500783383
t36035aep|TCEA2_HUMAN,0.218706187882352
t36962aep|RTBS_DROME,0.0363625500783383
t32136aep|ZDH11_MOUSE,1.21133775559752
t32151aep|HE_PARLI,0.0231073740112651
t37191aep|DUR1_LACKL,0.0363625500783383
t37192aep|FBXW2_MOUSE,0.0912534850493594
t38440aep|AGGF1_MOUSE,0.00445144302131347
t36568aep|POL_SIVEK,0.0363625500783383
t36564aep|D19L3_HUMAN,0.0116951110036338
t36738aep|ZSCA2_MOUSE,0.00593696947980346
t36736aep|ARP8_SALSA,0.0740780637738994
t36749aep|NEMP1_XENTR,0.100952738619159
t34465aep|NPHP4_MOUSE,0.126266073280974
t34475aep|LRIG2_HUMAN,0.509790824511374
t34464aep|RUSD4_HUMAN,0.25406127019867
t34477aep|HGH1_DROME,0.0354240494666125
t34686aep|CPMD8_HUMAN,0.0363625500783383
t34669aep|CK070_BOVIN,0.000492697342028783
t34682aep|IPMK_HUMAN,0.0189801973195129
