t33418aep|ZBED8_BOVIN,0
t37645aep|CP4V2_MOUSE,0
t31628aep|TSP1_BOVIN,0
t31619aep|ABCA2_HUMAN,0
t31633aep|PREA_SALTY,0
t31620aep|PTRB_MORLA,0
t31618aep|DTBP1_CHICK,-0.0132824798697177
t36047aep|FUCTA_DROME,0
t36970aep|EXOS6_DANRE,-0.0281413465649787
t34456aep|TAF3_CHICK,-0.0204618872726907
t34453aep|RIFK_DROME,-0.0469156791458227
t34451aep|RSGI5_CLOTH,0
t34446aep|VIAAT_XENLA,0
t34450aep|KCNH5_MOUSE,0.0191688058502962
t36334aep|DOCK3_HUMAN,-0.0553891505002609
t36327aep|RAD21_SCHPO,0
t36332aep|COPG2_ORYSJ,0
t36340aep|AT1A_HYDVU,0.0191688058502962
t36336aep|CEP76_PONAB,-0.022620592780414
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,-0.0194647390323594
t36337aep|CRYAB_BOVIN,0.115453110849038
t35904aep|DDAC_ENTAG,0
t35900aep|RHCG_XENTR,0.0279668112191696
t35903aep|S35E3_DANRE,0.0323106202175046
t35908aep|CAF1A_CHICK,0.081044806261699
t32664aep|AQP9_HUMAN,-0.00844433258131474
t32662aep|SERB_BOVIN,-0.000279968927865898
t31832aep|P52K_HUMAN,0
t31833aep|BP10_PARLI,0.243129557276319
t31838aep|STXB1_RAT,0.0799405374280018
t38104aep|B3GN4_HUMAN,0.00946349679694085
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0.0191688058502962
t38110aep|P2R3C_HUMAN,0.0385158473207219
t38118aep|AGRIN_MOUSE,-0.00337415018350096
t38103aep|PTSS1_DANRE,-0.112013879816112
t38117aep|SAXO1_RAT,0.151941775184199
t33743aep|EXOC7_RAT,-0.0809097812557663
t33739aep|RPP14_MOUSE,-0.0268951624773383
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,0.0544879817424813
t33735aep|DHB11_RAT,0.0336555587690063
t32686aep|MRP1_CHICK,-0.0482548619614546
t32685aep|RN146_XENTR,0.0266181290219932
t32696aep|OTOF_DANRE,0
t32692aep|GPTC4_XENTR,0.0978351973903349
t32693aep|S27A4_HUMAN,-0.0901026700539262
t32687aep|RAB23_HUMAN,0.134153992111128
t32691aep|PP14C_RAT,0.00623692200467933
t32688aep|CPT2_MOUSE,0
t35871aep|NOD1_MOUSE,0
t35860aep|KIF3A_MACFA,0.108306749246579
t35866aep|MEL2A_DANRE,0.0104470677410698
t35863aep|SSPO_CHICK,-0.0107752119738985
t35872aep|NAPEP_BOVIN,-0.0205221456236079
t35870aep|STK10_CHICK,-0.147240392887796
t35858aep|SCND3_HUMAN,0
t35861aep|ABCBA_HUMAN,0.0234004672109414
t35862aep|MEGF6_HUMAN,-0.00970530905335521
t35855aep|MIPEP_PONAB,-0.0529310161090437
t35857aep|PKD2_ORYLA,0
t35354aep|KLC3_RAT,0
t35356aep|CASP8_RAT,0.00751306352178326
t35353aep|B4GA1_DANRE,-0.00113434350048981
t33691aep|ABCB2_DICDI,0
t37371aep|IDI1_BOVIN,0.0901746721972515
t37374aep|VWDE_HUMAN,0.0191688058502962
t37381aep|RPAC2_BOVIN,0.0681793996005123
t37368aep|PEX10_MOUSE,0.146981700204428
t37380aep|CBL_MOUSE,-0.170801402112874
t37375aep|TC3A_CAEEL,0
t32307aep|NCAN_PANTR,0.0191688058502962
t32309aep|TM203_HUMAN,0.041418346425879
t32310aep|LSM1_HUMAN,-0.0458929600827331
t32305aep|PPCT_MOUSE,-0.0137687217132366
t32304aep|SWT15_VITVI,0.051354859299723
t33480aep|MSRB_METBF,0.0145135338590258
t33470aep|PGBD3_HUMAN,0
t33473aep|THAP1_DANRE,0
t33081aep|ZMYM5_BOVIN,0
t33080aep|KIF17_HUMAN,0.00870825770070849
t33084aep|TXIP1_MOUSE,0
t33085aep|TXIP1_HUMAN,0
t38023aep|FUT3_PONPY,0
t38021aep|YD286_MOUSE,-0.0413451933409429
t36728aep|ARL5B_MOUSE,-0.0836315118587724
t33589aep|THAP2_MOUSE,0.0191688058502962
t32812aep|TCB2_CAEBR,0
t32818aep|SY65_DROME,0
t32809aep|TRPA1_HUMAN,0
t32819aep|T106C_HUMAN,0.0147390129956337
t32810aep|NDUA5_BOVIN,-0.0111937165266895
t35726aep|SO4C1_RAT,-0.0276293361580072
t35724aep|SYF2_DANRE,0.429236222746945
t35979aep|ECI1_RAT,-0.0114160434822984
t35981aep|PRPF3_CHICK,-0.0566774186780307
t35991aep|FLNC_RAT,-0.0115047699970839
t37010aep|NDUF4_PONAB,-0.0387889471490636
t35994aep|MLRP2_ACRMI,-0.00415502341509747
t35982aep|NLTP_CHICK,-0.123166673141074
t35993aep|VATE_DROME,-0.459511784700492
t35988aep|CIA30_DROME,0.00828362244484532
t35989aep|M2K3_ARATH,0
t35984aep|DYH6_HUMAN,0.067382184215848
t35985aep|DYH6_HUMAN,0
t31651aep|LRRK2_MOUSE,0
t31647aep|PPT1_HUMAN,-0.0513180304086578
t38649aep|ATXA_LEIDO,0
t38641aep|AL7A1_CAEEL,0
t38633aep|DRG1_XENLA,0.00641144202937713
t38636aep|ALG3_HUMAN,0.00725576643109689
t38647aep|RAP1_CAEEL,0
t38646aep|PARG_BOVIN,-0.0322154482930289
t37013aep|LAGE3_MOUSE,0.237153367736333
t38648aep|TM175_CHICK,0
t34435aep|IMPTB_XENTR,-0.0116484805968399
t34431aep|RSPH1_HUMAN,0.934098939481619
t34434aep|S12A8_XENLA,0.0113067565369715
t34436aep|XRN1_HUMAN,0.0842215171262198
t34428aep|SPC25_RAT,0.111266751395707
t34430aep|RPAP1_BOVIN,-0.0236174395594805
t34429aep|PP4C_XENTR,-0.117239079839574
t34427aep|ML12B_BOVIN,0.0587322765113558
t31846aep|CEP70_RAT,0.0838225725754383
t31844aep|TLL1_DANRE,0.0191688058502962
t31842aep|TERA_XENLA,-0.215086897402046
t31849aep|TYPH_RAT,-0.0216142057755755
t31847aep|RS2_ICTPU,0.149060290084835
t31848aep|SPCS3_CHICK,0.435160453352944
t34798aep|APH1_DROME,-0.00540508377142517
t34802aep|PISD_CRIGR,0.0179002743169046
t34796aep|PCMD2_BOVIN,0.0496274169981249
t34792aep|PTH2_BOVIN,0.0201410422102955
t34790aep|TWF1_HUMAN,-0.0490482876594357
t32481aep|GUAA_RAT,-0.0171051676368603
t32473aep|RB18B_DANRE,-0.0026746572331043
t32475aep|WHITE_DROME,-0.00544237782429253
t32469aep|CO6A4_MOUSE,0
t32470aep|LYRM2_MOUSE,0.115257777723587
t31220aep|P52K_HUMAN,0.0191688058502962
t31227aep|SYCP2_RAT,0
t31225aep|RT35_BOVIN,-0.13370534055203
t31230aep|UNC89_CAEEL,0
t31231aep|UNC89_CAEEL,0
t36653aep|DOHH_RAT,0
t36650aep|ANKK1_MOUSE,-0.00464534465614478
t36663aep|AA2AR_CANLF,0.0381942215318354
