t31935aep|AP4S1_HUMAN,0.0799874648579442
t31942aep|ECE1_CAVPO,0.105919606346502
t31956aep|ARID2_HUMAN,0.182466976626149
t31930aep|GXN_ACRMI,0.0542310430256537
t32755aep|RBCC1_MOUSE,0.0915216447094988
t33595aep|FLT3_HUMAN,0.0624545452878409
t33591aep|EXOS4_BOVIN,0.0716486990100006
t33603aep|XPP1_MOUSE,0.0827079471788604
t32382aep|TCHP_DANRE,0.126576881947728
t38581aep|HE_HEMPU,0.0342551904169095
t38423aep|WARA_DICDI,0.0624545452878409
t38414aep|ORC4_PONAB,0.0320607609939676
t38507aep|CHUR_BOVIN,0.0471305034964672
t38509aep|DCDC2_MOUSE,0.0759199120586735
t31723aep|NADA_APLCA,0.173650486494732
t31741aep|FBP1_STRPU,1.06185374169953
t33104aep|SL9A8_HUMAN,0.0214821233736696
t33102aep|FAF2B_XENLA,0.252544580682111
t33109aep|DAG1_BOVIN,0.0624545452878409
t33106aep|NPHP3_HUMAN,0.0908637857985384
t37444aep|TRI37_HUMAN,0.0445158611563515
t37459aep|RTBS_DROME,0.0624545452878409
t36608aep|NCLN_DANRE,0.128258213419008
t36591aep|ZMYM1_HUMAN,0.115756643300358
t34694aep|PGBD4_HUMAN,0.0624545452878409
t34695aep|SORCN_SCHJA,0.122821085325695
t32286aep|RIMS2_RAT,0.0584512688147842
t32283aep|PPBT_CHICK,0.0270735938134379
t32275aep|CAN5_MOUSE,0.113600030827628
t32280aep|5HTR_LYMST,0.122821085325695
t32906aep|SNP47_RAT,0.0929249088375531
t32907aep|KALRN_MOUSE,0.66142464707049
t32334aep|DCTP1_MOUSE,0.014602334631403
t32349aep|CRJ1A_TRICY,0.0255992888418562
t32353aep|THOC2_DASNO,0.081440267881976
t32328aep|SPIT3_HUMAN,1.14072286596292
t32350aep|DCA15_BOVIN,0.114278430519058
t32866aep|PDD2L_CHICK,0.0614256470100414
t32898aep|CAC1B_RAT,0.0478191209599735
t37679aep|DCC_MOUSE,0.137199501920363
t33231aep|CLPX_MOUSE,0.0515571085091997
t33217aep|IN80D_XENLA,0.0480361870957797
