t33418aep|ZBED8_BOVIN,0
t37645aep|CP4V2_MOUSE,0
t31628aep|TSP1_BOVIN,0
t31619aep|ABCA2_HUMAN,0
t31633aep|PREA_SALTY,0
t31620aep|PTRB_MORLA,0
t31618aep|DTBP1_CHICK,-0.046441895537898
t36047aep|FUCTA_DROME,0
t36970aep|EXOS6_DANRE,0.115028229641432
t34456aep|TAF3_CHICK,0.169626402385506
t34453aep|RIFK_DROME,-0.0106927494905673
t34451aep|RSGI5_CLOTH,0
t34446aep|VIAAT_XENLA,0
t34450aep|KCNH5_MOUSE,0.0362229296552554
t36334aep|DOCK3_HUMAN,0.028661944926435
t36327aep|RAD21_SCHPO,0
t36332aep|COPG2_ORYSJ,0
t36340aep|AT1A_HYDVU,0
t36336aep|CEP76_PONAB,0.0459473063251708
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,0.0393016822212465
t36337aep|CRYAB_BOVIN,0.255340490757065
t35904aep|DDAC_ENTAG,0
t35900aep|RHCG_XENTR,-0.0116367759227378
t35903aep|S35E3_DANRE,0.141701177582517
t35908aep|CAF1A_CHICK,-0.0305344989817248
t32664aep|AQP9_HUMAN,-0.00844433258131474
t32662aep|SERB_BOVIN,-0.00643715623802264
t31832aep|P52K_HUMAN,0
t31833aep|BP10_PARLI,0.777484422357599
t31838aep|STXB1_RAT,0.367416774930454
t38104aep|B3GN4_HUMAN,0.131424963690098
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0
t38110aep|P2R3C_HUMAN,0.0639515999447864
t38118aep|AGRIN_MOUSE,0.0328487794717542
t38103aep|PTSS1_DANRE,-0.116039011583318
t38117aep|SAXO1_RAT,0.459903935951327
t33743aep|EXOC7_RAT,-0.0345007246088786
t33739aep|RPP14_MOUSE,-0.102721679274501
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,0.0299800593387015
t33735aep|DHB11_RAT,0.00582910254591188
t32686aep|MRP1_CHICK,0.145634059730608
t32685aep|RN146_XENTR,-0.248773627730329
t32696aep|OTOF_DANRE,0
t32692aep|GPTC4_XENTR,0.0887940003739507
t32693aep|S27A4_HUMAN,-0.0202452613065881
t32687aep|RAB23_HUMAN,-0.0167632741197158
t32691aep|PP14C_RAT,-0.0319572995271562
t32688aep|CPT2_MOUSE,0
t35871aep|NOD1_MOUSE,0
t35860aep|KIF3A_MACFA,0.218946232003068
t35866aep|MEL2A_DANRE,0.00428988043091329
t35863aep|SSPO_CHICK,3.31435267341225
t35872aep|NAPEP_BOVIN,-0.0205221456236079
t35870aep|STK10_CHICK,-0.198346867727265
t35858aep|SCND3_HUMAN,0
t35861aep|ABCBA_HUMAN,0.0172432799007847
t35862aep|MEGF6_HUMAN,0.0265176206019001
t35855aep|MIPEP_PONAB,0.0346622986780805
t35857aep|PKD2_ORYLA,0.0362229296552554
t35354aep|KLC3_RAT,0
t35356aep|CASP8_RAT,-0.0320905236201242
t35353aep|B4GA1_DANRE,-0.0393285650323254
t33691aep|ABCB2_DICDI,0
t37371aep|IDI1_BOVIN,0.0188134512496797
t37374aep|VWDE_HUMAN,0
t37381aep|RPAC2_BOVIN,-0.0692428045643671
t37368aep|PEX10_MOUSE,0.076807282061909
t37380aep|CBL_MOUSE,-0.0100859777134652
t37375aep|TC3A_CAEEL,0
t32307aep|NCAN_PANTR,0
t32309aep|TM203_HUMAN,0.136424965268424
t32310aep|LSM1_HUMAN,-0.116037056998712
t32305aep|PPCT_MOUSE,0.0388638574664238
t32304aep|SWT15_VITVI,-0.00197902179513249
t33480aep|MSRB_METBF,0.10745853529755
t33470aep|PGBD3_HUMAN,0
t33473aep|THAP1_DANRE,0
t33081aep|ZMYM5_BOVIN,0
t33080aep|KIF17_HUMAN,0.0223143208578888
t33084aep|TXIP1_MOUSE,0.0362229296552554
t33085aep|TXIP1_HUMAN,0.0362229296552554
t38023aep|FUT3_PONPY,0
t38021aep|YD286_MOUSE,0.110216838154416
t36728aep|ARL5B_MOUSE,-0.109214975932733
t33589aep|THAP2_MOUSE,0
t32812aep|TCB2_CAEBR,0
t32818aep|SY65_DROME,0
t32809aep|TRPA1_HUMAN,0
t32819aep|T106C_HUMAN,0.0889864613986498
t32810aep|NDUA5_BOVIN,-0.253804787732657
t35726aep|SO4C1_RAT,-0.0276293361580072
t35724aep|SYF2_DANRE,-0.060094667080352
t35979aep|ECI1_RAT,-0.0471533080573647
t35981aep|PRPF3_CHICK,-0.00690124419377891
t35991aep|FLNC_RAT,0.0247181596581715
t37010aep|NDUF4_PONAB,0.0277412038733838
t35994aep|MLRP2_ACRMI,0.0294521400830235
t35982aep|NLTP_CHICK,-0.139939832607268
t35993aep|VATE_DROME,-0.512196393140991
t35988aep|CIA30_DROME,-0.0299105990869903
t35989aep|M2K3_ARATH,0
t35984aep|DYH6_HUMAN,0.0277785970739407
t35985aep|DYH6_HUMAN,0
t31651aep|LRRK2_MOUSE,0
t31647aep|PPT1_HUMAN,0.198829180738638
t38649aep|ATXA_LEIDO,0
t38641aep|AL7A1_CAEEL,0
t38633aep|DRG1_XENLA,-0.0440230213064204
t38636aep|ALG3_HUMAN,-0.0153818488071335
t38647aep|RAP1_CAEEL,0
t38646aep|PARG_BOVIN,0.0363524508125558
t37013aep|LAGE3_MOUSE,0.117794006401926
t38648aep|TM175_CHICK,0
t34435aep|IMPTB_XENTR,-0.0308172864471359
t34431aep|RSPH1_HUMAN,0.669492205997548
t34434aep|S12A8_XENLA,0.0798746556425564
t34436aep|XRN1_HUMAN,-0.0246768071803047
t34428aep|SPC25_RAT,0.103128720760151
t34430aep|RPAP1_BOVIN,-0.00656331575452131
t34429aep|PP4C_XENTR,-0.266050170992924
t34427aep|ML12B_BOVIN,-0.00073638149988765
t31846aep|CEP70_RAT,-0.0143300929282575
t31844aep|TLL1_DANRE,0
t31842aep|TERA_XENLA,0.0797074254332902
t31849aep|TYPH_RAT,-0.0216142057755755
t31847aep|RS2_ICTPU,-0.301889135949267
t31848aep|SPCS3_CHICK,0.243944077220582
t34798aep|APH1_DROME,0.0442778595492379
t34802aep|PISD_CRIGR,-0.0202939472149311
t34796aep|PCMD2_BOVIN,0.0269898017598943
t34792aep|PTH2_BOVIN,0.0455767948343599
t34790aep|TWF1_HUMAN,-0.0775851771319046
t32481aep|GUAA_RAT,-0.0884663885844322
t32473aep|RB18B_DANRE,0.0143794665718549
t32475aep|WHITE_DROME,-0.00544237782429253
t32469aep|CO6A4_MOUSE,0
t32470aep|LYRM2_MOUSE,-0.0167703149568699
t31220aep|P52K_HUMAN,0
t31227aep|SYCP2_RAT,0
t31225aep|RT35_BOVIN,-0.0872851954026344
t31230aep|UNC89_CAEEL,0
t31231aep|UNC89_CAEEL,0
t36653aep|DOHH_RAT,0
t36650aep|ANKK1_MOUSE,-0.00661663653272512
t36663aep|AA2AR_CANLF,0
t37814aep|CC105_BOVIN,-0.00392483922158827
