t34604aep|RA51D_ARATH,0.0631896146083008
t34600aep|KPSH1_BOVIN,0.07886360125245
t38363aep|DNAL4_PIG,0.00216313496897657
t38365aep|TMOD2_RAT,0.0376979373961905
t38366aep|DDRGK_TRIAD,0.06317386817311
t32782aep|ARGLA_DANRE,0.457126800010259
t37025aep|THG1_HUMAN,0.0729084014870429
t32786aep|SETD4_HUMAN,0.119322279558932
t36257aep|EDIL3_MOUSE,0.0337041894508141
t36265aep|TXND_THEPA,0.218704639478158
t36259aep|KLC4_HUMAN,0.045208959447898
t37211aep|RYK_MOUSE,0.146165028777317
t36465aep|PA1B3_RAT,0.041285461977743
t36467aep|CEAM5_HUMAN,0.045208959447898
t36462aep|PAPOG_MOUSE,0.0947106038274604
t36466aep|TF2H1_HUMAN,0.0353087282074645
t38654aep|BBS4_HUMAN,0.0763032348006071
t38653aep|TOR1A_MACFA,0.00703937084625884
t38657aep|CCD94_MOUSE,0.0396714471206704
t38658aep|PKHG5_MOUSE,0.00026942379597955
t38455aep|PDE11_DROME,0.448686095175998
t31915aep|F149A_MOUSE,0.442802025831532
t34560aep|AMPN_RAT,0.0680339359658356
t35307aep|DTD2_MOUSE,0.0389697345141301
t35296aep|MORN2_BOVIN,0.0288958866597233
t37105aep|SNPC3_BOVIN,0.097748836642857
t34990aep|LYST_MOUSE,0.115314962727632
t34997aep|HBAP1_RAT,0.00806571379378124
t34991aep|RBM25_MOUSE,0.25799951536898
t34996aep|RET_RAT,0.0350926543538994
t31900aep|FRIH_TREBE,0.105291434738935
t31908aep|RSLBA_HUMAN,0.00448150667161071
t31912aep|HSP70_HYDVU,0.0627190771006298
t31905aep|DYH2_MOUSE,0.045208959447898
t31909aep|RBM25_MOUSE,0.242934349566054
t31899aep|AT1A_HYDVU,0.79720443026093
t38176aep|APC1_MOUSE,0.0260363547327085
t38186aep|CRYAB_BOVIN,0.858127825640218
t32725aep|TIM10_CAEBR,0.0421789300778937
t32715aep|KCMA1_BOVIN,0.045208959447898
t32719aep|T2FA_XENLA,0.136909701909402
t35365aep|SGCD_HUMAN,0.00939224059244728
t35368aep|DCP2_MOUSE,0.0405565178193334
t35373aep|RS14_MARMM,0.000636470173580035
t35372aep|ELYS_XENLA,0.129850505660467
t34195aep|SAM9L_HUMAN,0.00107826454518933
t34191aep|SRSF7_BOVIN,0.44039091322344
t34192aep|FORF_DICDI,0.00703055883427691
t34186aep|BRPF1_HUMAN,0.189418473444841
t32768aep|KLC4_MOUSE,0.045208959447898
t32757aep|INO80_MOUSE,0.0468427493095052
t32760aep|BRM_DROME,0.00201145794471157
t32773aep|TRI50_MOUSE,0.103756481621841
t32775aep|CELR2_HUMAN,0.0942764044471827
t33154aep|OXR1_MOUSE,0.019325996084514
t34085aep|AL221_ARATH,0.045208959447898
t32180aep|MYLK_SHEEP,0.0944804672997759
t32160aep|MYD88_HUMAN,0.0250824938329029
t32167aep|HAUS4_HUMAN,0.0170015278500678
t32166aep|GBB5_PONAB,0.0493030062957326
t36935aep|KCNC1_HUMAN,0.045208959447898
t36927aep|PLXA3_RAT,0.191590130402914
t36933aep|ATG2B_HUMAN,0.0153296115616721
t36928aep|CACB2_RABIT,1.8540840511548
t35832aep|SPTN1_HUMAN,0.816574633133824
t35835aep|IFT22_XENTR,0.447999852596122
t35000aep|S23IP_MOUSE,0.0850839055172873
t35014aep|HERC1_HUMAN,0.146124864217166
t35011aep|HEMK1_HUMAN,0.09322195010691
t35005aep|CHRD_XENLA,0.0198186384418612
t34999aep|SRBP1_PIG,0.184797946833218
t32094aep|TCB2_CAEBR,0.0711347272824028
t32111aep|TAF9B_RAT,0.0846222221867619
t32099aep|DDX46_MOUSE,0.110601916316144
t32321aep|DYH7_HUMAN,0.0794793623851717
t32313aep|USP9X_HUMAN,0.051943989637525
t32319aep|AAPK2_HUMAN,0.0861385758823637
t32315aep|IN80B_HUMAN,0.028933119856772
t32323aep|SYMC_XENLA,0.157511355406356
t35694aep|NLTP_MOUSE,0.00701442289835303
t35698aep|VPS36_XENLA,0.521499715680201
t35690aep|HMGX4_HUMAN,0.343425399421068
t32136aep|ZDH11_MOUSE,0.847661207055939
t32151aep|HE_PARLI,0.0760499929579901
t37177aep|MDC1_RAT,0.0660676837184431
t37192aep|FBXW2_MOUSE,0.0293058257865878
t38445aep|ATRX_PONPY,0.0544611747632696
t38446aep|RNF10_XENLA,0.0328891461000071
t38440aep|AGGF1_MOUSE,0.0254413402969216
t36566aep|YRD6_CAEEL,0.045208959447898
t36564aep|D19L3_HUMAN,0.165084333372656
t36738aep|ZSCA2_MOUSE,0.143967815133857
t36736aep|ARP8_SALSA,0.0308768491547435
t36749aep|NEMP1_XENTR,0.0486169176913254
t36735aep|S30BP_HUMAN,0.0878632575487854
t36741aep|DYHC1_MOUSE,0.120733644661588
t38617aep|U2AFM_HUMAN,0.251498490010099
t34467aep|GAPR1_MOUSE,0.709079719914343
t34465aep|NPHP4_MOUSE,0.132852462968391
t34481aep|PYM1_BOVIN,0.048717943460655
t34674aep|KI16B_MOUSE,0.0238052465599297
t34669aep|CK070_BOVIN,0.00933910671158877
t34682aep|IPMK_HUMAN,0.000491586572279906
t34670aep|VKORL_HUMAN,0.615924846140151
t37723aep|INTU_BOVIN,0.138998018988714
t32504aep|RPN2_PONAB,0.269238917584016
t32502aep|MKS3_RAT,0.045208959447898
t32514aep|NPHP1_CANLF,0.299199579433897
