t34790aep|TWF1_HUMAN,0.12367626526536
t32481aep|GUAA_RAT,-0.0121691247260197
t32473aep|RB18B_DANRE,0.0358555295273485
t32475aep|WHITE_DROME,0.0139373501510926
t32469aep|CO6A4_MOUSE,0
t32470aep|LYRM2_MOUSE,-0.0547339801557247
t31220aep|P52K_HUMAN,0
t31227aep|SYCP2_RAT,0
t31225aep|RT35_BOVIN,-0.118478796766298
t31230aep|UNC89_CAEEL,0.0193797279753852
t31231aep|UNC89_CAEEL,0.0386117052363264
t36653aep|DOHH_RAT,0.0193797279753852
t36650aep|ANKK1_MOUSE,-0.0428395661879803
t36663aep|AA2AR_CANLF,0
t37814aep|CC105_BOVIN,0.204089634798633
t37817aep|RS6_BRAFL,-0.354277975449103
t37818aep|EF1A_HYDVU,-0.235370442329214
t37816aep|LRP2_RAT,-0.0739988450968737
t32256aep|P5CR1_BOVIN,0.019460426543413
t32265aep|SYD1_CAEEL,0.00577952331898099
t32253aep|YPEL5_PONAB,-0.0207704019671271
t32261aep|GAPR1_HUMAN,0
t32266aep|GGT1_PIG,0.0028338345846599
t32269aep|FSTL1_BOVIN,2.17783669367113
t32255aep|CHSS1_MOUSE,-0.0110670303405113
t32258aep|SHPK_MOUSE,0.015141677691606
t32263aep|IF172_DANRE,0.0429640276511867
t32267aep|CG050_MOUSE,-0.034730547537678
t35087aep|CJ076_XENLA,0.0554389236394623
t35085aep|RS30_ORYLA,-0.0235454723115214
t35082aep|WASH7_HUMAN,0.00297899495755872
t35075aep|COMD6_MOUSE,-0.0484935972702203
t35079aep|RB39B_MOUSE,-0.00947807424381641
t35552aep|DTL_CHICK,0.0102097603421813
t35556aep|M4K2_HUMAN,0.196146421735214
t35545aep|KLC4_MOUSE,0.0193797279753852
t35549aep|PDRG1_RAT,-0.0871200725509128
t35558aep|ARP10_HUMAN,0.0581660051654386
t36397aep|ARMC7_MOUSE,-0.0475041521087563
t36395aep|NAS15_CAEEL,0
t36392aep|UTP15_HUMAN,-0.094026918669334
t36388aep|YR826_MIMIV,0
t36391aep|HETE1_PODAS,0
t36387aep|NPHP3_HUMAN,0.0193797279753852
t35409aep|BTBD7_HUMAN,0
t35401aep|LIN52_DANRE,-0.0421946522777743
t35403aep|MYPN_MOUSE,0.0193797279753852
t35411aep|EDC3_PONAB,-0.0597998450606025
t35406aep|WDY_ANOGA,0
t35408aep|NK2R_RAT,0.169344507581197
t33712aep|HACD_CAEEL,0
t33710aep|SEC_ARATH,0.0386117052363264
t33694aep|KLC4_MOUSE,0
t33696aep|CNRP1_BOVIN,0.0193797279753852
t33709aep|TC3A_CAEEL,0
t33695aep|GID8_NEMVE,-0.0874696898815234
t35845aep|TIM9_MOUSE,-0.116024415271289
t35851aep|OPSD1_MIZYE,0.336648151865342
t35853aep|TM175_MOUSE,0
t35848aep|MS3L1_PONAB,0.042354016313583
t35846aep|SDHF3_NEMVE,-0.0529154196750672
t35850aep|CYTA_MOUSE,0.324260735593731
t35847aep|PHF3_HUMAN,0.0944372955511502
t35212aep|EFCB2_MOUSE,0
t35208aep|TTC28_MOUSE,0
t35207aep|CP17A_ICTPU,0
t35215aep|MTA1_HUMAN,-0.0909522225296167
t35204aep|RET_RAT,0
t35214aep|ZMYM1_HUMAN,0
t35217aep|CEBPB_CHICK,0.222635846477091
t37320aep|CO6A6_HUMAN,0.0661911734245086
t37316aep|ASPM_SHEEP,0.0838325578393084
t37317aep|ASPM_SAIBB,-0.0101724332194208
t37318aep|MYOG_DICDI,0
t37319aep|ASPM_MACMU,0
t37312aep|UBC12_SCHPO,-0.125512741926686
t36969aep|CISD3_HUMAN,-0.262381724023323
t32622aep|MK14_CANLF,0.0212535557979058
t32614aep|XRRA1_MOUSE,0
t32620aep|HMCN1_HUMAN,0
t32615aep|UNK_HUMAN,-0.0607859988938774
t32623aep|F1142_BOVIN,0.121358977557644
t32633aep|MED16_XENTR,0.013565625213679
t32616aep|FBN1_BOVIN,-0.00829455619088197
t33656aep|CRYAB_BOVIN,0.0383623152999949
t33645aep|TLR1_DROME,0.222493248879723
t33652aep|DD3_DICDI,0
t33647aep|WHITE_LUCCU,-0.0400023792280684
t33641aep|AT5F1_BOVIN,-0.25451488321072
t33657aep|TM243_BOVIN,0.221083800721065
t33648aep|KPCD3_HUMAN,0.129665549080932
t33644aep|CC180_HUMAN,0.146737487156371
t33650aep|DUS22_HUMAN,-0.0279419649664265
t37963aep|NAPEP_BOVIN,0
t37951aep|MPU1_MOUSE,0.0877255153268558
t37954aep|DYH10_HUMAN,0
t37961aep|NRDC_MOUSE,-0.0564341690765377
t37948aep|RHG32_XENLA,0.215994790471756
t31825aep|F185A_MOUSE,-0.0770775946559218
t31829aep|MYO10_HUMAN,0.194910889461806
t31824aep|DNJC5_TETCF,0.264735998997625
t31819aep|CPSF1_BOVIN,0.0419224780779135
t31818aep|DYR_AEDAL,0.00429337437884354
t31817aep|AKR1_YARLI,0
t32428aep|UBP15_HUMAN,0
t32418aep|TSEAR_HUMAN,0.0193797279753852
t32411aep|CNGA2_BOVIN,0
t32420aep|RPE_HUMAN,-0.0913326693344656
t32421aep|PCS3_LOTJA,0.0101502787673636
t32425aep|ANXA7_MOUSE,0.339724010673115
t32422aep|UTP11_MOUSE,-0.0936408628171015
t32427aep|TBC20_MOUSE,0.0010528260386049
t32412aep|M3K19_HUMAN,0.165705787962946
t32423aep|CADA_STAAR,0.0838012988011139
t32416aep|COMD8_HUMAN,0.0328939792719069
t32413aep|NTPES_BACSU,1.63866541322226
t36940aep|ROP1L_XENLA,-0.0582443791536236
t36953aep|RBM26_HUMAN,0.177889292075001
t36948aep|RM54_HUMAN,0.0963689378738248
t36944aep|CFA74_MOUSE,0.193415726189928
t36946aep|ELOV5_XENTR,-0.0264861400213375
t36938aep|SYT15_HUMAN,0.303272672559719
t36947aep|MFSD6_MOUSE,0
t33893aep|MCPI_MELCP,0.685093691901343
t33901aep|KLC4_BOVIN,0
t33904aep|TFB1M_XENTR,0.039843944435147
t33900aep|SIP2_YEAST,0.673284257651926
t33907aep|BRAT1_MOUSE,-0.0496566099575955
t32091aep|5HT1D_TAKRU,0
t33627aep|VMP1_DANRE,0.0820974446996387
t33622aep|OTX1B_DANRE,0
t33620aep|SYT7_HUMAN,0.274184051847217
t33626aep|PFLD_ECOLI,0.0305372549043173
t36961aep|TRAF4_HUMAN,0.0590603143251338
t31714aep|KLC4_RAT,0.0193797279753852
t31713aep|TBA_NOTVI,0.0468547343488234
t31719aep|VATC_MANSE,-0.0162311223836124
t31717aep|AB17C_DANRE,0
t33194aep|UBP54_RAT,0.0230251928327084
t33193aep|RSBNL_HUMAN,-0.0515634133889853
t33185aep|RTJK_DROME,0
t33183aep|PNKP_HUMAN,0.285376695024108
t33195aep|RA54B_CHICK,-0.0553925951498666
t33189aep|IQCA1_HUMAN,0
t33188aep|ADCY9_HUMAN,0.102541406370551
t33191aep|ALRA_DICDI,-0.0370788765929011
t37636aep|FAT2_DROME,0.0193797279753852
t37632aep|LGR5_XENTR,0
t37624aep|VATF_HUMAN,-0.0128707681601608
t37623aep|RHES_HUMAN,0.103473801578268
t37622aep|NEK4_MOUSE,-0.0070995240293333
t37627aep|CD2B2_MOUSE,-0.0405744511318911
t37634aep|KELP_ARATH,-0.141937316060699
t37637aep|DYHC_HELCR,0.0101426629146156
t36963aep|PPID_HUMAN,0.235877879357909
t36579aep|YL728_MIMIV,0
t36574aep|OPN4B_XENLA,0
t36583aep|CSTF3_MOUSE,-0.0154783323629569
t36590aep|GLYM_HUMAN,0.0516718421938921
t36573aep|LTBP4_HUMAN,-0.0244619227953378
t36585aep|CALM_MACPY,-0.00303002937000421
t36580aep|S39AD_DANRE,0.54305011963855
t34754aep|FXC2B_XENLA,0.742002585531609
t34760aep|QORL1_MOUSE,0.00781955954849094
t34762aep|TYDP2_RAT,0.0571746117953685
t34765aep|ZBED4_HUMAN,0.0193797279753852
t34759aep|TDRD5_AILME,0.0850898536872747
