t32785aep|HEBP1_MOUSE,0.634189497289692
t36265aep|TXND_THEPA,0.135017982469621
t37220aep|HMCN2_HUMAN,0.23413966431462
t36467aep|CEAM5_HUMAN,0.0102945955412363
t36466aep|TF2H1_HUMAN,0.010360654248047
t38667aep|CAH5_CAEEL,0.0102945955412363
t38666aep|EPHA3_MOUSE,0.0102945955412363
t38653aep|TOR1A_MACFA,0.00285899957102009
t35898aep|NPHP3_XENLA,0.0135536470956756
t31918aep|RAD9A_MOUSE,0.0661603304422391
t35293aep|ROC1_SPIOL,0.0102945955412363
t35307aep|DTD2_MOUSE,0.00846480731277041
t35296aep|MORN2_BOVIN,0.00425099389938105
t37097aep|THA11_DANRE,0.0102945955412363
t37095aep|AGRG4_HUMAN,0.0218072242608913
t34987aep|FA47E_HUMAN,0.0181787006091488
t34989aep|MOG1_BOVIN,0.0204866313605174
t34996aep|RET_RAT,0.0206923472196482
t31908aep|RSLBA_HUMAN,0.603112620807818
t31912aep|HSP70_HYDVU,0.0823968715408592
t31899aep|AT1A_HYDVU,0.0192334727804841
t36373aep|RTXE_DROME,0.0205640666875556
t32725aep|TIM10_CAEBR,0.0277786229436423
t32709aep|MCFD2_PONAB,0.435637442123612
t34194aep|THNS2_MOUSE,0.0380687253293238
t34183aep|TLN1_HUMAN,0.0318443789745614
t34181aep|HARB1_DANRE,0.0102945955412363
t32769aep|KLC4_HUMAN,0.0205640666875556
t32762aep|RAD50_MOUSE,0.225408742825562
t33151aep|LAT3_MOUSE,0.0102945955412363
t32180aep|MYLK_SHEEP,0.00175351429195983
t32175aep|ATK4_ARATH,0.0102945955412363
t36935aep|KCNC1_HUMAN,0.0308086523136467
t36933aep|ATG2B_HUMAN,0.0177910030264078
t36923aep|ZGRF1_MOUSE,0.0140135673398345
t35835aep|IFT22_XENTR,0.168125737339913
t35014aep|HERC1_HUMAN,0.0324769762669057
t35011aep|HEMK1_HUMAN,0.00190223069318028
t32100aep|PRRT1_MOUSE,0.00107354104316954
t32103aep|CUL1_ARATH,0.0205640666875556
t32112aep|HACE1_HUMAN,0.00405442573316388
t32111aep|TAF9B_RAT,0.0524552250563068
t32321aep|DYH7_HUMAN,0.193426329732076
t32323aep|SYMC_XENLA,0.106341204633735
t36039aep|GRM3_HUMAN,0.0102945955412363
t35701aep|HOME2_HUMAN,0.019376647691025
t32136aep|ZDH11_MOUSE,1.20751165845938
t32140aep|RAD2B_ARATH,0.126718574182646
t32151aep|HE_PARLI,2.53071130180849
t32143aep|RN212_MOUSE,0.0102945955412363
t37177aep|MDC1_RAT,0.00757116700702685
t37192aep|FBXW2_MOUSE,0.0046609330262456
t38447aep|SAX_LITCT,0.0272815175368855
t38442aep|SMC1A_HUMAN,0.0161382381453478
t36565aep|TF29_SCHPO,0.0205640666875556
t36566aep|YRD6_CAEEL,0.0102945955412363
t33385aep|CDD_DICDI,0.0308086523136467
t36557aep|DHSO_BOVIN,0.124040260092198
t36738aep|ZSCA2_MOUSE,0.020798526351412
t36736aep|ARP8_SALSA,0.07195850576706
t36749aep|NEMP1_XENTR,0.000340336838921742
t38617aep|U2AFM_HUMAN,0.0890774240113789
t34475aep|LRIG2_HUMAN,0.454834733290889
t34464aep|RUSD4_HUMAN,0.112116679452579
t34477aep|HGH1_DROME,0.0042598032945745
t34671aep|GT2D2_MOUSE,0.00717106732814696
t34686aep|CPMD8_HUMAN,0.0102945955412363
t34670aep|VKORL_HUMAN,1.10159085485665
t37727aep|KLC4_HUMAN,0.0102945955412363
t37718aep|CFA45_HUMAN,1.08268413954573
t37731aep|S17A9_MOUSE,0.0512241069499468
t32504aep|RPN2_PONAB,0.296986474582269
t32502aep|MKS3_RAT,0.0102945955412363
t32514aep|NPHP1_CANLF,0.0197991335747024
t32508aep|CLK2_MOUSE,0.0990570793059543
t32517aep|IRF8_HUMAN,0.0541585768181173
t32496aep|CNR1A_TAKRU,0.0338232422056254
t32513aep|MRC2_HUMAN,0.478732246008215
t36975aep|DYH5_HUMAN,0.00597238666609139
t36989aep|GPX5_PIG,0.0243548797496279
t36977aep|ECT_ACRMI,0.0128121196407382
t36974aep|CNFNA_XENLA,0.0102945955412363
t36988aep|FAT4_HUMAN,0.0461360770002129
t36994aep|KINH_SYNRA,0.0102945955412363
t37004aep|MICA2_RAT,0.0628457522223646
t36996aep|MPIP1_HUMAN,0.172599832458701
t35158aep|LITH_RAT,0.00462274684710803
t35150aep|FEM1C_MOUSE,0.00213548627848019
t35148aep|MT21D_MOUSE,0.0223523370997374
t35154aep|DJC17_BOVIN,0.013604750247466
t33498aep|DDX51_DANRE,0.0147862154619793
t33506aep|GP126_MOUSE,0.0102945955412363
t33502aep|RET_RAT,0.0177911028660398
t38575aep|CC146_RAT,0.00495635412232727
t33783aep|GRM3_MOUSE,0.0102945955412363
t33777aep|IKBP1_HUMAN,0.0026092974427151
t31950aep|B3GN2_HUMAN,0.0408732926920457
t31929aep|CERS6_HUMAN,0.0247660780403596
t31930aep|GXN_ACRMI,0.00207109327904896
t32744aep|LMX1A_HUMAN,0.430171525603123
t32736aep|GRM7_MOUSE,0.0205640666875556
t33590aep|STS_HUMAN,0.0244897879236875
t33595aep|FLT3_HUMAN,0.0102945955412363
t33591aep|EXOS4_BOVIN,0.15703026068726
