t33418aep|ZBED8_BOVIN,0
t37645aep|CP4V2_MOUSE,0.0528689452012175
t31628aep|TSP1_BOVIN,0
t31619aep|ABCA2_HUMAN,0
t31633aep|PREA_SALTY,0
t31620aep|PTRB_MORLA,0
t31618aep|DTBP1_CHICK,-0.0195730859039571
t36047aep|FUCTA_DROME,0
t36970aep|EXOS6_DANRE,0.178502131041218
t34456aep|TAF3_CHICK,-0.200187316643036
t34453aep|RIFK_DROME,0.0571867030776419
t34451aep|RSGI5_CLOTH,0
t34446aep|VIAAT_XENLA,0
t34450aep|KCNH5_MOUSE,0
t36334aep|DOCK3_HUMAN,0.269949415012733
t36327aep|RAD21_SCHPO,0
t36332aep|COPG2_ORYSJ,0
t36340aep|AT1A_HYDVU,0
t36336aep|CEP76_PONAB,-0.00794586911103208
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,0.121274084253542
t36337aep|CRYAB_BOVIN,0.05032041586914
t35904aep|DDAC_ENTAG,0.153805395698036
t35900aep|RHCG_XENTR,-0.0478597055779931
t35903aep|S35E3_DANRE,-0.0774048150345203
t35908aep|CAF1A_CHICK,-0.0138884834357627
t32664aep|AQP9_HUMAN,0.613264828678424
t32662aep|SERB_BOVIN,-0.0603303316742256
t31832aep|P52K_HUMAN,0
t31833aep|BP10_PARLI,-0.00591739134153808
t31838aep|STXB1_RAT,0.113171374981333
t38104aep|B3GN4_HUMAN,-0.00970530905335521
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0
t38110aep|P2R3C_HUMAN,-0.00687550511903523
t38118aep|AGRIN_MOUSE,0.0494947950177165
t38103aep|PTSS1_DANRE,0.114438476325817
t38117aep|SAXO1_RAT,-0.0928120606555124
t33743aep|EXOC7_RAT,0.291556377894617
t33739aep|RPP14_MOUSE,0.191921003020002
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,-0.0767820612987187
t33735aep|DHB11_RAT,0.0211306159984779
t32686aep|MRP1_CHICK,0.354492635918424
t32685aep|RN146_XENTR,-0.0846075189112634
t32696aep|OTOF_DANRE,0.083030144224423
t32692aep|GPTC4_XENTR,-0.182617062027032
t32693aep|S27A4_HUMAN,-0.043079465147219
t32687aep|RAB23_HUMAN,0.343224085304982
t32691aep|PP14C_RAT,0.12184809617088
t32688aep|CPT2_MOUSE,0
t35871aep|NOD1_MOUSE,0
t35860aep|KIF3A_MACFA,0.172792711764858
t35866aep|MEL2A_DANRE,0.0016301420169574
t35863aep|SSPO_CHICK,0.122581029902072
t35872aep|NAPEP_BOVIN,0.318573450482743
t35870aep|STK10_CHICK,-0.0968851510310377
t35858aep|SCND3_HUMAN,0
t35861aep|ABCBA_HUMAN,0.014583541486829
t35862aep|MEGF6_HUMAN,-0.00970530905335521
t35855aep|MIPEP_PONAB,0.0320025602641246
t35857aep|PKD2_ORYLA,0.0528689452012175
t35354aep|KLC3_RAT,0
t35356aep|CASP8_RAT,0.035788928948085
t35353aep|B4GA1_DANRE,-0.0393285650323254
t33691aep|ABCB2_DICDI,0
t37371aep|IDI1_BOVIN,-0.0350797241865232
t37374aep|VWDE_HUMAN,0
t37381aep|RPAC2_BOVIN,0.12803873867984
t37368aep|PEX10_MOUSE,-0.111232690719174
t37380aep|CBL_MOUSE,-0.118221864861439
t37375aep|TC3A_CAEEL,0
t32307aep|NCAN_PANTR,0
t32309aep|TM203_HUMAN,0.11228768518942
t32310aep|LSM1_HUMAN,0.194579300801082
t32305aep|PPCT_MOUSE,-0.0329375275635326
t32304aep|SWT15_VITVI,-0.0558721972313354
t33480aep|MSRB_METBF,-0.361150469382358
t33470aep|PGBD3_HUMAN,0
t33473aep|THAP1_DANRE,0.0528689452012175
t33081aep|ZMYM5_BOVIN,0
t33080aep|KIF17_HUMAN,-0.00618010269694023
t33084aep|TXIP1_MOUSE,0
t33085aep|TXIP1_HUMAN,0
t38023aep|FUT3_PONPY,0
t38021aep|YD286_MOUSE,0.247398957221065
t36728aep|ARL5B_MOUSE,-0.148050622000377
t33589aep|THAP2_MOUSE,0
t32812aep|TCB2_CAEBR,0
t32818aep|SY65_DROME,0
t32809aep|TRPA1_HUMAN,0
t32819aep|T106C_HUMAN,0.374718310078864
t32810aep|NDUA5_BOVIN,0.0977656098641783
t35726aep|SO4C1_RAT,0.0252396090432103
t35724aep|SYF2_DANRE,-0.126311930795314
t35979aep|ECI1_RAT,-0.288062226039665
t35981aep|PRPF3_CHICK,0.192565382906133
t35991aep|FLNC_RAT,0.0413641752041336
t37010aep|NDUF4_PONAB,0.000128294458720197
t35994aep|MLRP2_ACRMI,0.892009243911928
t35982aep|NLTP_CHICK,0.0237094434833477
t35993aep|VATE_DROME,-0.264337181293801
t35988aep|CIA30_DROME,-0.0299105990869903
t35989aep|M2K3_ARATH,0
t35984aep|DYH6_HUMAN,-0.00844433258131474
t35985aep|DYH6_HUMAN,0
t31651aep|LRRK2_MOUSE,0
t31647aep|PPT1_HUMAN,0.785558087279366
t38649aep|ATXA_LEIDO,0
t38641aep|AL7A1_CAEEL,0
t38633aep|DRG1_XENLA,0.288511039704527
t38636aep|ALG3_HUMAN,-0.0871832338370899
t38647aep|RAP1_CAEEL,0
t38646aep|PARG_BOVIN,-0.0704096698248644
t37013aep|LAGE3_MOUSE,0.317295652472614
t38648aep|TM175_CHICK,0
t34435aep|IMPTB_XENTR,-0.0308172864471359
t34431aep|RSPH1_HUMAN,0.659351449151937
t34434aep|S12A8_XENLA,-0.026887464994864
t34436aep|XRN1_HUMAN,-0.0173975302163502
t34428aep|SPC25_RAT,0.156862485072353
t34430aep|RPAP1_BOVIN,-0.0427862454097765
t34429aep|PP4C_XENTR,-0.0151047925015584
t34427aep|ML12B_BOVIN,-0.0196688213286267
t31846aep|CEP70_RAT,-0.0505530225835129
t31844aep|TLL1_DANRE,0.0528689452012175
t31842aep|TERA_XENLA,-0.234591345491475
t31849aep|TYPH_RAT,0.031254739425642
t31847aep|RS2_ICTPU,-0.166659691213494
t31848aep|SPCS3_CHICK,-0.274266710274264
t34798aep|APH1_DROME,0.041618121135282
t34802aep|PISD_CRIGR,-0.0202939472149311
t34796aep|PCMD2_BOVIN,-0.044811583270062
t34792aep|PTH2_BOVIN,-0.0764837472517087
t34790aep|TWF1_HUMAN,0.249675299717323
t32481aep|GUAA_RAT,-0.0911261269983879
t32473aep|RB18B_DANRE,-0.0218434630834003
t32475aep|WHITE_DROME,-0.00544237782429253
t32469aep|CO6A4_MOUSE,0.0528689452012175
t32470aep|LYRM2_MOUSE,0.215563160512061
t31220aep|P52K_HUMAN,0
t31227aep|SYCP2_RAT,0
t31225aep|RT35_BOVIN,-0.119430958506927
t31230aep|UNC89_CAEEL,0
t31231aep|UNC89_CAEEL,0
t36653aep|DOHH_RAT,0.104102382223465
t36650aep|ANKK1_MOUSE,0.0100293790132369
t36663aep|AA2AR_CANLF,0
t37814aep|CC105_BOVIN,0.142060995374397
t37817aep|RS6_BRAFL,0.325599899128824
t37818aep|EF1A_HYDVU,0.0778822981168665
t37816aep|LRP2_RAT,-0.0933785730722588
t32256aep|P5CR1_BOVIN,-0.0382385660673356
t32265aep|SYD1_CAEEL,-0.013600204656404
t32253aep|YPEL5_PONAB,-0.00651316200223629
t32261aep|GAPR1_HUMAN,0
t32266aep|GGT1_PIG,-0.0209417793036574
t32269aep|FSTL1_BOVIN,0.927461197501176
t32255aep|CHSS1_MOUSE,0.073655623907568
t32258aep|SHPK_MOUSE,-0.0425573149191428
t32263aep|IF172_DANRE,-0.0336805314383479
t32267aep|CG050_MOUSE,0.165303300264639
t35087aep|CJ076_XENLA,-0.0427581113968315
t35085aep|RS30_ORYLA,-0.0621571775478479
t35082aep|WASH7_HUMAN,0.0116300917192565
t35075aep|COMD6_MOUSE,0.256377234470996
t35079aep|RB39B_MOUSE,0.115031697396675
t35552aep|DTL_CHICK,-0.0664347987473534
t35556aep|M4K2_HUMAN,0.118264613671276
t35545aep|KLC4_MOUSE,0.0528689452012175
t35549aep|PDRG1_RAT,0.134120727963957
t35558aep|ARP10_HUMAN,-0.0744933154433157
t36397aep|ARMC7_MOUSE,0.166000535012903
t36395aep|NAS15_CAEEL,0
t36392aep|UTP15_HUMAN,-0.251405840544487
t36388aep|YR826_MIMIV,0
t36391aep|HETE1_PODAS,0
t36387aep|NPHP3_HUMAN,0.0528689452012175
t35409aep|BTBD7_HUMAN,0
t35401aep|LIN52_DANRE,-0.0998936448885229
t35403aep|MYPN_MOUSE,0
t35411aep|EDC3_PONAB,-0.176275407440582
t35406aep|WDY_ANOGA,0
t35408aep|NK2R_RAT,0.0528689452012175
t33712aep|HACD_CAEEL,0
t33710aep|SEC_ARATH,0
t33694aep|KLC4_MOUSE,0
t33696aep|CNRP1_BOVIN,0
t33709aep|TC3A_CAEEL,0
t33695aep|GID8_NEMVE,-0.00782151711418695
t35845aep|TIM9_MOUSE,-0.00852150742585429
t35851aep|OPSD1_MIZYE,0.17036028676737
t35853aep|TM175_MOUSE,0
t35848aep|MS3L1_PONAB,0.149912110328426
t35846aep|SDHF3_NEMVE,0.0125752573120708
t35850aep|CYTA_MOUSE,0
t35847aep|PHF3_HUMAN,-0.0227333812529503
t35212aep|EFCB2_MOUSE,0
t35208aep|TTC28_MOUSE,0
t35207aep|CP17A_ICTPU,0
t35215aep|MTA1_HUMAN,-0.227129761447392
t35204aep|RET_RAT,0
t35214aep|ZMYM1_HUMAN,0
t35217aep|CEBPB_CHICK,-0.0992341121635545
t37320aep|CO6A6_HUMAN,0.163209678345004
t37316aep|ASPM_SHEEP,0.0040421824317714
t37317aep|ASPM_SAIBB,-0.029552161194806
t37318aep|MYOG_DICDI,0
t37319aep|ASPM_MACMU,0
t37312aep|UBC12_SCHPO,-0.160306258197294
t36969aep|CISD3_HUMAN,-0.0933337285624999
t32622aep|MK14_CANLF,-0.0364454368128431
t32614aep|XRRA1_MOUSE,0
t32620aep|HMCN1_HUMAN,0
t32615aep|UNK_HUMAN,0
t32623aep|F1142_BOVIN,0.00496766966426318
t32633aep|MED16_XENTR,-0.0441333673970697
t32616aep|FBN1_BOVIN,0.0764280980571972
t33656aep|CRYAB_BOVIN,-0.011432108844504
t33645aep|TLR1_DROME,0.139422363382607
t33652aep|DD3_DICDI,0
t33647aep|WHITE_LUCCU,-0.0593821072034537
t33641aep|AT5F1_BOVIN,0.268207742886857
t33657aep|TM243_BOVIN,0.285044478100503
t33648aep|KPCD3_HUMAN,-0.124470484865949
t33644aep|CC180_HUMAN,-0.0238294013991257
t33650aep|DUS22_HUMAN,-0.0616339603310396
t37963aep|NAPEP_BOVIN,0
t37951aep|MPU1_MOUSE,0.142100919703437
t37954aep|DYH10_HUMAN,0
t37961aep|NRDC_MOUSE,-0.0477830723148398
t37948aep|RHG32_XENLA,0.144544854366457
t31825aep|F185A_MOUSE,-0.13477658726667
t31829aep|MYO10_HUMAN,0.11672129623512
t31824aep|DNJC5_TETCF,0.0534036168636758
t31819aep|CPSF1_BOVIN,-0.0378678973296235
t31818aep|DYR_AEDAL,0.10003198306751
t31817aep|AKR1_YARLI,0
t32428aep|UBP15_HUMAN,0
t32418aep|TSEAR_HUMAN,0
t32411aep|CNGA2_BOVIN,0
t32420aep|RPE_HUMAN,-0.0913326693344656
t32421aep|PCS3_LOTJA,-0.0475209651741472
t32425aep|ANXA7_MOUSE,-0.00882843338265521
t32422aep|UTP11_MOUSE,0.0341984448422546
t32427aep|TBC20_MOUSE,0.0531984272168926
t32412aep|M3K19_HUMAN,-0.0755202431105894
t32423aep|CADA_STAAR,0.0261300548596032
t32416aep|COMD8_HUMAN,0.0356333947324321
t32413aep|NTPES_BACSU,0.0850900499941886
t36940aep|ROP1L_XENLA,-0.0582443791536236
t36953aep|RBM26_HUMAN,0.376886831915333
t36948aep|RM54_HUMAN,0.0803484495549236
t36944aep|CFA74_MOUSE,0.317914628066885
t36946aep|ELOV5_XENTR,-0.0458658679967226
t36938aep|SYT15_HUMAN,-0.00373230658837899
t36947aep|MFSD6_MOUSE,0
t33893aep|MCPI_MELCP,0.339095596106351
t33901aep|KLC4_BOVIN,0
t33904aep|TFB1M_XENTR,-0.00711965357889964
t33900aep|SIP2_YEAST,1.6729409294125
t33907aep|BRAT1_MOUSE,-0.156045883009813
t32091aep|5HT1D_TAKRU,0
t33627aep|VMP1_DANRE,-0.0813275345613399
t33622aep|OTX1B_DANRE,0
t33620aep|SYT7_HUMAN,0.00279226145470361
t33626aep|PFLD_ECOLI,-0.0271617377064313
t36961aep|TRAF4_HUMAN,0.164299227030859
t31714aep|KLC4_RAT,0
t31713aep|TBA_NOTVI,0.190040945778334
t31719aep|VATC_MANSE,0.105765887332515
t31717aep|AB17C_DANRE,0
t33194aep|UBP54_RAT,-0.0007504210556087
t33193aep|RSBNL_HUMAN,-0.0941457536495343
t33185aep|RTJK_DROME,0
t33183aep|PNKP_HUMAN,0.472576626063589
t33195aep|RA54B_CHICK,-0.0279347720159367
t33189aep|IQCA1_HUMAN,0
t33188aep|ADCY9_HUMAN,-0.00937375291368526
t33191aep|ALRA_DICDI,0.0781148138688086
t37636aep|FAT2_DROME,0.0528689452012175
t37632aep|LGR5_XENTR,0
t37624aep|VATF_HUMAN,0.424073700718136
t37623aep|RHES_HUMAN,0.0129005215017067
t37622aep|NEK4_MOUSE,-0.0528639988824856
t37627aep|CD2B2_MOUSE,0.107156920321692
t37634aep|KELP_ARATH,-0.0601680513712132
t37637aep|DYHC_HELCR,0.0436318801404477
t36963aep|PPID_HUMAN,0.0798242785457192
t36579aep|YL728_MIMIV,0
t36574aep|OPN4B_XENLA,0
t36583aep|CSTF3_MOUSE,-0.0147814110957406
t36590aep|GLYM_HUMAN,-0.131837355327375
t36573aep|LTBP4_HUMAN,0.0284070224058794
t36585aep|CALM_MACPY,0.10107235285346
t36580aep|S39AD_DANRE,0.340330670831607
t34754aep|FXC2B_XENLA,0.518300250471921
t34760aep|QORL1_MOUSE,-0.0574225658092413
t34762aep|TYDP2_RAT,0.0286176734100786
t34765aep|ZBED4_HUMAN,0
t34759aep|TDRD5_AILME,0.0996657345392822
t34764aep|RSU1_BOVIN,0.359135094716764
t34577aep|ARSB_RAT,-0.0296868386515549
t34564aep|YMH6_CAEEL,0.171305892521705
t34581aep|PELI1_MOUSE,0.0369442684749832
t38671aep|SETD7_HUMAN,0.104193875259127
t38685aep|TBP_XENTR,-0.278432820673354
t38683aep|H10A_XENLA,-0.0477119448142661
t38674aep|S7A14_HUMAN,-0.00462495124398311
t38670aep|RADI_BOVIN,0.105187899958679
t38686aep|PIF1_PSYWF,0
t38672aep|SHL2_ORYSJ,0
t38673aep|RDR2_ORYSJ,0
t38687aep|PTPRD_MOUSE,0
t38680aep|PGAP3_XENTR,-0.0195786721102332
t36972aep|FUCM_HUMAN,0.00658029675443432
t32838aep|RASLC_DANRE,0.414964782483374
t32855aep|ZN205_BOVIN,0.0718627595751963
t32845aep|KTI12_DANRE,0.00965959680179912
t32852aep|NPC2_DROME,0.00139546667952794
t32851aep|STX18_HUMAN,-0.200398863297095
t32840aep|CNOT2_HUMAN,0.0979671299155745
t36490aep|CCD81_HUMAN,0.0517922026271875
t36502aep|NPHP3_HUMAN,0.0838332123243708
t36483aep|TAF8_DANRE,-0.049556732525947
t36499aep|S22A5_HUMAN,-0.0325528253541985
t36496aep|TNAP3_MACFA,0.0129670260594508
t36491aep|VP37B_HUMAN,0.231423286598068
t36495aep|TTC17_HUMAN,0
t36488aep|TIGD2_MOUSE,0
t36486aep|SCN1_HETBL,0.0496264109463483
t38463aep|RS17_BOVIN,0.206993137805742
t38464aep|AB1G_ARATH,0
t38465aep|SGT2_SCHPO,0
t34603aep|RWDD1_RAT,0.17451203697542
t34595aep|NDK_CHICK,0.299336118429774
t34609aep|SAL_SILAS,0
t34599aep|YTX2_XENLA,0.0390087807500797
t34608aep|CATL_SARPE,0
t34605aep|CRFR2_XENLA,-0.0342426587076595
t34604aep|RA51D_ARATH,-0.0261155544167622
t34600aep|KPSH1_BOVIN,-0.000615761132721683
t38354aep|TC1A_CAEEL,0
t38360aep|PIGL_RAT,-0.055767654779515
t38363aep|DNAL4_PIG,0.251953562050265
t38358aep|PLK4_NEMVE,-0.00429434254235302
t38365aep|TMOD2_RAT,1.57727113388379
t38366aep|DDRGK_TRIAD,0.309026837970594
t32782aep|ARGLA_DANRE,-0.0883029454243011
t37025aep|THG1_HUMAN,0.0199498722521957
t32780aep|TBRG1_XENTR,0.0378843705578928
t32786aep|SETD4_HUMAN,-0.0550711161734596
t32789aep|OAR1_LYMST,0
t32785aep|HEBP1_MOUSE,3.11398037145212
t36266aep|MRC1_HUMAN,0
t36257aep|EDIL3_MOUSE,-0.0115047699970839
t36261aep|CTU2A_XENLA,0.0891176505652923
t36265aep|TXND_THEPA,-0.0166385063043003
t36259aep|KLC4_HUMAN,0
t36270aep|Y1101_SYNY3,-0.28351697931989
t36256aep|RTBS_DROME,0.0528689452012175
t37211aep|RYK_MOUSE,-0.0693262395579727
t37210aep|DPOD3_BOVIN,-0.0358208211528536
t37220aep|HMCN2_HUMAN,0.0528689452012175
t37217aep|BAZ1A_HUMAN,0.469376987013525
t37214aep|ITA9_MOUSE,-0.0443327118993972
t37218aep|EF1G2_ARATH,0
t36465aep|PA1B3_RAT,-0.0910628456086459
t36467aep|CEAM5_HUMAN,0
t36474aep|RT06_BOVIN,0.0188328558859535
t36462aep|PAPOG_MOUSE,-0.100897699323342
t36469aep|DNLI1_XENLA,0.179491359975343
t36466aep|TF2H1_HUMAN,-0.0862157223237099
t38654aep|BBS4_HUMAN,-0.00317612758456459
t38667aep|CAH5_CAEEL,0
t38666aep|EPHA3_MOUSE,0
t38653aep|TOR1A_MACFA,1.37328419706925
t38657aep|CCD94_MOUSE,0.12307805459865
t38655aep|RRP44_HUMAN,0.12026135169701
t38658aep|PKHG5_MOUSE,0.308772556778626
t35895aep|DAPLE_XENLA,0.110965841390657
t35885aep|PPR42_XENLA,-0.0393386697019445
t35887aep|LIN1_NYCCO,0
t37029aep|USH2A_HUMAN,0
t35890aep|PKD1_MOUSE,-0.0257207057807522
t35898aep|NPHP3_XENLA,0.417659671944849
t38455aep|PDE11_DROME,-0.067775561986866
t38456aep|ELMD2_BOVIN,0.104247321763628
t38452aep|POL_MLVCB,0
t38450aep|KCY_DANRE,-0.113279825746761
t38457aep|RTEL1_DANRE,0
t38458aep|PEBB_HUMAN,-0.0444967228509175
t31916aep|ZCRB1_XENLA,-0.0748703733464015
