t37645aep|CP4V2_MOUSE,0.162788557377768
t31618aep|DTBP1_CHICK,0.0818590979532784
t36970aep|EXOS6_DANRE,0.0941327541197887
t36329aep|FGOP2_CHICK,0.163377862895886
t36337aep|CRYAB_BOVIN,0.056563411003087
t35904aep|DDAC_ENTAG,0.065360272212897
t35908aep|CAF1A_CHICK,0.011563818631661
t32664aep|AQP9_HUMAN,0.568681075040766
t31832aep|P52K_HUMAN,0.0131475886455012
t31838aep|STXB1_RAT,0.106766900533528
t38118aep|AGRIN_MOUSE,0.0749470970851401
t38117aep|SAXO1_RAT,0.00597823729971637
t33743aep|EXOC7_RAT,0.286134621153237
t33739aep|RPP14_MOUSE,0.00360061210047605
t33741aep|IFT20_DANRE,0.0273535127786365
t33735aep|DHB11_RAT,0.296529035651497
t32686aep|MRP1_CHICK,0.507075188454493
t32685aep|RN146_XENTR,0.138749922252029
t32696aep|OTOF_DANRE,0.0131475886455012
t32692aep|GPTC4_XENTR,0.0474193814107628
t32687aep|RAB23_HUMAN,0.354179692985917
t35871aep|NOD1_MOUSE,0.142594206614339
t35860aep|KIF3A_MACFA,0.122758205770091
t35872aep|NAPEP_BOVIN,0.336598056797088
t35870aep|STK10_CHICK,0.125588599516198
t35858aep|SCND3_HUMAN,0.0131475886455012
t35862aep|MEGF6_HUMAN,0.0296232559789703
t35356aep|CASP8_RAT,0.0100077939932615
t33691aep|ABCB2_DICDI,0.0131475886455012
t37371aep|IDI1_BOVIN,0.0161869046896147
t37381aep|RPAC2_BOVIN,0.168623035045818
t37368aep|PEX10_MOUSE,0.0545025968583763
t32309aep|TM203_HUMAN,0.15887050866567
t32310aep|LSM1_HUMAN,0.0497091050435543
t32305aep|PPCT_MOUSE,0.0529486817318001
t33470aep|PGBD3_HUMAN,0.0131475886455012
t38021aep|YD286_MOUSE,0.022291882865372
t32819aep|T106C_HUMAN,0.328279173069386
t32810aep|NDUA5_BOVIN,0.0317176972647914
t35726aep|SO4C1_RAT,0.08936042293981
t35979aep|ECI1_RAT,0.027100796129804
t35981aep|PRPF3_CHICK,0.110548393084305
t35994aep|MLRP2_ACRMI,1.08460095123807
t35982aep|NLTP_CHICK,0.155879910997294
t35988aep|CIA30_DROME,0.0094179659453352
t35984aep|DYH6_HUMAN,0.0178126259717358
t31651aep|LRRK2_MOUSE,0.0131475886455012
t31647aep|PPT1_HUMAN,1.24405770213348
t38633aep|DRG1_XENLA,0.157848902849202
