t34195aep|SAM9L_HUMAN,0.245062942588536
t34183aep|TLN1_HUMAN,0.116380711651106
t34191aep|SRSF7_BOVIN,0.248946251463555
t34192aep|FORF_DICDI,0.0311829053688921
t34186aep|BRPF1_HUMAN,0.116510559882906
t32757aep|INO80_MOUSE,0.341009351262417
t32773aep|TRI50_MOUSE,0.000405096955910054
t32775aep|CELR2_HUMAN,0.239434327693954
t33154aep|OXR1_MOUSE,0.147625283748743
t33152aep|ANKY1_HUMAN,0.069361305982513
t32175aep|ATK4_ARATH,0.069361305982513
t32160aep|MYD88_HUMAN,0.0620735604186377
t36928aep|CACB2_RABIT,1.98888686345047
t36923aep|ZGRF1_MOUSE,0.0562935057104682
t35832aep|SPTN1_HUMAN,0.536836364980536
t35835aep|IFT22_XENTR,0.587665028821382
t35000aep|S23IP_MOUSE,0.0900425121395336
t35014aep|HERC1_HUMAN,0.103963665436478
t35005aep|CHRD_XENLA,0.129962402639002
t34999aep|SRBP1_PIG,0.0313039902440285
t35006aep|CER1_HUMAN,0.135760439626491
t32102aep|KRI1_MOUSE,0.0822672239459551
t32111aep|TAF9B_RAT,0.0685798870736766
t32319aep|AAPK2_HUMAN,0.354777530011803
t32323aep|SYMC_XENLA,0.053315576675514
t36031aep|ANPRA_MOUSE,0.489677851761044
t35694aep|NLTP_MOUSE,0.0868942570660186
t35698aep|VPS36_XENLA,0.208416504607373
t35690aep|HMGX4_HUMAN,0.222452062030005
t32136aep|ZDH11_MOUSE,0.519006335081393
t32148aep|DPOA2_HUMAN,0.069361305982513
t32151aep|HE_PARLI,0.0561061299154402
t37191aep|DUR1_LACKL,0.069361305982513
t37182aep|HMCN1_HUMAN,0.069361305982513
t37178aep|MSH3_MOUSE,0.069361305982513
t38445aep|ATRX_PONPY,0.00972177026927586
t36571aep|FL2D_DANRE,0.0884548259496692
t36564aep|D19L3_HUMAN,0.00581456067722848
t36744aep|ZER1_HUMAN,0.000903619948057345
t36741aep|DYHC1_MOUSE,0.0402313798982316
t38623aep|EGL15_CAEEL,0.069361305982513
t38617aep|U2AFM_HUMAN,0.0688767720830052
t34465aep|NPHP4_MOUSE,0.0531216342595921
t34671aep|GT2D2_MOUSE,0.0662377777694235
t34670aep|VKORL_HUMAN,0.144905879938888
t37718aep|CFA45_HUMAN,0.00700578509275171
t37723aep|INTU_BOVIN,0.100365062882813
t32514aep|NPHP1_CANLF,0.20761238430142
t32508aep|CLK2_MOUSE,0.489779295017941
t32519aep|PTR36_ARATH,1.12183527579416
t32494aep|RBM45_MOUSE,0.418864814068866
t32513aep|MRC2_HUMAN,0.069361305982513
t36988aep|FAT4_HUMAN,0.12050107831105
t36994aep|KINH_SYNRA,0.069361305982513
t37004aep|MICA2_RAT,0.111868524798092
t37006aep|SVIL_MOUSE,0.336690999096092
t35158aep|LITH_RAT,0.0269885192878187
t35160aep|ZN862_HUMAN,0.0411619511115817
t35146aep|ABR_BOVIN,0.0201719203064578
t35154aep|DJC17_BOVIN,0.0135048556033617
t37975aep|ZNHI1_HUMAN,0.0538042599193217
t33502aep|RET_RAT,0.0461238206758934
t33518aep|INT7_CHICK,0.00416736572905396
t38573aep|CL004_RAT,0.0171246999066066
t38571aep|VLDLR_HUMAN,0.75924152220748
t38575aep|CC146_RAT,0.28347908492883
t38564aep|DEN2C_HUMAN,0.0790576044563412
t31280aep|ANKL1_HUMAN,0.020077640305792
t31269aep|DALD3_RAT,0.0183890902717787
t33783aep|GRM3_MOUSE,1.31336550497865
