t37645aep|CP4V2_MOUSE,0.0319350348108027
t34456aep|TAF3_CHICK,0.325172181556881
t34453aep|RIFK_DROME,0.125421216023382
t36329aep|FGOP2_CHICK,0.0694167701422876
t36337aep|CRYAB_BOVIN,0.026863043927149
t35904aep|DDAC_ENTAG,0.124866121150532
t35903aep|S35E3_DANRE,0.106106504026237
t32664aep|AQP9_HUMAN,0.023490702229488
t31838aep|STXB1_RAT,0.174784771166329
t38104aep|B3GN4_HUMAN,0.0222297257574477
t38110aep|P2R3C_HUMAN,0.0736146145607429
t38103aep|PTSS1_DANRE,0.111387341448704
t38117aep|SAXO1_RAT,0.506436087235372
t32686aep|MRP1_CHICK,0.118520481595819
t32692aep|GPTC4_XENTR,0.0109974375169831
t32693aep|S27A4_HUMAN,0.0954954231847387
t35871aep|NOD1_MOUSE,0.0319350348108027
t35860aep|KIF3A_MACFA,0.0946830784939341
t35861aep|ABCBA_HUMAN,0.0529927434480975
t37371aep|IDI1_BOVIN,0.0669929817822952
t37381aep|RPAC2_BOVIN,0.00259638520508984
t37368aep|PEX10_MOUSE,0.0497314930828973
t37380aep|CBL_MOUSE,0.166103408993566
t32307aep|NCAN_PANTR,0.201746072801591
t32309aep|TM203_HUMAN,0.00580658902562022
t32310aep|LSM1_HUMAN,0.0429147050579696
t32304aep|SWT15_VITVI,0.00351422926404935
t33080aep|KIF17_HUMAN,0.00796270273912793
t33085aep|TXIP1_HUMAN,0.0319350348108027
t36728aep|ARL5B_MOUSE,0.0624904344250677
t32809aep|TRPA1_HUMAN,0.0319350348108027
t32810aep|NDUA5_BOVIN,0.371300727802739
t35724aep|SYF2_DANRE,0.756400248101315
t35979aep|ECI1_RAT,0.161746795864684
t35981aep|PRPF3_CHICK,0.0572710350485564
t35991aep|FLNC_RAT,0.0828459177740376
t35982aep|NLTP_CHICK,0.098089633974734
t35993aep|VATE_DROME,0.130291470978772
t35988aep|CIA30_DROME,0.0644400886841314
t38649aep|ATXA_LEIDO,0.0319350348108027
t38633aep|DRG1_XENLA,0.207136219606984
t37013aep|LAGE3_MOUSE,0.242346083695486
t34435aep|IMPTB_XENTR,0.0325620166517151
t34434aep|S12A8_XENLA,0.00504756981593888
t34436aep|XRN1_HUMAN,0.0996214435943878
t34428aep|SPC25_RAT,0.205237581538657
t34429aep|PP4C_XENTR,0.63786331525027
t34427aep|ML12B_BOVIN,0.0218129212412775
t31842aep|TERA_XENLA,0.178792964252968
t31847aep|RS2_ICTPU,0.514532369701491
t31848aep|SPCS3_CHICK,0.0829139923652126
t34798aep|APH1_DROME,0.000895042010668605
t34802aep|PISD_CRIGR,0.091961424481671
t34796aep|PCMD2_BOVIN,0.0495391045010595
t34792aep|PTH2_BOVIN,0.0429842027162791
t32481aep|GUAA_RAT,0.201827002763745
t32473aep|RB18B_DANRE,0.0100915717274023
t32470aep|LYRM2_MOUSE,0.0996290658675972
t36663aep|AA2AR_CANLF,0.0319350348108027
t37817aep|RS6_BRAFL,0.289667724913364
t37818aep|EF1A_HYDVU,0.239416137959568
t37816aep|LRP2_RAT,0.000972114698862968
t32256aep|P5CR1_BOVIN,0.0251407370315155
t32265aep|SYD1_CAEEL,0.981050091800697
t32253aep|YPEL5_PONAB,0.0528732644931484
t32269aep|FSTL1_BOVIN,0.11308180626331
t32255aep|CHSS1_MOUSE,0.0329325447829545
t32263aep|IF172_DANRE,0.121261119731688
t32267aep|CG050_MOUSE,0.269533030119684
t35085aep|RS30_ORYLA,0.00122212555100311
t35075aep|COMD6_MOUSE,0.396179173201406
t35079aep|RB39B_MOUSE,0.163576080232073
t35552aep|DTL_CHICK,0.0885068524226824
t35556aep|M4K2_HUMAN,0.0662992019321954
t35549aep|PDRG1_RAT,0.004319159489104
t36397aep|ARMC7_MOUSE,0.0890435689379544
t36392aep|UTP15_HUMAN,0.110210658784835
t35401aep|LIN52_DANRE,0.1427836256669
t33696aep|CNRP1_BOVIN,0.0319350348108027
t33695aep|GID8_NEMVE,0.113387932105207
t35845aep|TIM9_MOUSE,0.15605690603442
t35846aep|SDHF3_NEMVE,0.00282356285972815
t35850aep|CYTA_MOUSE,0.142511584184733
t35215aep|MTA1_HUMAN,0.367082820823905
t35214aep|ZMYM1_HUMAN,0.0319350348108027
t37316aep|ASPM_SHEEP,0.135765739133796
t37317aep|ASPM_SAIBB,0.0338271419040452
t37312aep|UBC12_SCHPO,0.0295020671569108
t36969aep|CISD3_HUMAN,0.338201377783164
t32622aep|MK14_CANLF,0.0579052509582784
t32615aep|UNK_HUMAN,0.27585584610568
t32623aep|F1142_BOVIN,0.126177649611596
t32633aep|MED16_XENTR,0.050217320374052
t32616aep|FBN1_BOVIN,0.0357050189325838
t33656aep|CRYAB_BOVIN,0.0205029259662987
t33647aep|WHITE_LUCCU,0.0831294769812795
t33641aep|AT5F1_BOVIN,0.347813391026174
t33648aep|KPCD3_HUMAN,0.0937985637240347
