t37645aep|CP4V2_MOUSE,0.00591739134153811
t31619aep|ABCA2_HUMAN,0.0332233692538339
t31618aep|DTBP1_CHICK,0.0770202862205235
t36047aep|FUCTA_DROME,0.0118484774838709
t36970aep|EXOS6_DANRE,0.00890883268824778
t34451aep|RSGI5_CLOTH,0.00591739134153811
t34446aep|VIAAT_XENLA,0.109633361880472
t34450aep|KCNH5_MOUSE,0.00591739134153811
t36334aep|DOCK3_HUMAN,0.059378250752143
t36327aep|RAD21_SCHPO,0.00591739134153811
t36340aep|AT1A_HYDVU,0.00591739134153811
t36329aep|FGOP2_CHICK,0.0575255123834833
t36337aep|CRYAB_BOVIN,0.164638771216639
t35904aep|DDAC_ENTAG,0.00591739134153811
t35900aep|RHCG_XENTR,0.743967765584714
t35908aep|CAF1A_CHICK,0.010662966707346
t32664aep|AQP9_HUMAN,0.00934890115989244
t32662aep|SERB_BOVIN,0.0149602999176673
t38104aep|B3GN4_HUMAN,0.527819769512008
t38103aep|PTSS1_DANRE,0.111304500610585
t38117aep|SAXO1_RAT,0.0204243514199072
t33743aep|EXOC7_RAT,0.0393127577792503
t33739aep|RPP14_MOUSE,0.067584369603986
t33741aep|IFT20_DANRE,0.032851300581754
t33735aep|DHB11_RAT,0.212887867402796
t32685aep|RN146_XENTR,0.0493796764480904
t32692aep|GPTC4_XENTR,0.145049330989853
t32693aep|S27A4_HUMAN,0.0748889482052024
t32687aep|RAB23_HUMAN,0.0410528158267651
t32691aep|PP14C_RAT,0.052123209832109
t32688aep|CPT2_MOUSE,0.241292717533105
t35871aep|NOD1_MOUSE,0.00591739134153811
t35860aep|KIF3A_MACFA,0.0359768311836867
t35866aep|MEL2A_DANRE,0.0318890947697358
t35872aep|NAPEP_BOVIN,0.0453182302087908
t35870aep|STK10_CHICK,0.0592831231664077
t35861aep|ABCBA_HUMAN,0.0314018474957738
t35862aep|MEGF6_HUMAN,0.00808792468785182
t35857aep|PKD2_ORYLA,0.00591739134153811
t35356aep|CASP8_RAT,0.0229128752417373
t35353aep|B4GA1_DANRE,0.0144188695161221
t37371aep|IDI1_BOVIN,0.0144921917277733
t37381aep|RPAC2_BOVIN,0.0374802150582189
t37380aep|CBL_MOUSE,0.163003561341279
t32305aep|PPCT_MOUSE,0.0511429817957328
t33480aep|MSRB_METBF,0.0161333565189859
t33080aep|KIF17_HUMAN,0.00288726144292813
t33085aep|TXIP1_HUMAN,0.00591739134153811
t38023aep|FUT3_PONPY,0.0297236567890673
t38021aep|YD286_MOUSE,0.00118527778875878
t36728aep|ARL5B_MOUSE,0.0855311232815501
t32818aep|SY65_DROME,0.0297236567890673
t32819aep|T106C_HUMAN,0.0876014070017239
t32810aep|NDUA5_BOVIN,0.227724995147099
t35726aep|SO4C1_RAT,0.180609342436038
t35724aep|SYF2_DANRE,0.0416697684074616
t35979aep|ECI1_RAT,0.0554047205112936
t35991aep|FLNC_RAT,0.336952171720447
t35982aep|NLTP_CHICK,0.0971352042639377
