t37645aep|CP4V2_MOUSE,0.0725377665298442
t31628aep|TSP1_BOVIN,0.0364454368128431
t31619aep|ABCA2_HUMAN,0.0364454368128431
t34456aep|TAF3_CHICK,0.109065472047716
t34453aep|RIFK_DROME,0.0613733306694431
t36327aep|RAD21_SCHPO,0.108289009815265
t36336aep|CEP76_PONAB,0.0117229522175946
t35904aep|DDAC_ENTAG,0.233822796083775
t35908aep|CAF1A_CHICK,0.0622911979613153
t32664aep|AQP9_HUMAN,0.667751652891931
t32662aep|SERB_BOVIN,0.0158493497228524
t38104aep|B3GN4_HUMAN,0.026740127759488
t38118aep|AGRIN_MOUSE,0.033071286629342
t38117aep|SAXO1_RAT,0.0154769491597533
t32686aep|MRP1_CHICK,0.184018956295421
t32685aep|RN146_XENTR,0.031184837396299
t32692aep|GPTC4_XENTR,0.0458627877892539
t32693aep|S27A4_HUMAN,0.135130119909173
t32687aep|RAB23_HUMAN,0.210755294740983
t32691aep|PP14C_RAT,0.040580467002688
t35871aep|NOD1_MOUSE,0.0364454368128431
t35860aep|KIF3A_MACFA,0.377367856610983
t35872aep|NAPEP_BOVIN,0.213300650460168
t35870aep|STK10_CHICK,0.00380680610470423
t35862aep|MEGF6_HUMAN,0.0628324574764889
t35356aep|CASP8_RAT,0.039975556539886
t32309aep|TM203_HUMAN,0.0421085337603424
t32305aep|PPCT_MOUSE,0.0396002389663115
t32304aep|SWT15_VITVI,0.0203074841657427
t33480aep|MSRB_METBF,0.0138156016702014
t33084aep|TXIP1_MOUSE,0.0725377665298442
t33085aep|TXIP1_HUMAN,0.108289009815265
t32809aep|TRPA1_HUMAN,0.0364454368128431
t32819aep|T106C_HUMAN,0.0973182987489038
t35726aep|SO4C1_RAT,0.0449084303718369
t35979aep|ECI1_RAT,0.028177542496868
t35981aep|PRPF3_CHICK,0.0744667875520155
t35991aep|FLNC_RAT,0.0249406668157591
t37010aep|NDUF4_PONAB,0.16580591729244
t35994aep|MLRP2_ACRMI,1.90482606133182
t35988aep|CIA30_DROME,0.0426271674428539
t35984aep|DYH6_HUMAN,0.0640934339485293
t31647aep|PPT1_HUMAN,0.367821271713184
t37013aep|LAGE3_MOUSE,0.0775481698156069
t34435aep|IMPTB_XENTR,0.041720480082708
t34431aep|RSPH1_HUMAN,0.379273163664813
t34434aep|S12A8_XENLA,0.00955797181797923
t34428aep|SPC25_RAT,0.0817105165193308
t31847aep|RS2_ICTPU,0.139140557768336
t31848aep|SPCS3_CHICK,0.0738065080378827
t34798aep|APH1_DROME,0.0100535054416617
t32473aep|RB18B_DANRE,0.0146019737294428
t31220aep|P52K_HUMAN,0.0364454368128431
t31227aep|SYCP2_RAT,0.129048626598295
t36653aep|DOHH_RAT,0.0725377665298442
t36650aep|ANKK1_MOUSE,0.0654494436272852
t37814aep|CC105_BOVIN,0.228001266935852
t32256aep|P5CR1_BOVIN,0.0342992004625084
t32253aep|YPEL5_PONAB,0.0489069026118121
t32266aep|GGT1_PIG,0.0552379020934205
t32269aep|FSTL1_BOVIN,0.747619135497749
t32255aep|CHSS1_MOUSE,0.00599867849694673
t32258aep|SHPK_MOUSE,0.191265481164633
t32263aep|IF172_DANRE,0.151066936483341
t35087aep|CJ076_XENLA,0.0126619532172166
t35082aep|WASH7_HUMAN,0.0718102240572038
t35075aep|COMD6_MOUSE,0.119473451293039
t35552aep|DTL_CHICK,0.00610296778249054
t36391aep|HETE1_PODAS,0.0364454368128431
t36387aep|NPHP3_HUMAN,0.0364454368128431
t35408aep|NK2R_RAT,0.0364454368128431
t33710aep|SEC_ARATH,0.0725377665298442
t35851aep|OPSD1_MIZYE,0.23625598633832
t35846aep|SDHF3_NEMVE,0.0521834973155855
t35847aep|PHF3_HUMAN,0.0382133151210706
t37320aep|CO6A6_HUMAN,0.0270234136550125
t37317aep|ASPM_SAIBB,0.00689327561803729
t36969aep|CISD3_HUMAN,0.129900964185107
t33645aep|TLR1_DROME,0.287808812478086
t33657aep|TM243_BOVIN,0.231162151711236
t33644aep|CC180_HUMAN,0.122505508045225
t37951aep|MPU1_MOUSE,0.116841383784742
t37961aep|NRDC_MOUSE,0.231405278111187
t37948aep|RHG32_XENLA,0.0229618051856792
t31829aep|MYO10_HUMAN,0.101551411970363
t31824aep|DNJC5_TETCF,0.148563607206268
t31818aep|DYR_AEDAL,0.0782896103951842
t32421aep|PCS3_LOTJA,0.136473283280816
t32425aep|ANXA7_MOUSE,0.377575103060124
t32416aep|COMD8_HUMAN,0.115650795118171
t32413aep|NTPES_BACSU,0.185556604201994
t36944aep|CFA74_MOUSE,0.0714965216799925
t33893aep|MCPI_MELCP,0.557481191960391
t33901aep|KLC4_BOVIN,0.0364454368128431
t33900aep|SIP2_YEAST,0.798511544074707
t33620aep|SYT7_HUMAN,0.0789719428517815
t36961aep|TRAF4_HUMAN,0.0244074855700768
t31713aep|TBA_NOTVI,0.127803570461372
t31719aep|VATC_MANSE,0.0315404737305408
t33183aep|PNKP_HUMAN,0.250179848303712
t33188aep|ADCY9_HUMAN,0.451844479286997
t33191aep|ALRA_DICDI,0.0178009790100307
t37636aep|FAT2_DROME,0.0725377665298442
t37624aep|VATF_HUMAN,0.167365831664702
t37637aep|DYHC_HELCR,0.0633007014690744
t36573aep|LTBP4_HUMAN,0.0119835140175052
t34754aep|FXC2B_XENLA,0.167793963778146
t34577aep|ARSB_RAT,0.00675859816128835
t38671aep|SETD7_HUMAN,0.0229262460909346
t38683aep|H10A_XENLA,2.38596879238144
t38674aep|S7A14_HUMAN,0.0318204855688601
t38670aep|RADI_BOVIN,0.191749842965963
t38686aep|PIF1_PSYWF,0.0364454368128431
t38687aep|PTPRD_MOUSE,0.0364454368128431
t38680aep|PGAP3_XENTR,9.01492183935975e-05
t32838aep|RASLC_DANRE,0.445182643360558
t32855aep|ZN205_BOVIN,0.0333646175509349
t32852aep|NPC2_DROME,0.0568155312935761
t36490aep|CCD81_HUMAN,0.0202275869335672
t36502aep|NPHP3_HUMAN,0.0161762669137494
t38463aep|RS17_BOVIN,0.11391139006183
t38465aep|SGT2_SCHPO,0.0364454368128431
t34595aep|NDK_CHICK,0.210587527681006
t34599aep|YTX2_XENLA,0.0586776020787065
t34600aep|KPSH1_BOVIN,0.0755639202643564
t38363aep|DNAL4_PIG,0.400358738287524
t38358aep|PLK4_NEMVE,0.107119226817842
t38365aep|TMOD2_RAT,1.44452958055949
t38366aep|DDRGK_TRIAD,0.324474805194018
t32782aep|ARGLA_DANRE,0.1626361948313
t32780aep|TBRG1_XENTR,9.36132046476273e-05
t32785aep|HEBP1_MOUSE,3.46579934801621
t37211aep|RYK_MOUSE,0.00321152697187121
t37210aep|DPOD3_BOVIN,0.178292273085075
t37217aep|BAZ1A_HUMAN,0.267838069587946
t38654aep|BBS4_HUMAN,0.0876655494411972
t38667aep|CAH5_CAEEL,0.0364454368128431
t38653aep|TOR1A_MACFA,1.66982913142144
t38658aep|PKHG5_MOUSE,0.0372972404156893
t35895aep|DAPLE_XENLA,0.0696258243070903
t35885aep|PPR42_XENLA,0.0116044561420932
t37029aep|USH2A_HUMAN,0.0725377665298442
t35890aep|PKD1_MOUSE,0.0825683040345134
t35898aep|NPHP3_XENLA,0.261138616220815
t38458aep|PEBB_HUMAN,0.310964793981371
t31915aep|F149A_MOUSE,0.0860256587123487
t34547aep|UBP16_HUMAN,0.165450840056804
t34557aep|KDSR_BOVIN,0.0641172834551092
t34555aep|TM107_DANRE,0.0750252149128839
t34552aep|NPYR_DROME,0.0364454368128431
t34559aep|XPA_XENLA,0.0346017834610253
t35295aep|RM09_RAT,0.0578097963667511
t35296aep|MORN2_BOVIN,0.147969441773237
t37101aep|OTX2B_XENLA,0.771678943646125
t37095aep|AGRG4_HUMAN,0.39974418044168
t34987aep|FA47E_HUMAN,0.0496878789663337
t34996aep|RET_RAT,0.0263291317188446
t31900aep|FRIH_TREBE,3.4350286836115
t31908aep|RSLBA_HUMAN,0.0675615570389783
t31905aep|DYH2_MOUSE,0.0725377665298442
t31909aep|RBM25_MOUSE,0.278573460310359
t32714aep|TENS1_HUMAN,0.124081088059135
t35365aep|SGCD_HUMAN,0.236326840103918
t34183aep|TLN1_HUMAN,0.017065708837458
t34191aep|SRSF7_BOVIN,0.0403516319528062
t34192aep|FORF_DICDI,0.342013894413421
t34186aep|BRPF1_HUMAN,0.0694711213535911
t32757aep|INO80_MOUSE,0.1323650761593
t32766aep|SC5AC_MOUSE,0.108289009815265
t32775aep|CELR2_HUMAN,0.540479923795905
t33155aep|CBPD_LOPSP,0.0364454368128431
t32180aep|MYLK_SHEEP,0.133695228288687
t32160aep|MYD88_HUMAN,0.0257403546673335
t36933aep|ATG2B_HUMAN,0.0343134523518747
t36928aep|CACB2_RABIT,0.13980438842516
t36920aep|SWI5_HUMAN,0.0509395812460082
t35832aep|SPTN1_HUMAN,0.0171840837072723
t35007aep|NPFF2_HUMAN,0.178813528919455
t35008aep|OPN4_PHOSU,0.0364454368128431
t35013aep|HERC1_HUMAN,0.126348588695021
t35011aep|HEMK1_HUMAN,0.1045842647475
t35005aep|CHRD_XENLA,0.0388024792320638
t34999aep|SRBP1_PIG,0.377424893892298
t35003aep|CTNS_HUMAN,0.0487744632632944
t35006aep|CER1_HUMAN,0.0364454368128431
t32100aep|PRRT1_MOUSE,0.432061749443827
t32108aep|FITM2_XENTR,0.0273288070819462
t32102aep|KRI1_MOUSE,0.197033785069781
t32104aep|ASIC1_MOUSE,0.0364454368128431
t32112aep|HACE1_HUMAN,0.0141304480039853
t32111aep|TAF9B_RAT,0.0479444827709278
t32099aep|DDX46_MOUSE,0.581316219336824
t32321aep|DYH7_HUMAN,0.336070761228064
t32319aep|AAPK2_HUMAN,0.014357929774053
t36032aep|ABCA1_HUMAN,0.201036637023913
t36031aep|ANPRA_MOUSE,0.0979809083396934
t36962aep|RTBS_DROME,0.0364454368128431
t35701aep|HOME2_HUMAN,0.0713207094282054
t32144aep|CHST3_CHICK,0.0364454368128431
t32136aep|ZDH11_MOUSE,0.107087588442916
t32148aep|DPOA2_HUMAN,0.0364454368128431
t32140aep|RAD2B_ARATH,0.103102012880919
t32147aep|DDX10_HUMAN,0.0436092700105302
t32143aep|RN212_MOUSE,0.0364454368128431
t37177aep|MDC1_RAT,0.0850515245086461
t37192aep|FBXW2_MOUSE,0.020542303151533
t37187aep|CDK7_HUMAN,0.160217756734982
t38445aep|ATRX_PONPY,0.0179161405540181
t38446aep|RNF10_XENLA,0.121370333085735
t36738aep|ZSCA2_MOUSE,0.0778634292167309
t36741aep|DYHC1_MOUSE,0.256039440982569
t38619aep|AL8A1_DANRE,0.0718996968561112
t38617aep|U2AFM_HUMAN,0.0124143971904943
t34476aep|Y1199_DICDI,0.0725377665298442
t34475aep|LRIG2_HUMAN,0.00852094381971366
t34674aep|KI16B_MOUSE,0.113313606454322
t34685aep|CPMD8_HUMAN,0.0725377665298442
t34686aep|CPMD8_HUMAN,0.178813528919455
t34669aep|CK070_BOVIN,0.000575584076533587
t34670aep|VKORL_HUMAN,0.0159510654331707
t37718aep|CFA45_HUMAN,0.837652841553815
t37723aep|INTU_BOVIN,0.072893633071588
t32504aep|RPN2_PONAB,0.115165796918477
t32519aep|PTR36_ARATH,0.248104463822191
t32498aep|KLC4_BOVIN,0.0364454368128431
t32515aep|ZFY26_BOVIN,0.104006432297996
t32516aep|DTNB_MOUSE,0.109180190557833
t36975aep|DYH5_HUMAN,0.0321232279376981
t36989aep|GPX5_PIG,3.27098767354491
t36974aep|CNFNA_XENLA,0.363028545379981
t36988aep|FAT4_HUMAN,0.0211860754974023
