t37645aep|CP4V2_MOUSE,0.0169014789791925
t31619aep|ABCA2_HUMAN,0.00844433258131483
t31618aep|DTBP1_CHICK,0.123592187810611
t36970aep|EXOS6_DANRE,0.537554427046871
t34456aep|TAF3_CHICK,0.119814641746328
t34451aep|RSGI5_CLOTH,0.0169014789791925
t36340aep|AT1A_HYDVU,0.0253713835724362
t36336aep|CEP76_PONAB,0.117002121494114
t36329aep|FGOP2_CHICK,0.0350876087405635
t35904aep|DDAC_ENTAG,0.0169014789791925
t35908aep|CAF1A_CHICK,0.367189185941034
t38110aep|P2R3C_HUMAN,0.0704480053300125
t38118aep|AGRIN_MOUSE,0.00507018239781391
t33743aep|EXOC7_RAT,0.0504572882691732
t33739aep|RPP14_MOUSE,0.335819070532771
t33741aep|IFT20_DANRE,0.154075398966508
t32696aep|OTOF_DANRE,0.0253713835724362
t32692aep|GPTC4_XENTR,0.423862825994164
t32693aep|S27A4_HUMAN,0.00460888520113689
t32691aep|PP14C_RAT,0.00189669122945902
t35866aep|MEL2A_DANRE,0.143106631445282
t35861aep|ABCBA_HUMAN,0.137029750529734
t35855aep|MIPEP_PONAB,0.0523068041361456
t35353aep|B4GA1_DANRE,0.0250387999022587
t37371aep|IDI1_BOVIN,0.0573098984331128
t37374aep|VWDE_HUMAN,0.00844433258131483
t37381aep|RPAC2_BOVIN,0.352810502013868
t37368aep|PEX10_MOUSE,0.42584369773367
t32307aep|NCAN_PANTR,0.052304033855795
t32309aep|TM203_HUMAN,0.111026871721224
t32310aep|LSM1_HUMAN,0.137232302939342
t32304aep|SWT15_VITVI,0.0690757933738104
t33080aep|KIF17_HUMAN,0.417587516503057
t33084aep|TXIP1_MOUSE,0.00844433258131483
t33085aep|TXIP1_HUMAN,0.0253713835724362
t38021aep|YD286_MOUSE,0.0816733564953678
t36728aep|ARL5B_MOUSE,0.111591166197401
t32809aep|TRPA1_HUMAN,0.00844433258131483
t35724aep|SYF2_DANRE,0.546532756311304
t35979aep|ECI1_RAT,0.231167559327444
t35981aep|PRPF3_CHICK,0.537606289009209
t37010aep|NDUF4_PONAB,0.0395058784958247
t35982aep|NLTP_CHICK,0.219123167239517
t35988aep|CIA30_DROME,0.129070725774957
t31651aep|LRRK2_MOUSE,0.00844433258131483
t38633aep|DRG1_XENLA,0.152761040120872
t38636aep|ALG3_HUMAN,0.0544868410165567
t38646aep|PARG_BOVIN,0.102324156088211
t37013aep|LAGE3_MOUSE,1.01975144603643
t34435aep|IMPTB_XENTR,0.00303670430947935
t34436aep|XRN1_HUMAN,0.292195733060447
t34428aep|SPC25_RAT,0.2475301832466
t34430aep|RPAP1_BOVIN,0.15754094051844
t34429aep|PP4C_XENTR,0.829673732556294
t34427aep|ML12B_BOVIN,0.00036973518791827
t31846aep|CEP70_RAT,0.0052866535091185
t31842aep|TERA_XENLA,0.243571534402093
t31849aep|TYPH_RAT,0.0122397849810397
t31847aep|RS2_ICTPU,0.835093774990187
t34802aep|PISD_CRIGR,0.0135600435416842
t34792aep|PTH2_BOVIN,0.0993428570287408
t32481aep|GUAA_RAT,0.273994325309155
t32475aep|WHITE_DROME,0.00300195475702219
t32470aep|LYRM2_MOUSE,0.118245108427555
t31220aep|P52K_HUMAN,0.0388218642272193
t31227aep|SYCP2_RAT,0.0303318522726029
t31225aep|RT35_BOVIN,0.638648119347963
t31231aep|UNC89_CAEEL,0.00844433258131483
t36650aep|ANKK1_MOUSE,0.0593259105615204
t37817aep|RS6_BRAFL,0.515455756283016
t37818aep|EF1A_HYDVU,0.3567989422639
t37816aep|LRP2_RAT,0.0548199325166368
t32256aep|P5CR1_BOVIN,0.0689528535612854
t32265aep|SYD1_CAEEL,0.154054533095297
t32266aep|GGT1_PIG,0.0040981853429368
t32258aep|SHPK_MOUSE,0.0424559623331297
t32267aep|CG050_MOUSE,0.0833588816066856
t35087aep|CJ076_XENLA,0.0409888176343789
t35085aep|RS30_ORYLA,0.12074687890643
t35075aep|COMD6_MOUSE,0.142667427055648
t35552aep|DTL_CHICK,0.107775199231737
t35549aep|PDRG1_RAT,0.19736994781978
t36397aep|ARMC7_MOUSE,0.135387826159955
t36392aep|UTP15_HUMAN,0.535120708251652
t35409aep|BTBD7_HUMAN,0.102165476749501
t35401aep|LIN52_DANRE,0.0295572444290382
t35411aep|EDC3_PONAB,0.144033230620577
t35408aep|NK2R_RAT,0.00844433258131483
t33710aep|SEC_ARATH,0.00844433258131483
t33695aep|GID8_NEMVE,0.00851033881054065
t35845aep|TIM9_MOUSE,0.451550094512146
t35848aep|MS3L1_PONAB,0.229358072996807
t35846aep|SDHF3_NEMVE,0.269156822920065
t35847aep|PHF3_HUMAN,0.22920605045689
t35208aep|TTC28_MOUSE,0.00844433258131483
t35207aep|CP17A_ICTPU,0.00844433258131483
t35215aep|MTA1_HUMAN,0.691075769550755
t37317aep|ASPM_SAIBB,0.108531479203104
t37319aep|ASPM_MACMU,0.00844433258131483
t36969aep|CISD3_HUMAN,0.553701687759963
t32614aep|XRRA1_MOUSE,0.0169014789791925
t32633aep|MED16_XENTR,0.092482506835358
t32616aep|FBN1_BOVIN,0.0146749607806656
t33647aep|WHITE_LUCCU,0.0306427901040302
t33641aep|AT5F1_BOVIN,0.049724627426361
t37951aep|MPU1_MOUSE,0.00411394612030919
t37954aep|DYH10_HUMAN,0.0338539907566151
t37961aep|NRDC_MOUSE,0.0782988825412565
t31825aep|F185A_MOUSE,0.371418956771909
t31819aep|CPSF1_BOVIN,0.285625127031547
t31818aep|DYR_AEDAL,0.512891265709219
t31817aep|AKR1_YARLI,0.00844433258131483
t32418aep|TSEAR_HUMAN,0.00844433258131483
t32421aep|PCS3_LOTJA,0.0683174416843948
t32422aep|UTP11_MOUSE,0.366525836702512
t32427aep|TBC20_MOUSE,0.296562929310675
t36953aep|RBM26_HUMAN,0.598112987539435
t36948aep|RM54_HUMAN,0.449297218992918
t36938aep|SYT15_HUMAN,0.0301216841682361
t33904aep|TFB1M_XENTR,0.102788911177392
t33907aep|BRAT1_MOUSE,0.212736093221097
t33627aep|VMP1_DANRE,0.141541408901073
t33194aep|UBP54_RAT,0.0586021609451129
t33193aep|RSBNL_HUMAN,0.235050044624306
t33183aep|PNKP_HUMAN,0.341875218683556
t33195aep|RA54B_CHICK,0.0719114755352445
t33191aep|ALRA_DICDI,0.124636604098989
t37622aep|NEK4_MOUSE,0.241503415761045
t37627aep|CD2B2_MOUSE,0.429832696404492
t37634aep|KELP_ARATH,0.85785032352749
t36963aep|PPID_HUMAN,0.11396448195781
t36583aep|CSTF3_MOUSE,0.295516411388605
t36585aep|CALM_MACPY,0.00541430321131054
t34760aep|QORL1_MOUSE,0.121436964141313
t34762aep|TYDP2_RAT,0.0145401884940978
t34759aep|TDRD5_AILME,0.202749886344468
t34577aep|ARSB_RAT,0.00416715210506046
t34564aep|YMH6_CAEEL,0.148993188731764
t38671aep|SETD7_HUMAN,0.0783736427308673
t38685aep|TBP_XENTR,0.208382391670335
t38683aep|H10A_XENLA,0.445607774436505
t38674aep|S7A14_HUMAN,0.0122765277352097
t38672aep|SHL2_ORYSJ,0.0169014789791925
t38673aep|RDR2_ORYSJ,0.00844433258131483
t38687aep|PTPRD_MOUSE,0.0423492449469329
t36972aep|FUCM_HUMAN,0.280141784642996
t32845aep|KTI12_DANRE,0.0634262654860861
t32851aep|STX18_HUMAN,0.225852340506631
t32840aep|CNOT2_HUMAN,0.381026017699356
t36483aep|TAF8_DANRE,0.164709943533505
t36499aep|S22A5_HUMAN,0.0439027955647476
t36496aep|TNAP3_MACFA,0.151567689257539
t36486aep|SCN1_HETBL,0.0136589447243235
t38463aep|RS17_BOVIN,0.68308735977155
t34603aep|RWDD1_RAT,0.400515204868056
t34599aep|YTX2_XENLA,0.00304131452805482
t34608aep|CATL_SARPE,0.00844433258131483
t34605aep|CRFR2_XENLA,0.169410982318961
t34604aep|RA51D_ARATH,0.0247415361643004
t38360aep|PIGL_RAT,0.00360981734244321
t38358aep|PLK4_NEMVE,0.0514888926466879
t38366aep|DDRGK_TRIAD,0.353118262282314
t32782aep|ARGLA_DANRE,0.630812325668025
t37025aep|THG1_HUMAN,0.0849772304470529
t32780aep|TBRG1_XENTR,0.062359689909606
t32786aep|SETD4_HUMAN,0.0213845047454863
t36257aep|EDIL3_MOUSE,0.010349740394251
t36261aep|CTU2A_XENLA,0.171230105718805
t36265aep|TXND_THEPA,0.439895782808712
t36270aep|Y1101_SYNY3,0.270250552720848
t37210aep|DPOD3_BOVIN,0.83266898181535
t37217aep|BAZ1A_HUMAN,0.643055711314825
t36467aep|CEAM5_HUMAN,0.0253713835724362
t36474aep|RT06_BOVIN,0.690534767846108
t36462aep|PAPOG_MOUSE,0.972320388231096
t36469aep|DNLI1_XENLA,0.526331269798107
t36466aep|TF2H1_HUMAN,0.328600687226434
t38667aep|CAH5_CAEEL,0.00844433258131483
t38666aep|EPHA3_MOUSE,0.0338539907566151
t38657aep|CCD94_MOUSE,0.0456524955989345
t38655aep|RRP44_HUMAN,0.796506604375694
t37029aep|USH2A_HUMAN,0.00844433258131483
t38455aep|PDE11_DROME,0.000185659337866469
t38456aep|ELMD2_BOVIN,0.0419519994504925
t38450aep|KCY_DANRE,0.0479423283030351
t38457aep|RTEL1_DANRE,0.231366807090093
t31916aep|ZCRB1_XENLA,0.131337187120825
t31921aep|NXF1_COTJA,0.582716447414387
t34560aep|AMPN_RAT,0.0466391010014112
t34547aep|UBP16_HUMAN,0.0283974405978004
t34557aep|KDSR_BOVIN,0.0301207861056638
t34555aep|TM107_DANRE,0.176851441993071
t34559aep|XPA_XENLA,0.544872770635196
t35295aep|RM09_RAT,0.377465325866839
t35307aep|DTD2_MOUSE,0.00878690367724174
t35300aep|DJC11_PONAB,0.254462924106618
t37101aep|OTX2B_XENLA,0.500158433148014
t37097aep|THA11_DANRE,0.00844433258131483
t37105aep|SNPC3_BOVIN,0.00836871816273793
t34990aep|LYST_MOUSE,0.153338477506343
t34989aep|MOG1_BOVIN,0.0820133437014643
t34997aep|HBAP1_RAT,0.0431671708642038
t34991aep|RBM25_MOUSE,0.825866935316582
t34996aep|RET_RAT,0.0322329398529345
t31904aep|RPB11_MOUSE,0.349859687032871
t31909aep|RBM25_MOUSE,0.803415863597025
t31910aep|CAH1_RAT,0.0253713835724362
t38176aep|APC1_MOUSE,0.150898794583445
t36373aep|RTXE_DROME,0.00844433258131483
t38183aep|APC_RAT,0.153726975627151
t38182aep|GRM4_MOUSE,0.00844433258131483
t32713aep|SDA1_RAT,0.471427821927368
t32725aep|TIM10_CAEBR,0.00541430321131054
t32715aep|KCMA1_BOVIN,0.00844433258131483
t32719aep|T2FA_XENLA,0.695796501287188
t32709aep|MCFD2_PONAB,0.033614902924
t35366aep|XRN1_HUMAN,0.328494493916692
t35368aep|DCP2_MOUSE,0.192521407931657
t35373aep|RS14_MARMM,0.933976882946111
t35372aep|ELYS_XENLA,0.15428941975735
t34194aep|THNS2_MOUSE,0.494583900801005
