t32283aep|PPBT_CHICK,0.286690154901002
t32280aep|5HTR_LYMST,0.00673357100018024
t32272aep|FAT4_MOUSE,0.00673357100018024
t32909aep|F228B_MOUSE,0.00812395437582851
t32907aep|KALRN_MOUSE,0.183725521053664
t32328aep|SPIT3_HUMAN,0.000952038266077142
t32866aep|PDD2L_CHICK,2.59521193829009e-05
t32898aep|CAC1B_RAT,0.00563374557122608
t32869aep|ZMYM1_HUMAN,0.00673357100018024
t32870aep|ZMYM1_HUMAN,0.00673357100018024
t37699aep|AGTRB_MOUSE,0.00673357100018024
t37695aep|ANPRA_MOUSE,0.00223457005468032
t33844aep|RTJK_DROME,0.00673357100018024
t33855aep|RASF2_MOUSE,0.0521486209647712
t33864aep|CNTP5_CANLF,0.0667202492118343
t35776aep|KLC4_MOUSE,0.017124475062888
t37400aep|AMPP1_PENRW,0.0765972229932019
t37417aep|GRM8_RAT,0.00673357100018024
t37405aep|OTOF_DANRE,0.0150596387518679
t37427aep|Y2R2_DROME,0.013489970902023
t32186aep|COPIA_DROME,0.00673357100018024
t32202aep|B4GN4_HUMAN,0.0216287596799442
t32206aep|EGL15_CAEEL,0.200172916932547
t32191aep|TC1A_CAEEL,0.147378318896162
t38735aep|KAPR2_DROME,0.0130508873288128
t38166aep|CUBN_HUMAN,0.0242453039655922
t38160aep|P52K_HUMAN,0.00673357100018024
t38162aep|RTXE_DROME,0.00673357100018024
t38172aep|CCD13_HUMAN,0.00497778082298929
t38146aep|MLP_ACRMI,0.0516425757284154
t38169aep|CARTF_RAT,0.0162049817971941
t37746aep|USH2A_HUMAN,0.013489970902023
t37760aep|RTJK_DROME,0.0014154056490114
t33049aep|RTJK_DROME,0.00243334346754557
t33061aep|TTLL4_CAEBR,0.00500785237150328
t37484aep|HMP_OCEIH,0.0501174956798453
t35655aep|NPHP3_HUMAN,0.0611568828728028
t35677aep|PGDH_HUMAN,1.09122972171014
t35668aep|RTBS_DROME,0.00673357100018024
t31424aep|CFA57_MOUSE,0.0234182195206887
t37801aep|FA69C_MOUSE,0.00673357100018024
t37782aep|EMAL4_XENTR,0.00914324559769174
t37786aep|RTBS_DROME,0.0174527824422489
t35821aep|RTXE_DROME,0.00673357100018024
t35801aep|NOS1_MOUSE,0.00300126441180126
t34532aep|TFF3_RAT,0.00673357100018024
t34489aep|PK1L2_MOUSE,0.00673357100018024
t34490aep|PK1L2_MOUSE,0.000645677143399483
t34509aep|RTJK_DROME,0.00673357100018024
t34506aep|C163A_CANLF,0.0310605759491174
t37125aep|RTXE_DROME,0.013489970902023
t37155aep|MRC1_MOUSE,0.00129119317588782
t37161aep|CFA69_PAPAN,0.0143105705965351
t37156aep|CHIA_MOUSE,5.22129120365275
t37164aep|PSD10_DICDI,0.00398524346638449
t31783aep|DMBT1_RABIT,2.59925410228907
t31787aep|KLC4_HUMAN,0.00673357100018024
t36126aep|RTXE_DROME,0.00673357100018024
t36128aep|CAH2_TRIHK,0.036332091760244
t36133aep|FA5_PIG,0.00673357100018024
t36093aep|ZN862_HUMAN,0.00679997200752195
t31356aep|OTOF_HUMAN,0.0130800412239299
t31348aep|ZBED4_MOUSE,0.00673357100018024
t31320aep|NALP7_HUMAN,0.0065612390638145
t31338aep|RTBS_DROME,0.00673357100018024
t31346aep|MGT4A_RAT,0.0202691698990936
t37266aep|HARB1_HUMAN,0.0132582468093757
t37270aep|CUBN_RAT,0.00673357100018024
t37247aep|NAS13_CAEEL,5.76082842626135
t37293aep|K1586_HUMAN,0.00673357100018024
t37309aep|WHRN_HUMAN,0.0370021078066535
t37271aep|AT133_HUMAN,0.00673357100018024
t37308aep|RTBS_DROME,0.00673357100018024
t37258aep|PTPRS_MOUSE,0.00673357100018024
t31485aep|TOR1A_MACFA,0.00862198837973415
t31480aep|KCNB2_MOUSE,0.013489970902023
t31478aep|TCB2_CAEBR,0.00673357100018024
t31517aep|PTPRE_RAT,0.00673357100018024
t31534aep|RTXE_DROME,0.00673357100018024
t31545aep|NEK10_MOUSE,0.00609724949515606
t31516aep|GIN1_MACFA,0.0202691698990936
t34424aep|TRY3_SALSA,7.02661648187475
t34415aep|CC157_BOVIN,0.0085463280866293
t34408aep|TIGD4_MOUSE,0.013489970902023
t34362aep|POL4_DROME,0.00673357100018024
t32528aep|RTJK_DROME,0.00673357100018024
t32535aep|ZBED4_MOUSE,0.00673357100018024
t32539aep|P52K_HUMAN,0.00673357100018024
t32553aep|PHYSA_PHYPO,0.00673357100018024
t38292aep|BVMO2_STRCO,0.359158097998568
t38316aep|AB22G_ARATH,0.00997457435785721
t38257aep|RAG1_XENLA,0.004678141058517
t38310aep|FGFR3_DANRE,0.00114563003971999
t32025aep|P52K_HUMAN,0.00129119317588782
t32019aep|RTJK_DROME,0.00673357100018024
t32021aep|YRD6_CAEEL,0.00673357100018024
t32035aep|GRM8_HUMAN,0.0553795814745214
t32002aep|HMCN1_HUMAN,0.0361286656128881
t32010aep|DD3_DICDI,0.00673357100018024
t31997aep|ZNFX1_MOUSE,0.147449726174141
t35488aep|AGO2_HUMAN,0.352711276652542
t35456aep|PK1L2_MOUSE,0.00673357100018024
t35490aep|RBBP5_DROME,0.00673357100018024
t35484aep|F200A_HUMAN,0.00673357100018024
t35503aep|DSCL1_CHICK,0.00141468817705556
t35486aep|TCB2_CAEBR,0.00673357100018024
t37556aep|JERKL_HUMAN,0.013489970902023
t37568aep|DLEC1_HUMAN,0.00941911543419202
t37531aep|GTD2B_HUMAN,0.00673357100018024
t37577aep|RTJK_DROME,0.0677142082359749
t37526aep|TCB1_CAEBR,0.00673357100018024
t37569aep|SCND3_HUMAN,0.00774834837379674
t32976aep|ZMYM1_HUMAN,0.0101544295335501
t33020aep|TSP3_MOUSE,0.00342110457545708
t35576aep|ZBED4_MOUSE,0.0232784310243784
t35577aep|KLC_DORPE,0.0242212606423675
t35590aep|RTBS_DROME,0.0349753447200882
t35622aep|PGBD3_HUMAN,0.000681063871251677
t35563aep|GRM5_RAT,0.013489970902023
t35604aep|JERKL_HUMAN,0.00740852745103992
t35573aep|SHL2_ORYSJ,0.235441647947014
t34201aep|RTJK_DROME,0.0045926816701154
t34261aep|AGRL3_BOVIN,0.0275881557765797
t34249aep|TRA1_MAIZE,0.00337366580802467
t34230aep|RTBS_DROME,0.00673357100018024
t34245aep|AGRG2_MOUSE,0.00024330553353016
t37902aep|TRAF4_HUMAN,0.0499265799139778
t37881aep|TIGD6_HUMAN,0.00673357100018024
t37329aep|GIN1_PONAB,0.00673357100018024
t32083aep|OPN4_BRABE,0.0203260529295217
t31596aep|HSP13_HUMAN,0.0480575583666565
t37469aep|YDJC_XENLA,0.00673357100018024
t34847aep|Y165_RICPR,0.107520598154454
t37069aep|B3GN4_HUMAN,0.00673357100018024
t34840aep|DYH5_HUMAN,0.00673357100018024
t33748aep|FGFR3_HUMAN,0.0100533351290391
t34983aep|RTJK_DROME,0.00673357100018024
t34069aep|ERIP6_HUMAN,0.00915754169299006
t34075aep|HYDIN_MOUSE,0.0489549995038591
t34064aep|RS27L_BOVIN,0.0282336089906423
t36146aep|SCND3_HUMAN,0.0202691698990936
t38607aep|TU92_POLAB,0.0378985668345624
t33636aep|K1586_HUMAN,0.00673357100018024
t38402aep|JMJD8_RAT,0.00673357100018024
t33242aep|FAT2_DROME,0.013489970902023
t35228aep|RTBS_DROME,0.00673357100018024
t35749aep|AB22G_ARATH,0.00673357100018024
t31554aep|CYT_NOTSC,4.0881964529211
t34613aep|ANO6_MOUSE,0.00673357100018024
t35517aep|CCYL1_XENTR,0.00673357100018024
t36448aep|RL27_HIPCM,0.0394610284003579
t36821aep|SELM_HUMAN,0.0202691698990936
t34105aep|LADD_ONCMY,0.00673357100018024
t33788aep|MCAF1_HUMAN,0.00673357100018024
t33282aep|PGAP1_RAT,0.00673357100018024
t38349aep|UCPB_DICDI,0.00673357100018024
t38351aep|DYH2_HUMAN,0.00673357100018024
t34904aep|RTJK_DROME,0.013489970902023
t32407aep|CLCN7_RAT,0.00673357100018024
t31640aep|GP2_CANLF,0.00673357100018024
t35283aep|R213B_DANRE,0.00673357100018024
t36537aep|BOULE_DROME,0.0106830422626821
t34838aep|DYH7_HUMAN,0.0202691698990936
t38546aep|PELET_DROME,0.00740207704524216
t38234aep|AKT2B_XENLA,0.00673357100018024
t35933aep|GRM1_HUMAN,0.00673357100018024
t36301aep|MCPI_MELCP,0.0337423701451214
t31681aep|FUT6_PANTR,0.00673357100018024
t34733aep|MCPI_MELCP,5.63359722371993
t36410aep|DYH10_HUMAN,0.00673357100018024
t36415aep|LRRK1_HUMAN,0.00673357100018024
t34781aep|SET1_YEAST,0.0699785487303864
t37387aep|USPAL_ARATH,0.00673357100018024
t33829aep|MLP_ACRMI,0.00673357100018024
t33567aep|RSLBB_DANRE,0.0893399892084821
t33558aep|NALP9_BOVIN,0.00673357100018024
t32954aep|NPL11_CAEEL,0.00673357100018024
t32966aep|NPHP3_HUMAN,0.00673357100018024
t33881aep|MFSD6_MOUSE,0.00673357100018024
t37655aep|S12A4_RAT,0.00673357100018024
t37234aep|G3ST1_BOVIN,0.00673357100018024
t38384aep|VF259_IIV6,0.013489970902023
t35341aep|GALT2_DROME,0.0222974299252362
t32650aep|RL17_PODCA,0.00526720829761398
t33921aep|P2C52_ORYSJ,0.00673357100018024
t33299aep|PLSC_LIMDO,0.00673357100018024
t29957aep|UBP7_MOUSE,0.00673357100018024
t29949aep|OPSD_NEOAU,0.0270711375042366
t1173aep|LRRK2_HUMAN,0.013489970902023
t1171aep|TOB1_HUMAN,0.157949557039215
t28847aep|CC191_HUMAN,0.0144362111884668
t28851aep|TAPT1_MOUSE,0.00857239307404856
t25932aep|SPX3_BOVIN,0.00686946009114722
t18735aep|FOXA2_ORYLA,0.15597435290012
t14505aep|GAS2_MOUSE,0.00304107935848779
t28513aep|LAR_CAEEL,0.0129712063893337
t7698aep|MFNA_METPE,2.92263454605147
t25307aep|KCTD9_HUMAN,0.00673357100018024
t4222aep|GTR8_RAT,0.00673357100018024
t25309aep|HSFY1_HUMAN,0.0139056453468512
t28473aep|GAPR1_HUMAN,0.00673357100018024
t28475aep|REEP5_RAT,0.170739258728025
t28479aep|DCD1B_DICDI,0.00673357100018024
t26387aep|GLAS_DROVI,0.013489970902023
t26395aep|DYHC_TRIGR,0.0141463983663486
t26394aep|TMED7_HUMAN,0.427925568248716
t19677aep|MEP1B_HUMAN,1.47490950102381
t29728aep|TRAF4_MOUSE,0.013489970902023
t24866aep|HMCN2_HUMAN,0.00647955131014265
t26163aep|GGH_MOUSE,0.00968800426837869
t4520aep|SRPRA_DROME,0.135840109813116
t25423aep|MATN2_HUMAN,0.00842585926887273
t25425aep|THEM4_HUMAN,0.00673357100018024
t13964aep|SC16A_HUMAN,0.158073503765541
t28188aep|AQP9_HUMAN,0.0242453039655922
t14955aep|MAOC_ORYSJ,0.00673357100018024
t28568aep|B3GN4_HUMAN,0.00342508707356271
t18829aep|HPCL1_SHEEP,0.00429921464551124
t1213aep|GDPD1_HUMAN,0.000693352851752466
t23544aep|PRY1_YEAST,0.87321610296319
t23523aep|CALM_DICDI,0.013489970902023
t23521aep|WNT8_XENLA,0.00673357100018024
t23540aep|KVAP_AERPE,0.00673357100018024
t23543aep|DIRA1_HUMAN,0.390762164323528
t1889aep|B3GN6_MOUSE,0.013489970902023
t11073aep|RAB24_HUMAN,0.665231942041981
t11061aep|APCD1_CHICK,0.390923812047677
t11077aep|FACD2_HUMAN,0.0821497180997372
t11063aep|G3ST3_MOUSE,0.0614213904350363
t12663aep|MCATL_BOVIN,0.00673357100018024
t3676aep|TES_CHICK,0.156434140295916
t3678aep|SYIC_HUMAN,0.0214827478390321
t1aep|NAS4_CAEEL,0.793717125753712
