t33418aep|ZBED8_BOVIN,0
t37645aep|CP4V2_MOUSE,0.156880528296362
t31628aep|TSP1_BOVIN,0.0101478034458435
t31619aep|ABCA2_HUMAN,0.0101478034458435
t31633aep|PREA_SALTY,0
t31620aep|PTRB_MORLA,0
t31618aep|DTBP1_CHICK,-0.0122183124549198
t36047aep|FUCTA_DROME,0
t36970aep|EXOS6_DANRE,-0.052035950955069
t34456aep|TAF3_CHICK,-0.0438067052462395
t34453aep|RIFK_DROME,0.0243547375624701
t34451aep|RSGI5_CLOTH,0.0101478034458435
t34446aep|VIAAT_XENLA,0
t34450aep|KCNH5_MOUSE,0
t36334aep|DOCK3_HUMAN,0.0203185925150284
t36327aep|RAD21_SCHPO,0
t36332aep|COPG2_ORYSJ,0
t36340aep|AT1A_HYDVU,0.0304773620093587
t36336aep|CEP76_PONAB,-0.0201558310278445
t36335aep|RTJK_DROME,0
t36329aep|FGOP2_CHICK,-0.0193238448664269
t36337aep|CRYAB_BOVIN,-0.0802521656485257
t35904aep|DDAC_ENTAG,0.134534715460557
t35900aep|RHCG_XENTR,0.00895955801188769
t35903aep|S35E3_DANRE,0.0442623515584323
t35908aep|CAF1A_CHICK,-0.00570185175319946
t32664aep|AQP9_HUMAN,0.680067313825515
t32662aep|SERB_BOVIN,-0.0521436999916623
t31832aep|P52K_HUMAN,0
t31833aep|BP10_PARLI,0.00423041210430535
t31838aep|STXB1_RAT,0.0604379912399405
t38104aep|B3GN4_HUMAN,0.000442494392488348
t38107aep|PKHL1_MOUSE,0
t38111aep|KCC2D_BOVIN,0.0101478034458435
t38110aep|P2R3C_HUMAN,-0.0192450344769726
t38118aep|AGRIN_MOUSE,0.141452405437768
t38103aep|PTSS1_DANRE,-0.0266802274662009
t38117aep|SAXO1_RAT,-0.00957716483812716
t33743aep|EXOC7_RAT,0.121650473863937
t33739aep|RPP14_MOUSE,0.0584384898725724
t33737aep|ZMYM6_HUMAN,0
t33741aep|IFT20_DANRE,0.0166913315534067
t33735aep|DHB11_RAT,0.0413956346277333
t32686aep|MRP1_CHICK,0.260332602555127
t32685aep|RN146_XENTR,0.0169112869791149
t32696aep|OTOF_DANRE,0.0203069464595894
t32692aep|GPTC4_XENTR,-0.165810578163094
t32693aep|S27A4_HUMAN,0.0155461422677363
t32687aep|RAB23_HUMAN,0.18481119320224
t32691aep|PP14C_RAT,0.0495388977346827
t32688aep|CPT2_MOUSE,0
t35871aep|NOD1_MOUSE,0.0917328528655269
t35860aep|KIF3A_MACFA,0.0752320845434112
t35866aep|MEL2A_DANRE,0.015771910226393
t35863aep|SSPO_CHICK,0.0197021500354602
t35872aep|NAPEP_BOVIN,0.270263061407466
t35870aep|STK10_CHICK,0.0368473221898872
t35858aep|SCND3_HUMAN,0
t35861aep|ABCBA_HUMAN,-0.0284632638528549
t35862aep|MEGF6_HUMAN,0.0513502678304255
t35855aep|MIPEP_PONAB,-0.0356679493026508
t35857aep|PKD2_ORYLA,0
t35354aep|KLC3_RAT,0
t35356aep|CASP8_RAT,0.00295696343291295
t35353aep|B4GA1_DANRE,0.00133041825207951
t33691aep|ABCB2_DICDI,0
t37371aep|IDI1_BOVIN,-0.0574713073783818
t37374aep|VWDE_HUMAN,0.0101478034458435
t37381aep|RPAC2_BOVIN,0.0134601321196835
t37368aep|PEX10_MOUSE,-0.056121950007418
t37380aep|CBL_MOUSE,-0.0338413902625744
t37375aep|TC3A_CAEEL,0
t32307aep|NCAN_PANTR,0
t32309aep|TM203_HUMAN,0.0262078639671889
t32310aep|LSM1_HUMAN,0.00158836123649136
t32305aep|PPCT_MOUSE,0.00772145572087245
t32304aep|SWT15_VITVI,-0.00501845404120115
t33480aep|MSRB_METBF,0.106431520426522
t33470aep|PGBD3_HUMAN,0
t33473aep|THAP1_DANRE,0.0101478034458435
t33081aep|ZMYM5_BOVIN,0
t33080aep|KIF17_HUMAN,0.0848247800675192
t33084aep|TXIP1_MOUSE,0.0101478034458435
t33085aep|TXIP1_HUMAN,0.0101478034458435
t38023aep|FUT3_PONPY,0
t38021aep|YD286_MOUSE,0.0276548454831634
t36728aep|ARL5B_MOUSE,0.00186657999696471
t33589aep|THAP2_MOUSE,0
t32812aep|TCB2_CAEBR,0
t32818aep|SY65_DROME,0
t32809aep|TRPA1_HUMAN,0.0101478034458435
t32819aep|T106C_HUMAN,0.152286898116365
t32810aep|NDUA5_BOVIN,0.00491986847748866
t35726aep|SO4C1_RAT,0.0700965915832736
t35724aep|SYF2_DANRE,-0.179404698426
t35979aep|ECI1_RAT,-0.0605291938605438
t35981aep|PRPF3_CHICK,-0.0791138569570178
t35991aep|FLNC_RAT,-0.0115047699970839
t37010aep|NDUF4_PONAB,-0.0355020196759697
t35994aep|MLRP2_ACRMI,0.706522206883629
t35982aep|NLTP_CHICK,-0.0830190248120668
t35993aep|VATE_DROME,-0.0210446348563616
t35988aep|CIA30_DROME,-0.00960365262740072
t35989aep|M2K3_ARATH,0
t35984aep|DYH6_HUMAN,0.0526112443024659
t35985aep|DYH6_HUMAN,0
t31651aep|LRRK2_MOUSE,0.0101478034458435
t31647aep|PPT1_HUMAN,0.636130249951691
t38649aep|ATXA_LEIDO,0
t38641aep|AL7A1_CAEEL,0
t38633aep|DRG1_XENLA,0.0365844650182278
t38636aep|ALG3_HUMAN,0.035324182830371
t38647aep|RAP1_CAEEL,0
t38646aep|PARG_BOVIN,0.00857905218703088
t37013aep|LAGE3_MOUSE,-0.175292857577871
t38648aep|TM175_CHICK,0
t34435aep|IMPTB_XENTR,0.0302382904366446
t34431aep|RSPH1_HUMAN,0.800966420952075
t34434aep|S12A8_XENLA,0.00358989701449486
t34436aep|XRN1_HUMAN,0.0504714461873707
t34428aep|SPC25_RAT,-0.00751389024288395
t34430aep|RPAP1_BOVIN,0.00806549828714078
t34429aep|PP4C_XENTR,-0.196464108909341
t34427aep|ML12B_BOVIN,0.0909163278250123
t31846aep|CEP70_RAT,0.000298721113404483
t31844aep|TLL1_DANRE,0
t31842aep|TERA_XENLA,-0.109763005646054
t31849aep|TYPH_RAT,0.0394413711082051
t31847aep|RS2_ICTPU,-0.148246364981886
t31848aep|SPCS3_CHICK,0.215946856618527
t34798aep|APH1_DROME,0.0454954248247913
t34802aep|PISD_CRIGR,-0.0202939472149311
t34796aep|PCMD2_BOVIN,0.0426713577255574
t34792aep|PTH2_BOVIN,0.0214990637451676
t34790aep|TWF1_HUMAN,0.0842870418932132
t32481aep|GUAA_RAT,0.0383774689955424
t32473aep|RB18B_DANRE,0.0188155202010048
t32475aep|WHITE_DROME,-0.00544237782429253
t32469aep|CO6A4_MOUSE,0
t32470aep|LYRM2_MOUSE,-0.0420362383324511
t31220aep|P52K_HUMAN,0
t31227aep|SYCP2_RAT,0
t31225aep|RT35_BOVIN,0.00582146298892245
t31230aep|UNC89_CAEEL,0
t31231aep|UNC89_CAEEL,0.0203069464595894
t36653aep|DOHH_RAT,0.0203069464595894
t36650aep|ANKK1_MOUSE,-0.0123622041786216
t36663aep|AA2AR_CANLF,0
t37814aep|CC105_BOVIN,0.0780963815560562
t37817aep|RS6_BRAFL,-0.191975008532618
t37818aep|EF1A_HYDVU,-0.235659692980485
t37816aep|LRP2_RAT,-0.0425268293753415
t32256aep|P5CR1_BOVIN,0.18851413399674
t32265aep|SYD1_CAEEL,0.0228316680002848
t32253aep|YPEL5_PONAB,0.0118883095048392
t32261aep|GAPR1_HUMAN,0.0101478034458435
t32266aep|GGT1_PIG,0.937289753460842
t32269aep|FSTL1_BOVIN,1.04006678775259
t32255aep|CHSS1_MOUSE,0.0204049853810208
t32258aep|SHPK_MOUSE,0.0184982619646378
t32263aep|IF172_DANRE,0.0231387321515331
t32267aep|CG050_MOUSE,-0.0301327620983138
t35087aep|CJ076_XENLA,0.0286263579198476
t35085aep|RS30_ORYLA,0.0253257634477715
t35082aep|WASH7_HUMAN,0.00525363723707295
t35075aep|COMD6_MOUSE,0.113596351050036
t35079aep|RB39B_MOUSE,-0.02651808357016
t35552aep|DTL_CHICK,0.0150613985144856
t35556aep|M4K2_HUMAN,0.102201688930332
t35545aep|KLC4_MOUSE,0.0101478034458435
t35549aep|PDRG1_RAT,0.0553387980880469
t35558aep|ARP10_HUMAN,0.0334863704696579
t36397aep|ARMC7_MOUSE,-0.00036988336296019
t36395aep|NAS15_CAEEL,0
t36392aep|UTP15_HUMAN,0.0904009935787698
t36388aep|YR826_MIMIV,0
t36391aep|HETE1_PODAS,0.0203069464595894
t36387aep|NPHP3_HUMAN,0.0203069464595894
t35409aep|BTBD7_HUMAN,0.0101478034458435
t35401aep|LIN52_DANRE,0.0140890723715428
t35403aep|MYPN_MOUSE,0.0101478034458435
t35411aep|EDC3_PONAB,-0.0885905718621491
t35406aep|WDY_ANOGA,0
t35408aep|NK2R_RAT,0.128519256458496
t33712aep|HACD_CAEEL,0
t33710aep|SEC_ARATH,0.0508517436969174
t33694aep|KLC4_MOUSE,0
t33696aep|CNRP1_BOVIN,0
t33709aep|TC3A_CAEEL,0
t33695aep|GID8_NEMVE,-0.0128185840237832
t35845aep|TIM9_MOUSE,-0.0224295057474206
t35851aep|OPSD1_MIZYE,0.180298918440761
t35853aep|TM175_MOUSE,0.0101478034458435
t35848aep|MS3L1_PONAB,-0.0185947477665733
t35846aep|SDHF3_NEMVE,-0.0142763339238534
t35850aep|CYTA_MOUSE,0.0304773620093587
t35847aep|PHF3_HUMAN,-0.0941497869425537
t35212aep|EFCB2_MOUSE,0
t35208aep|TTC28_MOUSE,0.0304773620093587
t35207aep|CP17A_ICTPU,0
t35215aep|MTA1_HUMAN,0.0174768706979995
t35204aep|RET_RAT,0
t35214aep|ZMYM1_HUMAN,0.0203069464595894
t35217aep|CEBPB_CHICK,0.106716430743251
t37320aep|CO6A6_HUMAN,0.109296523151043
t37316aep|ASPM_SHEEP,-0.0285198163098565
t37317aep|ASPM_SAIBB,0.0315034156889747
t37318aep|MYOG_DICDI,0.0101478034458435
t37319aep|ASPM_MACMU,0.0101478034458435
t37312aep|UBC12_SCHPO,-0.00637986310754355
t36969aep|CISD3_HUMAN,0.0542020473948588
t32622aep|MK14_CANLF,-0.0262976333669996
t32614aep|XRRA1_MOUSE,0
t32620aep|HMCN1_HUMAN,0
t32615aep|UNK_HUMAN,-0.0714164056896035
t32623aep|F1142_BOVIN,-0.0804880993308551
t32633aep|MED16_XENTR,0.0169222094867108
t32616aep|FBN1_BOVIN,-0.0175264807204238
t33656aep|CRYAB_BOVIN,-0.00128430539866052
t33645aep|TLR1_DROME,0.132193407234323
t33652aep|DD3_DICDI,0
t33647aep|WHITE_LUCCU,-0.0289047451940948
t33641aep|AT5F1_BOVIN,0.0654668414597452
t33657aep|TM243_BOVIN,0.0290675256611027
t33648aep|KPCD3_HUMAN,0.0294559102238012
t33644aep|CC180_HUMAN,0.0560885737317035
t33650aep|DUS22_HUMAN,0.0336700573023738
t37963aep|NAPEP_BOVIN,0
t37951aep|MPU1_MOUSE,0.133280838326677
t37954aep|DYH10_HUMAN,0
t37961aep|NRDC_MOUSE,-0.0233661980798086
t37948aep|RHG32_XENLA,0.135626297400065
t31825aep|F185A_MOUSE,-0.0207938700066049
t31829aep|MYO10_HUMAN,0.116039219883512
t31824aep|DNJC5_TETCF,0.0993421316797563
t31819aep|CPSF1_BOVIN,0.0172428433821329
t31818aep|DYR_AEDAL,-0.0366237045973992
t31817aep|AKR1_YARLI,0
t32428aep|UBP15_HUMAN,0
t32418aep|TSEAR_HUMAN,0
t32411aep|CNGA2_BOVIN,0
t32420aep|RPE_HUMAN,0.0741089275910586
t32421aep|PCS3_LOTJA,-0.000771591199518124
t32425aep|ANXA7_MOUSE,0.167067603547962
t32422aep|UTP11_MOUSE,-0.0251016628073394
t32427aep|TBC20_MOUSE,-0.133554800180769
t32412aep|M3K19_HUMAN,0.00173054787695057
t32423aep|CADA_STAAR,0.0137605255016656
t32416aep|COMD8_HUMAN,0.170839615758467
