t37645aep|CP4V2_MOUSE,0.101802249592717
t31619aep|ABCA2_HUMAN,0.0345317163736807
t31618aep|DTBP1_CHICK,0.0871832916142295
t36970aep|EXOS6_DANRE,0.208483331343737
t34453aep|RIFK_DROME,0.0548865704468946
t36334aep|DOCK3_HUMAN,0.0410483878381562
t36340aep|AT1A_HYDVU,0.0345317163736807
t35904aep|DDAC_ENTAG,0.166837488872947
t35908aep|CAF1A_CHICK,0.00170025739747561
t32664aep|AQP9_HUMAN,0.615118554118961
t31838aep|STXB1_RAT,0.0197948548744639
t38118aep|AGRIN_MOUSE,0.131214169160157
t33743aep|EXOC7_RAT,0.174284897742581
t33739aep|RPP14_MOUSE,0.0641158095984456
t33741aep|IFT20_DANRE,0.153023433327678
t33735aep|DHB11_RAT,0.0333243865354233
t32686aep|MRP1_CHICK,0.490663978188336
t32685aep|RN146_XENTR,0.14145610909345
t32696aep|OTOF_DANRE,0.0345317163736807
t32687aep|RAB23_HUMAN,0.270944710904347
t32691aep|PP14C_RAT,0.0365003865072994
t35871aep|NOD1_MOUSE,0.0684576860344559
t35860aep|KIF3A_MACFA,0.0188432968114584
t35866aep|MEL2A_DANRE,0.0643652486664396
t35872aep|NAPEP_BOVIN,0.375384183185157
t35870aep|STK10_CHICK,0.196331667292742
t35857aep|PKD2_ORYLA,0.0345317163736807
t37381aep|RPAC2_BOVIN,0.210533202314521
t32309aep|TM203_HUMAN,0.12385677805711
t32310aep|LSM1_HUMAN,0.132866631832121
t33480aep|MSRB_METBF,0.0884735925894343
t33080aep|KIF17_HUMAN,0.0438220485709007
t33084aep|TXIP1_MOUSE,0.0345317163736807
t38021aep|YD286_MOUSE,0.0813984222081617
t32819aep|T106C_HUMAN,0.089731036152431
t32810aep|NDUA5_BOVIN,0.18475964272459
t35726aep|SO4C1_RAT,0.202176158468389
t35981aep|PRPF3_CHICK,0.115063936503365
t37010aep|NDUF4_PONAB,0.0653421849290172
t35994aep|MLRP2_ACRMI,1.1227165136756
t35982aep|NLTP_CHICK,0.112299754048461
t35988aep|CIA30_DROME,0.00462111728669038
t31651aep|LRRK2_MOUSE,0.0345317163736807
t31647aep|PPT1_HUMAN,0.833197293166577
t38633aep|DRG1_XENLA,0.104865131576405
t38636aep|ALG3_HUMAN,0.111386898509178
t37013aep|LAGE3_MOUSE,0.07610370270524
t34435aep|IMPTB_XENTR,0.0709849631455815
t34431aep|RSPH1_HUMAN,0.872818101185627
t34434aep|S12A8_XENLA,0.00764425137881655
t34430aep|RPAP1_BOVIN,0.0590160041829407
t31846aep|CEP70_RAT,0.0512492270092044
t31848aep|SPCS3_CHICK,0.184686523450377
t34798aep|APH1_DROME,0.00597342494627319
t34790aep|TWF1_HUMAN,0.283658325323298
t32473aep|RB18B_DANRE,0.079958786509317
t31220aep|P52K_HUMAN,0.0345317163736807
t36653aep|DOHH_RAT,0.134588319343658
t36650aep|ANKK1_MOUSE,0.0589626834047369
t37814aep|CC105_BOVIN,0.0616544807158735
t37817aep|RS6_BRAFL,0.344929833093704
t37818aep|EF1A_HYDVU,0.0632938048340583
t32269aep|FSTL1_BOVIN,1.15931893454845
t32263aep|IF172_DANRE,0.0681217181543696
t35087aep|CJ076_XENLA,0.0389612627456088
t35082aep|WASH7_HUMAN,0.00932995908850935
t35075aep|COMD6_MOUSE,0.048946421355088
t35552aep|DTL_CHICK,0.00202288728710232
t35556aep|M4K2_HUMAN,0.0221920637230406
t35545aep|KLC4_MOUSE,0.054449073717768
t35549aep|PDRG1_RAT,0.15719140115919
t36392aep|UTP15_HUMAN,0.0480243554117133
t36387aep|NPHP3_HUMAN,0.0345317163736807
t35408aep|NK2R_RAT,0.134588319343658
t33710aep|SEC_ARATH,0.0345317163736807
t35845aep|TIM9_MOUSE,0.0497302216487035
t35851aep|OPSD1_MIZYE,0.173612860463366
t35848aep|MS3L1_PONAB,0.0459470926524869
t35846aep|SDHF3_NEMVE,0.0102751246813235
t35847aep|PHF3_HUMAN,0.0497632724990299
t35208aep|TTC28_MOUSE,0.0345317163736807
t37320aep|CO6A6_HUMAN,0.0353341024084715
t36969aep|CISD3_HUMAN,0.25892720928952
t32633aep|MED16_XENTR,0.0243243186373859
t33645aep|TLR1_DROME,0.276473160586166
t33641aep|AT5F1_BOVIN,0.091680223519585
t33657aep|TM243_BOVIN,0.174588892958385
t37951aep|MPU1_MOUSE,0.0533999787792674
t37954aep|DYH10_HUMAN,0.0345317163736807
t37948aep|RHG32_XENLA,0.161723176878142
t31829aep|MYO10_HUMAN,0.205693842224618
t31824aep|DNJC5_TETCF,0.0656134957111743
t31819aep|CPSF1_BOVIN,0.0110654070618766
t31818aep|DYR_AEDAL,0.038319314098549
t32421aep|PCS3_LOTJA,0.00189336825756293
t32422aep|UTP11_MOUSE,0.0357961856618381
t32416aep|COMD8_HUMAN,0.0164163183780535
t32413aep|NTPES_BACSU,0.150303940464486
t36953aep|RBM26_HUMAN,0.395994881890258
t36948aep|RM54_HUMAN,0.0832418573188477
t36946aep|ELOV5_XENTR,0.0225918180377331
t36947aep|MFSD6_MOUSE,0.0345317163736807
t33893aep|MCPI_MELCP,0.337965226338031
t33904aep|TFB1M_XENTR,0.0873480965439034
t33900aep|SIP2_YEAST,1.88894239482157
t33907aep|BRAT1_MOUSE,0.042524249336455
t36961aep|TRAF4_HUMAN,0.0421044542878216
t31713aep|TBA_NOTVI,0.0159976633327864
t31719aep|VATC_MANSE,0.332884548755381
t33183aep|PNKP_HUMAN,0.472893279926418
t33188aep|ADCY9_HUMAN,0.0211121842065079
t33191aep|ALRA_DICDI,0.12287955051704
t37624aep|VATF_HUMAN,0.549523297391335
t37622aep|NEK4_MOUSE,0.0288553752599545
t37634aep|KELP_ARATH,0.108693460259016
t37637aep|DYHC_HELCR,0.025294651312911
t36963aep|PPID_HUMAN,0.0917718308787626
t36574aep|OPN4B_XENLA,0.0345317163736807
t36583aep|CSTF3_MOUSE,0.0504324793745563
t36580aep|S39AD_DANRE,0.23047938122539
t34754aep|FXC2B_XENLA,0.452762136071648
t34764aep|RSU1_BOVIN,0.206641394104246
t34564aep|YMH6_CAEEL,0.0173564775683059
t38671aep|SETD7_HUMAN,0.0521907291538078
t36972aep|FUCM_HUMAN,0.30292259799561
t32838aep|RASLC_DANRE,0.586084278276119
t32855aep|ZN205_BOVIN,0.0564914841969026
t32845aep|KTI12_DANRE,0.116415974319986
t32852aep|NPC2_DROME,0.0831148408219681
t32851aep|STX18_HUMAN,0.0124738568565018
t32840aep|CNOT2_HUMAN,0.023420932293879
t36502aep|NPHP3_HUMAN,0.014262546474587
t36491aep|VP37B_HUMAN,0.0571846775408323
t36486aep|SCN1_HETBL,0.0652151517795867
t38463aep|RS17_BOVIN,0.284921288223105
t38464aep|AB1G_ARATH,0.0345317163736807
t34595aep|NDK_CHICK,0.669303775485581
t34599aep|YTX2_XENLA,0.020671551922543
t34604aep|RA51D_ARATH,0.0423421316176935
t38363aep|DNAL4_PIG,0.0474462852875713
t38358aep|PLK4_NEMVE,0.0446389618491469
t38365aep|TMOD2_RAT,1.8666724161041
t38366aep|DDRGK_TRIAD,0.554679544683723
t32782aep|ARGLA_DANRE,0.0301273803165431
t37025aep|THG1_HUMAN,0.0504358093723891
t32786aep|SETD4_HUMAN,0.0133865698609961
t32785aep|HEBP1_MOUSE,3.47205090945889
t36270aep|Y1101_SYNY3,0.0138748913486855
t37220aep|HMCN2_HUMAN,0.0684576860344559
t37217aep|BAZ1A_HUMAN,0.206026709945383
t37214aep|ITA9_MOUSE,0.364871956091103
t36474aep|RT06_BOVIN,0.0108651162480949
t38653aep|TOR1A_MACFA,1.51305568800093
t38658aep|PKHG5_MOUSE,0.124856798813077
t35898aep|NPHP3_XENLA,0.50475294950666
t38458aep|PEBB_HUMAN,0.101204464294133
t31921aep|NXF1_COTJA,0.0425549789045246
t31915aep|F149A_MOUSE,0.0885806330238834
t34549aep|PP2C2_CAEEL,0.196177041620666
t34547aep|UBP16_HUMAN,0.00418612609228603
t34557aep|KDSR_BOVIN,0.0399854916500538
t34555aep|TM107_DANRE,0.126017180619825
t34559aep|XPA_XENLA,0.196685316186015
t35295aep|RM09_RAT,0.0278993592479691
t35307aep|DTD2_MOUSE,0.0412097462713989
t37101aep|OTX2B_XENLA,0.963550440524964
t37095aep|AGRG4_HUMAN,0.179348768434499
t34987aep|FA47E_HUMAN,0.0456077984709452
t34990aep|LYST_MOUSE,0.184572880576472
t34989aep|MOG1_BOVIN,0.0695565584922032
t34991aep|RBM25_MOUSE,0.217355608559965
t31900aep|FRIH_TREBE,4.5863931143815
t31912aep|HSP70_HYDVU,0.0394238544209883
t38176aep|APC1_MOUSE,0.00518887174210158
t38183aep|APC_RAT,0.220782428500762
t38186aep|CRYAB_BOVIN,0.358712025581709
t32713aep|SDA1_RAT,0.183112683946405
t32714aep|TENS1_HUMAN,0.140983780619935
t32725aep|TIM10_CAEBR,0.0315016870036763
t32719aep|T2FA_XENLA,0.115017362835734
t32717aep|STX12_MOUSE,0.142826703769423
t32709aep|MCFD2_PONAB,0.118047863437458
t35365aep|SGCD_HUMAN,0.399983954224808
t35368aep|DCP2_MOUSE,0.0327213238304447
t35373aep|RS14_MARMM,0.0909440035477704
t34183aep|TLN1_HUMAN,0.0151519883982954
t34192aep|FORF_DICDI,0.345837083035713
t32768aep|KLC4_MOUSE,0.0345317163736807
t32769aep|KLC4_HUMAN,0.0345317163736807
t32762aep|RAD50_MOUSE,0.310306863985243
t32773aep|TRI50_MOUSE,0.0815454806927325
t32766aep|SC5AC_MOUSE,0.101802249592717
