t38445aep|ATRX_PONPY,0.759609643847708
t38446aep|RNF10_XENLA,0.177096365915102
t36571aep|FL2D_DANRE,0.225229689247432
t38617aep|U2AFM_HUMAN,0.112827196887932
t34465aep|NPHP4_MOUSE,0.0140501718079327
t34475aep|LRIG2_HUMAN,0.0687644841817026
t34481aep|PYM1_BOVIN,0.0680471335712106
t34674aep|KI16B_MOUSE,0.0311890547096984
t34671aep|GT2D2_MOUSE,0.0935654489617422
t34682aep|IPMK_HUMAN,0.0312691171426369
t34670aep|VKORL_HUMAN,0.191521949267303
t37718aep|CFA45_HUMAN,0.0343334562850704
t37723aep|INTU_BOVIN,0.238681867418168
t37717aep|TSAL_GEOSL,0.0209983953456042
t32514aep|NPHP1_CANLF,0.142881080117671
t32508aep|CLK2_MOUSE,0.317904391079977
t32494aep|RBM45_MOUSE,0.427329904505147
t36988aep|FAT4_HUMAN,0.081429615859391
t37006aep|SVIL_MOUSE,0.10972985831186
t35158aep|LITH_RAT,0.0543161904801375
t35160aep|ZN862_HUMAN,0.159639087157737
t35148aep|MT21D_MOUSE,0.245205474311636
t35154aep|DJC17_BOVIN,0.0280132280774294
t33498aep|DDX51_DANRE,0.163503324746619
t31269aep|DALD3_RAT,0.0930174012114197
t33783aep|GRM3_MOUSE,0.0966889771748318
t31935aep|AP4S1_HUMAN,0.053855356707081
t31947aep|HLH11_CAEEL,0.0104367561720804
t31936aep|PRRT1_MOUSE,0.0966889771748318
t31941aep|ZNT10_MOUSE,0.00963007517628425
t32755aep|RBCC1_MOUSE,0.095380057515076
t33592aep|ZNT1_HUMAN,0.241957557590305
t33595aep|FLT3_HUMAN,1.12049535859529
t33601aep|EF3_CANGA,0.0966889771748318
t32376aep|FA96A_HUMAN,0.21194436597782
t32382aep|TCHP_DANRE,0.044196492620128
t32370aep|CREB_HYDVD,0.628467171309828
t38591aep|CAPS1_RAT,0.477099553362838
t38581aep|HE_HEMPU,0.0684896223039003
t38432aep|MYO3B_HUMAN,2.96636983415385
t38506aep|ANK2_HUMAN,0.0966889771748318
t38507aep|CHUR_BOVIN,0.0209983953456042
t38509aep|DCDC2_MOUSE,0.0497878039078106
t38510aep|ZN235_MOUSE,0.80559599254241
t35194aep|OPSD1_MIZYE,0.0966889771748318
t38498aep|MARH1_HUMAN,0.704755492566565
t37447aep|ANKS3_HUMAN,0.496707980161483
t37460aep|TBCEL_RAT,0.253495476626457
t36606aep|TBD_CANLF,0.0165741779864333
t36612aep|ERIC3_HUMAN,2.64338382506829
t34694aep|PGBD4_HUMAN,0.0966889771748318
t34701aep|TM223_HUMAN,0.210161250239628
t32286aep|RIMS2_RAT,1.00478370723114
t32295aep|CHD1_MOUSE,0.0268754099549572
t32909aep|F228B_MOUSE,0.546738691619704
t32906aep|SNP47_RAT,0.157942265540527
t32901aep|APBP2_RAT,0.0899068657763457
t32917aep|CC020_MOUSE,0.151043100230678
t32927aep|RTJK_DROME,0.0966889771748318
t32931aep|OCTL_DROME,0.106010980145299
t32932aep|HYD_DROME,0.271683873650844
t32333aep|DHDDS_HUMAN,0.271698667661834
t32897aep|CASP2_CHICK,0.0575523259119644
t32894aep|MYO1A_MOUSE,0.0543526502218473
t37690aep|RNF4_HUMAN,0.0782631380706749
t33218aep|TACC3_XENLA,1.09755083634304
t33867aep|NADK_MOUSE,0.0674290028331242
t33865aep|F172A_CHICK,0.132357165488614
t33869aep|OSBL8_MOUSE,1.26984501740197
t33847aep|NAS15_CAEEL,0.0966889771748318
t33868aep|CCS_PIG,0.0218818805533724
t33861aep|GCC1_HUMAN,0.197274099544062
t33856aep|PARD3_HUMAN,0.0239590581568256
t35773aep|FRIS_LYMST,1.01930012333476
t37402aep|NAC1_CAVPO,0.679421133576016
t37409aep|ATS9_HUMAN,0.0966889771748318
t37416aep|DEN1A_XENLA,0.413614033838851
t37405aep|OTOF_DANRE,0.818027939120952
t32202aep|B4GN4_HUMAN,0.0912465993505392
t32189aep|NINL_HUMAN,1.69137403019501
t32191aep|TC1A_CAEEL,0.0966889771748318
t32203aep|GAPD1_BOVIN,0.041620437240165
t38735aep|KAPR2_DROME,0.446054371563544
t38720aep|RTKN_HUMAN,0.617170936900973
t38728aep|EPB1B_XENLA,0.053855356707081
t38731aep|SAC2_DANRE,0.139840052027967
t38159aep|TPGS2_HUMAN,0.0777077728416738
t38147aep|TCB2_CAEBR,0.0966889771748318
t38172aep|CCD13_HUMAN,0.105390470113323
t38153aep|APEX2_BOVIN,0.0105168771080752
t33063aep|GRP78_CHICK,1.09232477903166
t33040aep|IQCB1_MOUSE,0.0592550006113818
t33047aep|HKR1_HUMAN,0.790017045401581
t33060aep|TCB2_CAEBR,0.187838442028669
t32590aep|SGSM1_MOUSE,0.00331040410257296
t35668aep|RTBS_DROME,0.187838442028669
t31398aep|ANPRB_HUMAN,0.0324602171866536
t31412aep|FND3A_HUMAN,0.535983341147287
t31393aep|MEC2_CAEEL,0.289499346191553
t31399aep|EGTB_MYCS2,0.274077244161845
t31410aep|ANKF1_HUMAN,0.112599693547744
t37788aep|BRAP_HUMAN,0.344792903571115
t37791aep|Y381_RICFE,0.0411321653507176
t37798aep|HMCN1_HUMAN,0.612037504451377
t35786aep|AP1G_DICDI,0.256393072714485
t35785aep|KCNA1_RAT,0.274077244161845
t35823aep|FYCO1_MOUSE,0.013179515756109
t34509aep|RTJK_DROME,0.0966889771748318
t34506aep|C163A_CANLF,0.0966889771748318
t34530aep|ZN862_HUMAN,0.274077244161845
t34536aep|NALP7_HUMAN,0.037990140329746
t37134aep|TILB_XENTR,0.0212582865794546
t37135aep|TRI37_MOUSE,0.000376852465645817
t37168aep|M3K3_HUMAN,0.18792641222212
t37152aep|MACF1_HUMAN,0.560140856764793
t37137aep|TET2_HUMAN,0.0364965310301918
t37161aep|CFA69_PAPAN,0.0731009809368045
t37164aep|PSD10_DICDI,0.0667783780878416
t36775aep|ANKE1_HUMAN,0.0826580456500027
t36799aep|ZMYM1_HUMAN,0.187838442028669
t36809aep|CE104_HUMAN,0.0794216617437161
t31809aep|KPCA_RAT,0.0604175155604951
t36091aep|F166B_XENTR,0.156984639717848
t36126aep|RTXE_DROME,0.0966889771748318
t36106aep|USH1C_MOUSE,0.055797528547635
t36093aep|ZN862_HUMAN,0.0899989782803308
t31314aep|MFSD1_BOVIN,0.0499706557415215
t31356aep|OTOF_HUMAN,0.0690257651893809
t31322aep|PGBD3_HUMAN,0.0966889771748318
t31320aep|NALP7_HUMAN,0.17413051119339
t31354aep|CA2D4_HUMAN,0.716582898120785
t31303aep|AB1IP_CHICK,1.62515111549513
t31317aep|SPN90_MOUSE,0.118598480956769
t31316aep|ROR1_HUMAN,0.31186578435202
t37266aep|HARB1_HUMAN,0.132737397012033
t37273aep|COPIA_DROME,0.0966889771748318
t37308aep|RTBS_DROME,0.187838442028669
t37307aep|SPTCS_HUMAN,0.0297411693271891
t37243aep|PK2L1_MOUSE,0.181118655055139
t31544aep|YVNF_AZOCH,0.069941047159364
t31534aep|RTXE_DROME,0.0966889771748318
t31245aep|ZN266_HUMAN,0.0315948878451826
t31519aep|PLDX1_MOUSE,0.0673347537473195
t31515aep|POL4_DROME,0.0966889771748318
t34379aep|MET16_DANRE,0.0152094651385391
t34386aep|ACD11_CAEEL,0.0341528029539644
t34397aep|ZBED1_HUMAN,0.0966889771748318
t34360aep|PH4H_RAT,0.001044327972786
t34425aep|ZMYM1_HUMAN,0.172727898035618
t34366aep|PLCL_MYTGA,0.302018419098602
t34369aep|ABCA3_MOUSE,0.0966889771748318
t32564aep|AVIL_HUMAN,0.474585127189477
t32528aep|RTJK_DROME,0.187838442028669
t32529aep|LOXH1_MOUSE,0.702589610994839
t32539aep|P52K_HUMAN,0.0966889771748318
t32572aep|FUT3_BOVIN,0.0114191878310683
t32549aep|NUD22_RAT,0.041902355994437
t32545aep|AT1A_HYDVU,0.138877782545462
t32550aep|CAC1E_RABIT,0.0966889771748318
t38304aep|S22A4_HUMAN,0.0443261211596095
t38275aep|CATIN_HUMAN,0.0758565360522497
t38303aep|IFT81_MOUSE,0.0874669931149257
t38264aep|AT133_MOUSE,0.0297478518924031
t38257aep|RAG1_XENLA,0.340805795696689
t38311aep|RET_HUMAN,0.0966889771748318
t38293aep|NALDL_RAT,0.0414743565138791
t32047aep|RTJK_DROME,0.0689478560336253
t32025aep|P52K_HUMAN,0.182396064204376
t32029aep|TGS1_RAT,0.0495957736432406
t32000aep|RET_RAT,0.0446347322839976
t31986aep|ZMYM1_HUMAN,0.0899554061746516
t35477aep|RTJK_DROME,0.0486905871741297
t35510aep|DOCK6_HUMAN,0.152867139946038
t35490aep|RBBP5_DROME,0.0966889771748318
t35461aep|THAP9_HUMAN,0.0597860559592472
t35449aep|TBB_THAWE,0.0966889771748318
t35514aep|JERKL_HUMAN,0.005954729323549
t35446aep|CRA1B_DANRE,0.101874462920005
t31770aep|VWA3B_HUMAN,0.0803513795300588
t37542aep|CSK_CHICK,0.133737768703517
t37541aep|POLR_DROME,0.0966889771748318
t32967aep|TRA1_MAIZE,0.4019649746411
t32973aep|JERKL_MOUSE,0.0699094125555241
t35592aep|SE1L2_HUMAN,0.0967240596405348
t35576aep|ZBED4_MOUSE,0.430059810259341
t35627aep|AL14E_BOVIN,0.235288448755973
t35590aep|RTBS_DROME,0.0200016055600217
t31763aep|RN103_MOUSE,0.0764198072757381
t34201aep|RTJK_DROME,0.0742105213407104
t31766aep|SFT2A_MOUSE,0.321372593938961
t34247aep|TC1A_CAEEL,0.0793739915941675
t34267aep|H2B3_TIGCA,0.0781902327446437
t34240aep|ZMYM1_HUMAN,0.0966889771748318
t34261aep|AGRL3_BOVIN,1.06372863846119
t37937aep|AL14E_RAT,0.366269897973997
t37857aep|GIN1_HUMAN,0.494438727476809
t37859aep|YTX2_XENLA,0.13331231946661
t37876aep|PZP_HUMAN,0.120263587627116
t37901aep|LAR_DROME,0.189787244576345
t37855aep|THAP9_HUMAN,0.140117254163598
t37336aep|ZMYM1_HUMAN,0.090536244632988
t37329aep|GIN1_PONAB,0.187838442028669
t31596aep|HSP13_HUMAN,0.0755071118155777
t36835aep|ADPRM_HUMAN,0.0362844407519068
t35335aep|TM177_HUMAN,0.0906137235644279
t34857aep|U390_DANRE,0.565343971817088
t36727aep|DRAM1_HUMAN,0.187838442028669
t34354aep|NIT1_BOVIN,0.211565660465961
t34122aep|MAD1_MOUSE,0.744968071699288
t34911aep|HSP70_HYDVU,0.527846798820068
t34584aep|SIL1_MOUSE,0.227749464132799
t34121aep|YETS2_MOUSE,0.0243005039713475
t32705aep|GEMI6_HUMAN,0.0725697992939602
t36641aep|ELMD3_BOVIN,0.0570233253457915
t36648aep|CAPSL_MOUSE,0.0966889771748318
t34640aep|ARF_MAIZE,0.16955825853087
t35094aep|5H1AA_TAKRU,0.0966889771748318
t33636aep|K1586_HUMAN,0.0966889771748318
t33638aep|TRPC5_RABIT,1.90205637292142
t33325aep|KCNH2_MOUSE,0.508217871093143
t34637aep|RS11_MAGSA,0.0904981705986801
t35109aep|COX17_CANLF,0.39817279229548
t34594aep|TARB1_HUMAN,0.048689406016901
t31554aep|CYT_NOTSC,1.79560968462008
t32073aep|PIGE_DROME,0.0429415426263843
t34813aep|DJC27_RAT,0.0966889771748318
t38527aep|ANK1_HUMAN,0.0394220299279126
t31255aep|GLMU_SYNJA,0.0647513396311887
t38077aep|SFR1_HUMAN,0.137180371684216
t38086aep|PIHD1_XENLA,0.108417408694602
t32133aep|SCOCB_DANRE,0.369220366166481
t37830aep|CNOT1_MOUSE,0.0966889771748318
t37833aep|CI116_SALSA,0.330608286023604
t36020aep|ADCY9_MOUSE,0.0924751272204652
t35971aep|5HT2B_HUMAN,0.355932955944057
t33793aep|PLEC_HUMAN,0.419982013333776
t34879aep|DZIP1_DANRE,0.0966889771748318
t34900aep|MLC2_DROME,1.52053996922917
t35283aep|R213B_DANRE,0.0966889771748318
t34838aep|DYH7_HUMAN,0.0966889771748318
t34831aep|MTH2_DROYA,0.628173899606844
t33820aep|TM175_DANRE,1.17036987658296
t36445aep|TDIF2_MOUSE,0.0378320795354177
t37499aep|CB047_HUMAN,0.218017968111983
t32679aep|HSP70_HYDVU,0.0316568340662736
t35933aep|GRM1_HUMAN,0.0966889771748318
t31379aep|S35A3_BOVIN,0.0811259149872548
t34725aep|HS902_HUMAN,0.0901921241979324
t36216aep|DLP1_MOUSE,0.364486112621075
t34781aep|SET1_YEAST,0.627036092192821
t32229aep|TM127_DANRE,0.166108627573314
t32636aep|PIGZ_HUMAN,0.0539897986292479
t33669aep|CIRBP_LITCT,0.0996917513233032
t35393aep|ZNF84_HUMAN,0.0838653363552219
t36068aep|PLD6_CHLRE,0.040601187656087
t32796aep|DUS16_HUMAN,0.363082582948368
t38050aep|FBXW9_BOVIN,0.081429615859391
