t37317aep|ASPM_SAIBB,0.0231364498948315
t36969aep|CISD3_HUMAN,0.0644162799264005
t32622aep|MK14_CANLF,0.0115022490977201
t32614aep|XRRA1_MOUSE,0.00526614911684996
t32620aep|HMCN1_HUMAN,0.0749145991518883
t32615aep|UNK_HUMAN,0.00963282318615397
t32623aep|F1142_BOVIN,0.0419934113065667
t33645aep|TLR1_DROME,0.00833036921377856
t33647aep|WHITE_LUCCU,0.418256446480068
t33641aep|AT5F1_BOVIN,0.408627749203625
t33657aep|TM243_BOVIN,0.00389830481088396
t33648aep|KPCD3_HUMAN,0.149405957304778
t33644aep|CC180_HUMAN,0.0285417198182602
t37963aep|NAPEP_BOVIN,0.00263115248132942
t37951aep|MPU1_MOUSE,0.000561599251527198
t37961aep|NRDC_MOUSE,0.078200485899829
t37948aep|RHG32_XENLA,0.057117704821283
t31825aep|F185A_MOUSE,0.0870027971377796
t31829aep|MYO10_HUMAN,0.0519991198059246
t31824aep|DNJC5_TETCF,0.383820812195842
t31819aep|CPSF1_BOVIN,0.052585433813642
t31818aep|DYR_AEDAL,0.0985349874384463
t31817aep|AKR1_YARLI,0.0079049884928549
t32418aep|TSEAR_HUMAN,0.00263115248132942
t32411aep|CNGA2_BOVIN,0.00526614911684996
t32420aep|RPE_HUMAN,0.0776000434499396
t32421aep|PCS3_LOTJA,0.0285723882952863
t32425aep|ANXA7_MOUSE,0.83642392952681
t32422aep|UTP11_MOUSE,0.0129432406995045
t32427aep|TBC20_MOUSE,0.145037472807176
t32423aep|CADA_STAAR,0.179341095383879
t32416aep|COMD8_HUMAN,0.029638487987016
t36940aep|ROP1L_XENLA,0.10879953468673
t36953aep|RBM26_HUMAN,0.133954621700742
t36948aep|RM54_HUMAN,0.0787070508753493
t36946aep|ELOV5_XENTR,0.503037430688553
t33893aep|MCPI_MELCP,0.00526614911684996
t33901aep|KLC4_BOVIN,0.00526614911684996
t33904aep|TFB1M_XENTR,0.0361068184655822
t33900aep|SIP2_YEAST,0.0283566920412718
t33907aep|BRAT1_MOUSE,0.049632279556706
t33627aep|VMP1_DANRE,0.00400571966463217
t36961aep|TRAF4_HUMAN,0.00182006780534694
t31714aep|KLC4_RAT,0.0105476691756932
t31713aep|TBA_NOTVI,2.61620649022691
t31719aep|VATC_MANSE,0.353980198246403
t33194aep|UBP54_RAT,0.0467520098323146
t33183aep|PNKP_HUMAN,0.00119511254288992
t33191aep|ALRA_DICDI,0.00537622746269241
t37636aep|FAT2_DROME,0.0211567756060533
t37624aep|VATF_HUMAN,0.0311327557481102
t37623aep|RHES_HUMAN,0.0541911784346972
t37627aep|CD2B2_MOUSE,0.0583522112148218
t37634aep|KELP_ARATH,0.0521957643641489
t37637aep|DYHC_HELCR,0.00131060411492338
t36963aep|PPID_HUMAN,0.198512246274754
t36583aep|CSTF3_MOUSE,0.0354264882791179
t36590aep|GLYM_HUMAN,0.220517505503611
t36573aep|LTBP4_HUMAN,0.294721950173659
t36585aep|CALM_MACPY,0.00223611974684598
t36580aep|S39AD_DANRE,0.00516582040710403
t34760aep|QORL1_MOUSE,0.0661742336777431
t34762aep|TYDP2_RAT,0.00330524257685829
t34765aep|ZBED4_HUMAN,0.0131941897118008
t34759aep|TDRD5_AILME,0.14638815785469
t34764aep|RSU1_BOVIN,0.959963662273076
t34577aep|ARSB_RAT,0.0225421968917245
t34564aep|YMH6_CAEEL,0.0439446176801044
t34581aep|PELI1_MOUSE,0.330568126422525
t38671aep|SETD7_HUMAN,0.0209713868877137
t38685aep|TBP_XENTR,0.0904950018311421
t38670aep|RADI_BOVIN,2.05328368322399
t38672aep|SHL2_ORYSJ,0.0105476691756932
t38673aep|RDR2_ORYSJ,0.00263115248132942
t38680aep|PGAP3_XENTR,0.0938441636500963
t36972aep|FUCM_HUMAN,0.143903868240979
t32840aep|CNOT2_HUMAN,0.128910712353163
t36490aep|CCD81_HUMAN,0.0146183765661471
t36502aep|NPHP3_HUMAN,0.00621516802754213
t36483aep|TAF8_DANRE,0.0318079481991099
t36499aep|S22A5_HUMAN,0.377815497771347
t36496aep|TNAP3_MACFA,0.106553062978256
t36495aep|TTC17_HUMAN,0.00526614911684996
t36488aep|TIGD2_MOUSE,0.0131941897118008
t36486aep|SCN1_HETBL,0.00356677056095644
t38463aep|RS17_BOVIN,0.0459246183562218
t34603aep|RWDD1_RAT,0.408725282360709
t34595aep|NDK_CHICK,0.157055660878945
t34599aep|YTX2_XENLA,0.00729661115491533
t34608aep|CATL_SARPE,0.254720516702637
t34605aep|CRFR2_XENLA,0.0393055131494374
t38360aep|PIGL_RAT,0.00459130260995129
t38358aep|PLK4_NEMVE,0.0436790126149285
t38365aep|TMOD2_RAT,1.00062290962748
t32782aep|ARGLA_DANRE,0.0757522759607888
t37025aep|THG1_HUMAN,0.036659610385984
t32780aep|TBRG1_XENTR,0.0268357728178733
t36266aep|MRC1_HUMAN,0.0264843379266358
t36261aep|CTU2A_XENLA,0.0679511057005416
t36265aep|TXND_THEPA,0.0611821866295675
t36270aep|Y1101_SYNY3,0.198627909515979
t36256aep|RTBS_DROME,0.0211567756060533
t37211aep|RYK_MOUSE,0.00899793781687186
t37210aep|DPOD3_BOVIN,0.227230929509336
t37220aep|HMCN2_HUMAN,0.00263115248132942
t37217aep|BAZ1A_HUMAN,0.20968891396184
t37214aep|ITA9_MOUSE,0.698212324025447
t36465aep|PA1B3_RAT,0.0192668976761352
t36474aep|RT06_BOVIN,0.132918792004222
