t37645aep|CP4V2_MOUSE,0.0144632450213857
t31628aep|TSP1_BOVIN,0.0217187705055148
t31619aep|ABCA2_HUMAN,0.0217187705055148
t31618aep|DTBP1_CHICK,0.0328933757557398
t34456aep|TAF3_CHICK,0.0536709191416307
t34446aep|VIAAT_XENLA,0.0187055256587891
t34450aep|KCNH5_MOUSE,0.0144632450213857
t36334aep|DOCK3_HUMAN,0.0646419711788868
t36340aep|AT1A_HYDVU,0.0217187705055148
t36329aep|FGOP2_CHICK,0.218601350433521
t36337aep|CRYAB_BOVIN,0.304579555373812
t35904aep|DDAC_ENTAG,0.0072236398883157
t32662aep|SERB_BOVIN,0.0412218866105273
t31838aep|STXB1_RAT,0.307132739354834
t38104aep|B3GN4_HUMAN,0.659166136345852
t38111aep|KCC2D_BOVIN,0.0072236398883157
t38110aep|P2R3C_HUMAN,0.0800392276830784
t38103aep|PTSS1_DANRE,0.172812289622801
t33743aep|EXOC7_RAT,0.141848367173342
t33735aep|DHB11_RAT,0.21870979525066
t32685aep|RN146_XENTR,0.169476486342248
t32696aep|OTOF_DANRE,0.0072236398883157
t32693aep|S27A4_HUMAN,0.238799579899937
t32687aep|RAB23_HUMAN,0.27311796385199
t32691aep|PP14C_RAT,0.0483733479516118
t32688aep|CPT2_MOUSE,0.178970034086097
t35860aep|KIF3A_MACFA,0.126922135394332
t35863aep|SSPO_CHICK,0.0109435585316165
t35872aep|NAPEP_BOVIN,0.00119662488190695
t35870aep|STK10_CHICK,0.618624768853658
t35861aep|ABCBA_HUMAN,0.00562077170089745
t35862aep|MEGF6_HUMAN,0.01928486216952
t35857aep|PKD2_ORYLA,0.0072236398883157
t35354aep|KLC3_RAT,0.0072236398883157
t35356aep|CASP8_RAT,0.061007481577058
t33691aep|ABCB2_DICDI,0.028990171222875
t37371aep|IDI1_BOVIN,0.00411272334280809
t37380aep|CBL_MOUSE,0.128479481380165
t32307aep|NCAN_PANTR,0.0144632450213857
t32309aep|TM203_HUMAN,0.00450650842572482
t32310aep|LSM1_HUMAN,0.00447245900170527
t32305aep|PPCT_MOUSE,0.032646181386575
t32304aep|SWT15_VITVI,0.00563005881187633
t33480aep|MSRB_METBF,0.334135975476873
t33081aep|ZMYM5_BOVIN,0.0072236398883157
t38023aep|FUT3_PONPY,0.0072236398883157
t36728aep|ARL5B_MOUSE,0.115586871813925
t32812aep|TCB2_CAEBR,0.0072236398883157
t32818aep|SY65_DROME,0.0187055256587891
t32809aep|TRPA1_HUMAN,0.0332510091800596
t32810aep|NDUA5_BOVIN,0.179032056661737
t35726aep|SO4C1_RAT,0.221551141019937
t35979aep|ECI1_RAT,0.027949411833131
t35991aep|FLNC_RAT,1.28326074804693
t37010aep|NDUF4_PONAB,0.0337323708313372
t35982aep|NLTP_CHICK,0.0106185826623348
t35993aep|VATE_DROME,0.78092692896482
t35988aep|CIA30_DROME,0.00636680274812562
t31651aep|LRRK2_MOUSE,0.0144632450213857
t31647aep|PPT1_HUMAN,0.229225331208516
t38636aep|ALG3_HUMAN,0.0153840034438267
t38647aep|RAP1_CAEEL,0.18270455213912
t38646aep|PARG_BOVIN,0.00992097765390376
t34434aep|S12A8_XENLA,0.00938993684025223
t34427aep|ML12B_BOVIN,0.147167705127241
t31842aep|TERA_XENLA,0.0384601002625741
t31849aep|TYPH_RAT,0.00737596544729959
t34798aep|APH1_DROME,0.0221713299554986
t34796aep|PCMD2_BOVIN,0.0103760610038641
t34790aep|TWF1_HUMAN,0.568490524633235
t32473aep|RB18B_DANRE,0.0144339387517159
t32475aep|WHITE_DROME,0.0601413311258151
t32470aep|LYRM2_MOUSE,0.00578849925814748
t31220aep|P52K_HUMAN,0.0144632450213857
t31230aep|UNC89_CAEEL,0.0072236398883157
t31231aep|UNC89_CAEEL,0.0072236398883157
t36650aep|ANKK1_MOUSE,0.869779767265309
t36663aep|AA2AR_CANLF,0.028990171222875
t37816aep|LRP2_RAT,0.179036781627279
t32256aep|P5CR1_BOVIN,0.0242926825040869
t32265aep|SYD1_CAEEL,0.0828004612712172
t32253aep|YPEL5_PONAB,0.127184450701524
t32261aep|GAPR1_HUMAN,0.0072236398883157
t32258aep|SHPK_MOUSE,0.0126303293547831
t32263aep|IF172_DANRE,0.119459517850913
t32267aep|CG050_MOUSE,0.0926826284058745
t35087aep|CJ076_XENLA,0.0713332616505389
t35082aep|WASH7_HUMAN,0.0575404962023658
t35079aep|RB39B_MOUSE,0.0174785241891158
t35556aep|M4K2_HUMAN,0.464261170095634
t35545aep|KLC4_MOUSE,0.0772652685581578
t35558aep|ARP10_HUMAN,0.0206462969942175
t36388aep|YR826_MIMIV,0.0072236398883157
t36391aep|HETE1_PODAS,0.0144632450213857
t36387aep|NPHP3_HUMAN,0.0072236398883157
t35401aep|LIN52_DANRE,0.020113074935884
t35403aep|MYPN_MOUSE,0.373228569996431
t35411aep|EDC3_PONAB,0.105262334297455
t33694aep|KLC4_MOUSE,0.0072236398883157
t33696aep|CNRP1_BOVIN,0.0217187705055148
t33695aep|GID8_NEMVE,0.0695805921520816
t35853aep|TM175_MOUSE,0.0072236398883157
t35850aep|CYTA_MOUSE,0.268470707679788
t35847aep|PHF3_HUMAN,0.0359545757029492
t35207aep|CP17A_ICTPU,0.0072236398883157
t35204aep|RET_RAT,0.0668342253500065
t35217aep|CEBPB_CHICK,0.173612114545256
t37320aep|CO6A6_HUMAN,0.00648125431206694
t37312aep|UBC12_SCHPO,0.138216767368226
t32622aep|MK14_CANLF,0.077925764431586
t32620aep|HMCN1_HUMAN,0.120006719824407
t32615aep|UNK_HUMAN,0.400827985157373
t32623aep|F1142_BOVIN,0.0169718232210108
t32616aep|FBN1_BOVIN,0.00860311766884884
t33656aep|CRYAB_BOVIN,0.0756059306074589
t33652aep|DD3_DICDI,0.204399124436601
t33647aep|WHITE_LUCCU,0.252785238033077
t33641aep|AT5F1_BOVIN,0.199247433081388
t33657aep|TM243_BOVIN,0.280147149332463
t33648aep|KPCD3_HUMAN,0.120826563581278
t33650aep|DUS22_HUMAN,0.0228266689325511
t37963aep|NAPEP_BOVIN,0.0217187705055148
t37948aep|RHG32_XENLA,0.0159323764377782
t31824aep|DNJC5_TETCF,0.513514230280252
t32420aep|RPE_HUMAN,0.149413903693492
t32421aep|PCS3_LOTJA,0.0286364783648652
t32425aep|ANXA7_MOUSE,0.825822816873599
t32412aep|M3K19_HUMAN,0.216292091061149
t32423aep|CADA_STAAR,0.228870453036563
t32416aep|COMD8_HUMAN,0.0142589113245605
t36940aep|ROP1L_XENLA,0.257767258719173
t36944aep|CFA74_MOUSE,0.125741080112707
t36946aep|ELOV5_XENTR,0.61323915185112
t36938aep|SYT15_HUMAN,0.017986463917136
t33893aep|MCPI_MELCP,0.0072236398883157
t33907aep|BRAT1_MOUSE,0.030520674895165
t33627aep|VMP1_DANRE,0.00134194347896538
t33620aep|SYT7_HUMAN,0.000822486563415974
t36961aep|TRAF4_HUMAN,0.146410191688096
t31714aep|KLC4_RAT,0.0072236398883157
t31713aep|TBA_NOTVI,3.71494146650606
t31719aep|VATC_MANSE,0.513357622312324
t33194aep|UBP54_RAT,0.0384420264737225
t33193aep|RSBNL_HUMAN,0.0129676838272911
t33188aep|ADCY9_HUMAN,0.160259137037046
t37624aep|VATF_HUMAN,0.224162242950742
t37623aep|RHES_HUMAN,0.00789128187848236
t37637aep|DYHC_HELCR,0.0197531061621055
t36574aep|OPN4B_XENLA,0.0144632450213857
t36590aep|GLYM_HUMAN,0.311638290661317
t36573aep|LTBP4_HUMAN,0.792152232158308
t36585aep|CALM_MACPY,0.113048469988332
t36580aep|S39AD_DANRE,0.0115392298086756
