t38653aep|TOR1A_MACFA,0.0491237041108776
t35898aep|NPHP3_XENLA,0.00218033666463176
t38456aep|ELMD2_BOVIN,0.0986455823982106
t31921aep|NXF1_COTJA,0.77287095156316
t31918aep|RAD9A_MOUSE,0.0134557384297521
t31915aep|F149A_MOUSE,0.00375903035006652
t34555aep|TM107_DANRE,0.0882553554189618
t34559aep|XPA_XENLA,0.00742450400805621
t35307aep|DTD2_MOUSE,0.0261205444864245
t35300aep|DJC11_PONAB,0.0307161648503102
t37097aep|THA11_DANRE,0.0091907562565118
t37095aep|AGRG4_HUMAN,0.127051075328013
t34987aep|FA47E_HUMAN,0.013794672898909
t31900aep|FRIH_TREBE,0.127973502186714
t31908aep|RSLBA_HUMAN,0.391225580740087
t31912aep|HSP70_HYDVU,0.386565525183133
t31910aep|CAH1_RAT,0.0183616565381938
t38186aep|CRYAB_BOVIN,0.109699537431866
t32713aep|SDA1_RAT,0.0783465129200401
t32725aep|TIM10_CAEBR,0.0153316271681897
t32715aep|KCMA1_BOVIN,0.0091907562565118
t35366aep|XRN1_HUMAN,0.0175761813096801
t35368aep|DCP2_MOUSE,0.0345629517385826
t35373aep|RS14_MARMM,0.0875191644702756
t34181aep|HARB1_DANRE,0.0091907562565118
t32769aep|KLC4_HUMAN,0.0091907562565118
t32762aep|RAD50_MOUSE,0.0605813493653754
t32779aep|SNR48_HUMAN,0.0991048267716844
t33147aep|MFSD8_DANRE,0.0183616565381938
t32175aep|ATK4_ARATH,0.0091907562565118
t32167aep|HAUS4_HUMAN,0.0001813790385257
t36935aep|KCNC1_HUMAN,0.045756894878937
t36933aep|ATG2B_HUMAN,0.00804032873573878
t35835aep|IFT22_XENTR,0.583067098147649
t35007aep|NPFF2_HUMAN,0.0183616565381938
t35008aep|OPN4_PHOSU,0.0091907562565118
t35013aep|HERC1_HUMAN,0.00782296901254578
t34999aep|SRBP1_PIG,0.119201430868284
t32108aep|FITM2_XENTR,0.0368069267512316
t32101aep|NEK4_HUMAN,0.035270062143919
t32321aep|DYH7_HUMAN,0.097094982040855
t36035aep|TCEA2_HUMAN,0.224275478886627
t35690aep|HMGX4_HUMAN,0.000676621760693008
t32136aep|ZDH11_MOUSE,0.881087494971273
t32148aep|DPOA2_HUMAN,0.0183616565381938
t32140aep|RAD2B_ARATH,0.00648135863495314
t32147aep|DDX10_HUMAN,0.0533352117277047
t32151aep|HE_PARLI,0.129322760722345
t32143aep|RN212_MOUSE,0.0091907562565118
t37177aep|MDC1_RAT,0.0225194095723175
t37192aep|FBXW2_MOUSE,0.00245852287688399
t37178aep|MSH3_MOUSE,0.0183616565381938
t33385aep|CDD_DICDI,0.0548500349281241
t36557aep|DHSO_BOVIN,0.00643318763375904
t36736aep|ARP8_SALSA,0.0500029735443119
t36735aep|S30BP_HUMAN,0.0897379266469686
t34473aep|PGBD4_HUMAN,0.0091907562565118
t34465aep|NPHP4_MOUSE,0.0263758571733306
t34475aep|LRIG2_HUMAN,0.319452127081124
t34481aep|PYM1_BOVIN,0.0429872427912121
t34464aep|RUSD4_HUMAN,0.38687283040826
t34671aep|GT2D2_MOUSE,0.00606722804342227
t34682aep|IPMK_HUMAN,0.0603388092195253
t34670aep|VKORL_HUMAN,1.51394887192246
t37718aep|CFA45_HUMAN,0.445960807025826
t37731aep|S17A9_MOUSE,0.0366445604624194
t37729aep|KPCD3_MOUSE,0.850427632303231
t37723aep|INTU_BOVIN,0.00124918371874173
t32504aep|RPN2_PONAB,0.0675379536033252
t32502aep|MKS3_RAT,0.0091907562565118
t32514aep|NPHP1_CANLF,0.0311568460273025
t32508aep|CLK2_MOUSE,0.122160443632696
t32496aep|CNR1A_TAKRU,0.0181846987689093
t32494aep|RBM45_MOUSE,0.0934477425215722
t32513aep|MRC2_HUMAN,0.881613143517406
t36975aep|DYH5_HUMAN,0.00486854738136707
t36990aep|TV23B_BOVIN,0.0417016560520601
t36994aep|KINH_SYNRA,0.0419772736703958
t37004aep|MICA2_RAT,0.0216080988738183
t35158aep|LITH_RAT,0.0124772482334298
t35160aep|ZN862_HUMAN,0.00844520559148795
t35151aep|ACTP1_ANTAS,0.0091907562565118
t35152aep|ACTP1_ANTAS,0.0091907562565118
t35154aep|DJC17_BOVIN,0.00788546900188443
t37987aep|MET17_MOUSE,0.343953390719342
t33519aep|CCD25_DANRE,0.193491730214935
t38573aep|CL004_RAT,0.0026134288522175
t31929aep|CERS6_HUMAN,0.00916057093435786
t31956aep|ARID2_HUMAN,0.00913803320988456
t31952aep|HMCN1_HUMAN,0.0091907562565118
t32739aep|CHM1B_CHICK,0.0960418219637687
t32744aep|LMX1A_HUMAN,4.01746901608628
t32736aep|GRM7_MOUSE,0.0275128691562602
t32755aep|RBCC1_MOUSE,0.0191583372237204
t32376aep|FA96A_HUMAN,0.142662809101039
t32382aep|TCHP_DANRE,0.156518335327488
t38506aep|ANK2_HUMAN,0.141064458394006
t38509aep|DCDC2_MOUSE,0.345661177544026
t38497aep|DDC_HUMAN,0.269265528258115
t38498aep|MARH1_HUMAN,0.0245446675222326
t31732aep|F10C1_MOUSE,0.0628588463161279
t31729aep|FREM2_MOUSE,0.00790500660234503
t33104aep|SL9A8_HUMAN,0.0191879252358716
t33119aep|KINH_STRPU,0.00452487389087938
t33099aep|ASM_BOVIN,0.0967595436853383
t33106aep|NPHP3_HUMAN,0.0153460964334713
t37460aep|TBCEL_RAT,0.334197291044516
t36608aep|NCLN_DANRE,0.0864852211326109
t36593aep|THAP4_BOVIN,0.0091907562565118
t36591aep|ZMYM1_HUMAN,0.00212631423117509
t36606aep|TBD_CANLF,0.0109190378156163
t36612aep|ERIC3_HUMAN,0.120879534529727
t34695aep|SORCN_SCHJA,0.0091907562565118
t34691aep|PLCL2_MOUSE,0.00287189186655269
t32286aep|RIMS2_RAT,0.00860955617608062
t32283aep|PPBT_CHICK,1.21236166280752
t32272aep|FAT4_MOUSE,0.0091907562565118
t32909aep|F228B_MOUSE,0.0366040943757147
t32901aep|APBP2_RAT,0.00240864485802584
t32931aep|OCTL_DROME,0.00920637512064471
t32932aep|HYD_DROME,0.0189023817277373
t32343aep|GRT1A_DANRE,0.221370452866029
t32897aep|CASP2_CHICK,0.00694815553273642
t32898aep|CAC1B_RAT,0.0311214705510696
t32872aep|AMPN_RABIT,0.0200361890981849
t32888aep|ANR31_HUMAN,0.00669321078939993
t32894aep|MYO1A_MOUSE,0.0216758967747482
t32896aep|LOX5_RAT,3.07532920830681
t37698aep|S18B1_MOUSE,0.00721985373729695
t37694aep|THAP9_HUMAN,0.0091907562565118
t33224aep|CD047_MOUSE,0.158017793031842
t33225aep|CE350_HUMAN,0.0262643092799634
t33223aep|ZMYM1_HUMAN,0.0091907562565118
t33214aep|EXOS1_HUMAN,0.0505560521850836
t33855aep|RASF2_MOUSE,0.3089889419927
t33864aep|CNTP5_CANLF,0.162907074969039
t33868aep|CCS_PIG,0.0431707423640569
t35772aep|MED23_DANRE,0.00889378087533186
t35771aep|RASEF_MOUSE,0.660269096629874
t35781aep|NISCH_HUMAN,0.00409173510822097
t35770aep|B3GLT_HUMAN,0.000774707726110067
t37402aep|NAC1_CAVPO,0.0573872202800722
